time_ns,Pe_reg,Pe_enh,dPe
0.0,127.48239,127.48239,0.0
0.0999999999999999,65.608111,54.83334,-10.774770999999994
0.1999999999999999,50.148458,47.800756,-2.347701999999998
0.3,40.24618,49.058786,8.812605999999995
0.3999999999999999,31.790798,50.625134,18.834336000000004
0.5,31.063465,45.950847,14.887382000000002
0.6,12.541896,27.265001,14.723105000000002
0.7,14.308847,30.675775,16.366928
0.7999999999999999,14.881536,22.358013,7.476476999999999
0.8999999999999999,-8.4203289,31.211451,39.6317799
1.0,-10.671925,16.281679,26.953604
1.1,-4.5454123,7.377139,11.922551299999999
1.2,14.65931,-10.05028,-24.70959
1.3,-1.168944,6.0068521,7.1757960999999995
1.4,-8.5210276,-20.408858,-11.887830399999999
1.5,-3.4646503,-11.834462,-8.3698117
1.6,7.5230798,-6.2512469,-13.7743267
1.7,-8.3498836,-14.590404,-6.240520399999999
1.7999999999999998,7.7536539,-7.2976249,-15.051278799999999
1.9,-6.9964361,-24.522258,-17.5258219
2.0,-6.6189034,-18.81451,-12.195606599999998
2.1,3.4555479,-12.866961,-16.3225089
2.2,5.3622167,-10.075093,-15.4373097
2.3,-11.419836,-24.334684,-12.914848
2.4,-18.093971,-28.213473,-10.119502
2.5,-18.021557,-24.376964,-6.355407
2.6,-16.802181,-25.716539,-8.914358
2.7,-24.616615,-33.582008,-8.965393000000002
2.8,-5.2210774,-34.074692,-28.8536146
2.9,-15.991329,-47.980144,-31.988815000000002
3.0,-18.689508,-33.667397,-14.977889000000001
3.1,-25.448187,-29.300679,-3.852491999999998
3.2,-10.442719,-27.929598,-17.486879
3.3,-9.6186261,-40.346501,-30.727874900000003
3.4,-24.551336,-30.786893,-6.235557
3.5,-23.986549,-2.146934,21.839615000000002
3.6,-22.420697,-34.202541,-11.781843999999996
3.7,-21.340779,-35.242866,-13.902086999999998
3.8,-22.585484,-17.659336,4.926148000000001
3.9,-24.887708,-23.689898,1.1978100000000005
4.0,-28.129903,-31.655566,-3.5256630000000015
4.1,-29.957603,-37.474832,-7.517229
4.2,-27.417764,-38.656298,-11.238534000000001
4.3,-18.942837,-52.626699,-33.683862000000005
4.4,-30.696831,-49.263544,-18.566713000000004
4.5,-26.99986,-44.436218,-17.436357999999995
4.6,-40.261452,-50.561506,-10.300054000000003
4.7,-31.100945,-62.735772,-31.634826999999998
4.8,-10.348382,-48.904045,-38.555663
4.9,-0.2788539,-31.740039,-31.461185099999998
5.0,9.1321945,-38.764316,-47.896510500000005
5.1,6.161973,-33.966013,-40.12798599999999
5.2,-2.5150991,-35.420431,-32.9053319
5.3,-2.2387916,-39.553124,-37.3143324
5.4,-9.7290454,-76.841312,-67.1122666
5.5,-18.250796,-75.230414,-56.979617999999995
5.6,1.5851593,-53.332916,-54.9180753
5.7,-27.345952,-63.288377,-35.942425
5.8,-31.558192,-58.771303,-27.213111000000005
5.9,-20.806954,-60.802023,-39.995069
6.0,-22.654071,-37.990819,-15.336748000000004
6.1,-7.0906674,-36.221397,-29.130729600000002
6.199999999999999,-22.521632,-41.477356,-18.955724
6.3,-17.361899,-37.836354,-20.474455
6.4,-21.050917,-54.052453,-33.001536
6.5,-19.954115,-54.976021,-35.021906
6.6,-11.472662,-44.05717,-32.584508
6.699999999999999,-30.35992,-40.332677,-9.972756999999998
6.8,-20.855066,-41.625077,-20.770010999999997
6.9,-22.921002,-41.853273,-18.932271
7.0,-8.4807386,-52.881794,-44.4010554
7.1,-11.904712,-48.758911,-36.854198999999994
7.199999999999999,-9.7529974,-51.343827,-41.5908296
7.3,-8.3490669,-47.789171,-39.4401041
7.399999999999999,-0.14108022,-48.476384,-48.335303780000004
7.5,-2.8526238,-25.739807,-22.8871832
7.6,-20.112061,-40.763103,-20.651042
7.699999999999999,-18.39925,-53.14545,-34.7462
7.8,-16.654862,-45.26729,-28.612428
7.899999999999999,-22.934245,-50.939423,-28.005177999999997
8.0,-22.490086,-60.467864,-37.977778
8.1,-37.13433,-65.552837,-28.418506999999998
8.2,-41.458049,-55.03787,-13.579820999999995
8.299999999999999,-39.374072,-51.448451,-12.074379
8.4,-23.420516,-37.972045,-14.551529000000002
