time_ns,Pe_reg,Pe_enh,dPe
0.0,157.63951,157.63951,0.0
0.0999999999999999,68.35909,55.077116,-13.281973999999998
0.1999999999999999,78.211547,63.437513,-14.774033999999993
0.3,64.532196,58.07136,-6.4608360000000005
0.3999999999999999,60.140289,79.144019,19.003729999999997
0.5,62.110692,48.944575,-13.166117
0.6,60.022857,18.73304,-41.289817
0.7,47.882948,14.205366,-33.677582
0.7999999999999999,39.803312,18.033113,-21.770198999999998
0.8999999999999999,46.937852,12.140666,-34.797185999999996
1.0,51.043763,11.846304,-39.197458999999995
1.1,56.107618,10.125662,-45.981956000000004
1.2,34.024599,4.9316012,-29.092997800000003
1.3,22.196787,-10.709073,-32.905860000000004
1.4,4.1976633,-11.568772,-15.7664353
1.5,-6.142447,-34.399361,-28.256914
1.6,-16.200911,-25.178801,-8.977889999999999
1.7,-8.9031194,-24.636306,-15.733186600000002
1.7999999999999998,-4.9746361,-41.242567,-36.2679309
1.9,-11.158483,-37.697548,-26.539064999999997
2.0,-22.320434,-32.837376,-10.516942
2.1,-23.127505,-54.650933,-31.523428000000003
2.2,-16.459239,-60.0439,-43.584661
2.3,-28.08731,-63.224932,-35.13762200000001
2.4,-20.636335,-59.873536,-39.237201
2.5,-33.947172,-46.134228,-12.187055999999998
2.6,-42.980068,-69.479092,-26.49902399999999
2.7,-39.421965,-48.51912,-9.097155
2.8,-58.856416,-74.972713,-16.116296999999996
2.9,-38.465937,-74.466956,-36.001019
3.0,-40.961349,-81.309969,-40.34862
3.1,-32.911864,-83.619355,-50.707491
3.2,-33.755968,-82.851837,-49.095869
3.3,-32.531205,-67.749651,-35.218446
3.4,-23.270574,-58.289077,-35.018502999999995
3.5,-39.461187,-54.272143,-14.810955999999997
3.6,-44.147218,-61.280016,-17.132798
3.7,-50.47422,-75.699126,-25.224906000000004
3.8,-43.977432,-65.713791,-21.736359
3.9,-47.013592,-70.347525,-23.333933000000002
4.0,-43.459141,-72.587705,-29.128563999999997
4.1,-27.03046,-72.822814,-45.79235399999999
4.2,-48.54996,-54.460457,-5.9104969999999994
4.3,-37.900022,-68.69538,-30.795358
4.4,-57.742711,-59.499217,-1.7565060000000017
4.5,-45.353221,-69.825836,-24.472614999999998
4.6,-47.512323,-63.709186,-16.196863
4.7,-58.681312,-54.743282,3.9380299999999977
4.8,-46.357175,-52.267948,-5.910772999999999
4.9,-47.681935,-61.501657,-13.819721999999999
5.0,-46.90321,-51.082334,-4.179124000000002
5.1,-33.941174,-61.7298,-27.788626
5.2,-41.093025,-61.489316,-20.396291000000005
5.3,-39.999405,-53.885267,-13.885861999999996
5.4,-50.959474,-56.798353,-5.838878999999999
5.5,-50.236442,-68.664783,-18.428341000000003
5.6,-37.832563,-78.388407,-40.555844
5.7,-55.970236,-62.183664,-6.213428
5.8,-56.59359,-51.085531,5.508058999999996
5.9,-53.059239,-67.031752,-13.972513
6.0,-44.982968,-59.42632,-14.443351999999997
6.1,-45.884226,-70.928233,-25.044007000000008
6.199999999999999,-52.326378,-66.328626,-14.002248000000002
6.3,-40.166397,-56.885243,-16.718846
6.4,-41.964021,-49.391042,-7.427020999999996
6.5,-56.47741,-66.931111,-10.453701000000002
6.6,-51.117249,-64.609073,-13.491823999999994
6.699999999999999,-47.222872,-74.042957,-26.820085
6.8,-43.913061,-73.819679,-29.906617999999995
6.9,-57.96732,-82.229934,-24.262614
7.0,-38.701595,-72.695156,-33.993561
7.1,-30.237819,-66.231401,-35.993582
7.199999999999999,-38.407343,-76.876115,-38.468772
7.3,-58.837874,-53.739705,5.098168999999999
7.399999999999999,-36.618206,-50.516759,-13.898553
7.5,-48.7161,-55.333814,-6.617713999999999
7.6,-29.019151,-41.764002,-12.744850999999997
7.699999999999999,-24.326757,-59.119923,-34.793166
7.8,-40.13341,-61.73764,-21.60423
7.899999999999999,-38.751589,-42.364162,-3.6125729999999976
8.0,-35.421454,-48.999494,-13.578040000000001
8.1,-43.086948,-66.146395,-23.059447
8.2,-62.050882,-63.254119,-1.2032370000000014
8.299999999999999,-66.883544,-65.763034,1.120509999999996
8.4,-65.437117,-61.747064,3.690052999999999
8.5,-56.087179,-64.726079,-8.6389
8.6,-50.416742,-66.877516,-16.460774
8.7,-56.092135,-61.584755,-5.492620000000002
8.799999999999999,-55.910752,-65.978339,-10.067587000000003
8.9,-55.539465,-60.173497,-4.634031999999998
9.0,-58.600918,-76.321548,-17.720630000000007
9.1,-67.532607,-51.890462,15.642145
9.2,-54.944633,-81.354465,-26.409832
9.3,-55.955482,-72.300599,-16.345117000000002
9.4,-50.850533,-46.819703,4.030830000000002
9.5,-62.644518,-62.484432,0.16008599999999973
9.6,-64.767119,-49.934624,14.832494999999994
9.7,-51.020663,-63.985755,-12.965091999999999
9.8,-32.165406,-73.732712,-41.56730600000001
9.9,-54.114075,-76.322867,-22.208792000000003
10.0,-38.46625,-70.275753,-31.809502999999992
10.1,-39.896363,-101.90636,-62.009997000000006
10.2,-43.088855,-77.124259,-34.03540399999999
10.3,-44.625402,-76.060637,-31.435235
10.4,-62.702007,-66.926731,-4.224724000000002
10.5,-53.546297,-55.049914,-1.5036169999999984
10.6,-48.77744,-77.240701,-28.463261000000003
10.7,-63.222548,-63.860175,-0.6376269999999948
10.8,-72.276639,-92.437223,-20.160584
10.9,-69.300727,-82.235354,-12.934627000000006
11.0,-52.045698,-82.519004,-30.473305999999994
11.1,-50.941597,-80.98022,-30.038623
11.2,-46.013193,-62.659675,-16.646482
11.3,-44.60703,-68.31173,-23.704699999999995
11.4,-46.423568,-75.369676,-28.946107999999995
11.5,-57.442071,-83.5723,-26.130229
11.6,-58.179816,-88.479509,-30.29969299999999
11.7,-51.133581,-80.143779,-29.010197999999995
11.8,-55.635098,-68.762644,-13.127545999999995
11.9,-50.438573,-65.489243,-15.050670000000004
12.0,-55.27789,-77.752437,-22.474547
12.1,-43.170983,-76.701552,-33.53056900000001
12.2,-55.682854,-78.313694,-22.63084
12.3,-51.067053,-72.864867,-21.797814000000002
12.4,-54.695016,-69.208989,-14.513973
12.5,-45.506632,-78.732588,-33.225956000000004
12.6,-52.783253,-75.33549,-22.55223699999999
12.7,-51.656054,-69.396924,-17.74087
12.8,-43.870048,-84.57077,-40.700722
12.9,-41.808436,-85.790641,-43.98220499999999
13.0,-36.953246,-71.16424,-34.21099400000001
13.1,-37.999096,-89.378037,-51.378941000000005
13.2,-48.316849,-71.700625,-23.383776000000005
13.3,-35.616666,-56.308486,-20.69182
13.4,-45.20386,-68.381191,-23.177331000000002
13.5,-42.059801,-76.597805,-34.538003999999994
13.6,-51.629108,-78.453105,-26.82399699999999
13.7,-68.750361,-77.81221,-9.061848999999995
13.8,-54.735004,-61.041,-6.305995999999993
13.9,-63.929177,-70.743459,-6.814281999999999
14.0,-56.367855,-74.882756,-18.514901000000002
14.1,-59.825029,-75.563441,-15.738411999999997
14.2,-63.445942,-88.306408,-24.860466000000002
14.3,-70.682344,-84.895051,-14.212706999999995
14.4,-47.731958,-96.59736,-48.865401999999996
14.5,-57.812049,-89.987298,-32.175248999999994
14.6,-51.372177,-69.972011,-18.599833999999994
14.7,-46.664266,-69.627397,-22.963131000000004
14.8,-59.40222,-69.706238,-10.304018
14.9,-69.281924,-67.963196,1.3187280000000072
15.0,-41.449403,-84.066802,-42.617399
15.1,-62.880938,-91.194769,-28.313830999999993
15.2,-55.288365,-91.245876,-35.957511
15.3,-41.662128,-83.356939,-41.694810999999994
15.4,-29.801971,-73.410966,-43.608995
15.5,-41.970194,-57.254927,-15.284733000000003
15.6,-32.226657,-85.119108,-52.892450999999994
15.7,-50.424043,-94.589457,-44.165414
15.8,-41.881751,-82.688429,-40.806678
15.9,-55.22034,-91.400978,-36.180637999999995
16.0,-61.250029,-92.733407,-31.483378000000002
16.099999999999998,-32.797182,-67.39628,-34.599098000000005
16.2,-46.438745,-86.601322,-40.162577
16.3,-47.746674,-69.465736,-21.719062000000008
16.4,-72.387422,-81.50941,-9.121988000000002
16.5,-61.684261,-78.269771,-16.585510000000006
16.599999999999998,-58.420503,-84.166743,-25.74624
16.7,-55.173561,-88.846961,-33.673399999999994
16.8,-50.60358,-63.635863,-13.032283
16.9,-56.912957,-80.051198,-23.138241
17.0,-72.141463,-95.212697,-23.071234000000004
17.099999999999998,-61.051082,-79.909627,-18.858545
17.2,-67.409702,-80.905393,-13.495691000000008
17.3,-56.169838,-87.727766,-31.557928000000004
17.4,-47.09694,-89.729334,-42.632394
17.5,-37.968668,-84.735508,-46.766839999999995
17.599999999999998,-54.964353,-58.003084,-3.0387309999999985
17.7,-62.125798,-70.849333,-8.723534999999998
17.8,-63.56273,-64.669486,-1.1067560000000043
17.9,-41.590839,-70.504201,-28.913361999999992
18.0,-45.212344,-71.753839,-26.541494999999998
18.1,-46.017133,-89.920249,-43.903116
18.2,-49.63259,-71.757101,-22.124511000000005
18.3,-50.678301,-87.59077,-36.91246900000001
18.4,-42.14889,-81.252226,-39.10333599999999
18.5,-42.371886,-88.395445,-46.02355899999999
18.6,-42.760704,-74.869057,-32.108353
18.7,-37.231988,-88.86762,-51.635632
18.8,-67.209996,-107.35934,-40.149344
18.9,-42.641191,-75.727985,-33.086794000000005
19.0,-40.765088,-66.402873,-25.637785
19.1,-53.418316,-72.550307,-19.131991000000006
19.2,-51.445781,-62.025254,-10.579473
19.3,-49.155426,-78.858576,-29.70315
19.4,-36.483686,-56.218787,-19.735101
19.5,-37.597206,-70.150768,-32.553562
19.6,-59.32659,-54.44442,4.882170000000002
19.7,-60.133883,-76.958941,-16.825058
19.8,-73.539273,-66.206035,7.333237999999994
19.9,-70.491303,-61.343064,9.148239000000004
20.0,-47.2595,-61.762652,-14.503152
20.1,-43.505636,-79.570173,-36.064536999999994
20.2,-54.127713,-59.831271,-5.703558000000001
20.3,-58.255614,-60.399779,-2.144165000000001
20.4,-45.247525,-50.272483,-5.024957999999998
20.5,-41.420705,-58.47822,-17.057515000000002
20.6,-48.579862,-66.251613,-17.671751000000008
20.7,-48.691747,-58.081373,-9.389626
20.8,-51.831055,-69.024356,-17.193300999999998
20.9,-38.81586,-74.580966,-35.765106
21.0,-47.987807,-52.935507,-4.947700000000005
21.1,-32.210899,-65.363681,-33.152782
21.2,-32.281589,-61.260913,-28.979324000000005
21.3,-53.730166,-77.138014,-23.407848
21.4,-47.070514,-67.561055,-20.490540999999993
21.5,-49.528036,-72.042607,-22.514571000000004
21.6,-47.874518,-82.772597,-34.898079
21.7,-60.620515,-51.0569,9.563614999999999
21.8,-40.475007,-66.597756,-26.122749000000006
21.9,-57.869234,-81.264948,-23.395714000000005
22.0,-54.997234,-64.334097,-9.336863000000001
22.1,-63.576624,-60.715325,2.8612990000000025
22.2,-45.212844,-63.573822,-18.360978000000003
22.3,-48.91911,-58.335135,-9.416024999999998
22.4,-44.852801,-55.96731,-11.114508999999998
22.5,-34.460691,-55.938074,-21.477383000000003
22.6,-39.196235,-31.386922,7.809313000000003
22.7,-51.803819,-47.478029,4.325789999999998
22.8,-46.227549,-42.563807,3.6637420000000063
22.9,-40.010002,-55.149305,-15.139302999999998
23.0,-22.438863,-69.277121,-46.838257999999996
23.1,-27.67727,-68.497214,-40.819944
23.2,-52.244194,-75.858415,-23.614220999999993
23.3,-39.022623,-62.786596,-23.763973
23.4,-47.02146,-55.710236,-8.688776000000004
23.5,-26.40384,-60.122633,-33.718793000000005
23.6,-46.73844,-71.630589,-24.892149000000003
23.7,-52.346968,-74.683302,-22.336334
23.8,-71.077089,-75.959795,-4.882705999999999
23.9,-66.331332,-62.04721,4.2841220000000035
24.0,-48.466405,-60.078572,-11.612167
24.1,-51.277992,-52.366839,-1.0888470000000012
24.2,-68.813158,-53.745286,15.067872000000001
24.3,-48.844651,-73.315506,-24.470855
24.4,-44.386263,-56.798716,-12.412453
24.5,-41.910406,-67.429247,-25.518841000000002
24.6,-26.058764,-77.271461,-51.212697000000006
24.7,-36.533383,-69.553535,-33.020151999999996
24.8,-32.12506,-85.528104,-53.403044
24.9,-46.625818,-69.857765,-23.231946999999998
