step,pe,ke,temp
0,32.898681,22.207035,298.0
1000,14.525344,35.729311,479.45774
2000,27.25646,27.801472,373.07271
3000,21.342214,32.305413,433.51186
4000,22.6681,28.471573,382.06491
5000,15.779731,34.164965,458.46551
6000,14.876155,31.957293,428.84038
7000,17.962813,27.110106,363.79515
8000,17.353125,24.307882,326.19162
9000,20.123188,23.215506,311.53285
10000,21.160192,22.007187,295.31821
11000,17.463717,25.145952,337.43783
12000,11.888553,29.476769,395.5538
13000,19.750644,21.1441,283.73629
14000,19.780454,21.135577,283.62192
15000,19.983879,19.974122,268.03616
16000,16.66167,22.907306,307.39706
17000,18.901063,21.146133,283.76358
18000,14.082099,25.464314,341.70998
19000,16.129944,24.180745,324.48555
20000,17.480414,23.453716,314.72942
21000,15.256723,23.372663,313.64177
22000,13.395131,25.206977,338.25673
23000,12.120844,27.662123,371.20277
24000,18.419723,19.417748,260.57009
25000,16.713689,22.231315,298.32582
26000,13.060768,24.580126,329.84492
27000,13.16755,23.412219,314.17257
28000,11.960316,24.56959,329.70353
29000,11.049972,23.538958,315.8733
30000,16.218346,19.35857,259.77597
31000,13.720443,21.830819,292.95149
32000,15.688703,24.570388,329.71424
33000,18.545384,25.594286,343.45411
34000,17.711702,26.221801,351.87483
35000,18.614039,22.334769,299.71409
36000,14.440302,29.550796,396.54719
37000,17.960921,27.593738,370.28509
38000,16.864527,27.916128,374.6113
39000,14.909874,28.764814,385.99996
40000,21.104433,25.316994,339.73307
41000,22.236465,26.005156,348.96764
42000,15.356482,35.329196,474.08853
43000,18.089335,29.752461,399.25336
44000,17.537664,30.843113,413.88901
45000,16.605598,33.605477,450.95765
46000,21.715252,28.751918,385.82691
47000,14.655439,32.074728,430.41626
48000,22.27997,27.57999,370.10061
49000,21.99197,27.657675,371.14308
50000,17.477326,28.659886,384.59191
51000,21.770235,23.472215,314.97766
52000,11.006049,32.660598,438.27815
53000,17.620072,23.194372,311.24924
54000,14.554959,25.686662,344.69372
55000,14.259834,30.208031,405.36674
56000,16.770401,24.762344,332.29013
57000,15.209886,28.435163,381.57631
58000,14.460112,28.168919,378.00355
59000,18.278725,25.606195,343.61391
60000,14.624847,27.286275,366.15919
61000,11.988931,27.77624,372.73411
62000,14.993787,22.081556,296.31617
63000,10.371373,27.054968,363.05524
64000,13.554067,23.495227,315.28647
65000,15.66082,23.316961,312.89429
66000,15.395338,18.449922,247.58267
67000,10.475806,23.81413,319.56588
68000,11.725081,23.420647,314.28567
69000,14.535695,23.528976,315.73935
70000,15.78119,22.868682,306.87876
71000,10.34207,24.441696,327.9873
72000,9.6987521,23.826589,319.73308
73000,13.468979,21.514706,288.70952
74000,12.099453,25.937561,348.06057
75000,17.830804,20.362594,273.24913
76000,6.6795692,32.705812,438.88488
77000,5.8272799,31.663873,424.90292
78000,15.278147,24.067263,322.96271
79000,9.7511536,27.587938,370.20726
80000,7.2283363,28.137369,377.58017
81000,7.4366703,24.979263,335.201
82000,10.555034,22.38777,300.42532
83000,6.0779708,24.959909,334.94129
84000,4.2158034,27.612226,370.53319
85000,8.2059261,27.846555,373.67769
86000,9.8696608,26.914886,361.17546
87000,10.932245,25.857789,346.99009
88000,12.309455,24.802191,332.82485
89000,6.5445489,29.636263,397.69408
90000,13.882455,22.873356,306.94148
91000,3.5569595,28.451597,381.79685
92000,10.965717,21.078217,282.8522
93000,4.4002684,25.065928,336.36398
94000,6.7961233,23.963841,321.57488
95000,7.1907561,21.78767,292.37247
96000,-7.0556749,40.47718,543.1702
97000,5.5736455,30.512733,409.45558
98000,7.4021948,30.266115,406.14617
99000,4.6988281,29.469399,395.4549
100000,4.2203018,25.725453,345.21426
101000,1.694599,24.445077,328.03267
102000,3.2756947,18.967837,254.53264
103000,3.1574274,18.22476,244.56117
104000,-3.5888205,23.503186,315.39327
105000,-7.5439589,24.469871,328.36539
106000,-10.197269,26.498013,355.58137
107000,-8.1729369,24.347779,326.72701
