Job started: Tue Mar 24 03:11:22 PM EDT 2026
Running on: della-r3c2n12
Tasks: 4
LAMMPS (29 Aug 2024)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 29 Aug 2024, LAMMPS = 29 Aug 2024
  restoring atom style full from restart
  orthogonal box = (-80 -80 -80) to (80 80 80)
  1 by 2 by 2 MPI processor grid
  restoring pair style hybrid/overlay from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  1032 atoms
  931 bonds
  830 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_restart CPU = 0.008 seconds
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 33
  ghost atom cutoff = 33
  binsize = 16.5, bins = 10 10 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair lj/cut, perpetual, trim from (2)
      attributes: half, newton on, cut 25
      pair build: trim
      stencil: none
      bin: none
  (2) pair base/rna, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 80000000
  Time step     : 10
Per MPI rank memory allocation (min/avg/max) = 7.315 | 7.318 | 7.32 Mbytes
   Step         PotEng         KinEng         TotEng          Temp          Press         Density    
  80000000  -354.2126       847.71094      493.49834      275.83846      13.287256      0.134578     
  80010000  -339.33141      858.9208       519.58939      279.48606     -0.53872371     0.134578     
  80020000  -335.32464      826.65544      491.3308       268.98717      4.6999262      0.134578     
  80030000  -319.27172      804.09481      484.82308      261.64611      0.65330108     0.134578     
  80040000  -330.5772       878.73552      548.15832      285.93361     -2.4594786      0.134578     
  80050000  -339.26784      858.61578      519.34794      279.38681      4.2555046      0.134578     
  80060000  -348.86057      854.3022       505.44163      277.9832       5.0972956      0.134578     
  80070000  -370.02749      871.70457      501.67708      283.6458       5.0397526      0.134578     
  80080000  -315.28077      852.0376       536.75683      277.24632     -5.7976565      0.134578     
  80090000  -265.6272       843.14673      577.51953      274.3533      -0.88975516     0.134578     
  80100000  -343.40845      867.46929      524.06084      282.26767     -0.49945912     0.134578     
  80110000  -336.2894       831.02771      494.73831      270.40987      3.8557568      0.134578     
  80120000  -374.28541      862.29651      488.0111       280.58449      0.26588672     0.134578     
  80130000  -428.90212      864.11811      435.21599      281.17722      5.5640387      0.134578     
  80140000  -326.48152      813.75265      487.27113      264.7887      -4.8377993      0.134578     
  80150000  -360.03627      845.20399      485.16773      275.02272      2.6207701      0.134578     
  80160000  -360.37142      848.63951      488.26809      276.14061     -8.4402196      0.134578     
  80170000  -366.77969      875.15938      508.37969      284.76997      2.2165995      0.134578     
  80180000  -386.03314      801.25737      415.22422      260.72283     -9.8018448      0.134578     
  80190000  -374.22064      810.07488      435.85424      263.59198      4.7436552      0.134578     
  80200000  -306.82533      840.75456      533.92924      273.57491     -6.4672948      0.134578     
