Job started: Tue Mar 24 02:53:23 PM EDT 2026
Running on: della-r3c3n3
Tasks: 4
LAMMPS (29 Aug 2024)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 29 Aug 2024, LAMMPS = 29 Aug 2024
  restoring atom style full from restart
  orthogonal box = (-80 -80 -80) to (80 80 80)
  1 by 2 by 2 MPI processor grid
  restoring pair style hybrid/overlay from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  1432 atoms
  1331 bonds
  1230 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_restart CPU = 0.009 seconds
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 33
  ghost atom cutoff = 33
  binsize = 16.5, bins = 10 10 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair lj/cut, perpetual, trim from (2)
      attributes: half, newton on, cut 25
      pair build: trim
      stencil: none
      bin: none
  (2) pair base/rna, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 60000000
  Time step     : 10
Per MPI rank memory allocation (min/avg/max) = 7.33 | 7.33 | 7.331 Mbytes
   Step         PotEng         KinEng         TotEng          Temp          Press         Density    
  60000000  -202.57376      1290.4758      1087.902       302.5352       1.3353099      0.18767795   
  60010000  -252.07319      1279.6184      1027.5452      299.98984     -0.65485859     0.18767795   
  60020000  -226.39386      1266.0444      1039.6505      296.80758      3.3614281      0.18767795   
  60030000  -265.94915      1236.0605      970.11131      289.77825     -3.7958156      0.18767795   
  60040000  -306.7469       1295.0739      988.32701      303.61318      3.1608196      0.18767795   
  60050000  -264.19206      1254.4573      990.26525      294.09115      0.94108408     0.18767795   
  60060000  -257.25962      1282.6787      1025.4191      300.70728      9.6009513      0.18767795   
  60070000  -252.6727       1281.1117      1028.439       300.33992      2.5644232      0.18767795   
  60080000  -236.77769      1256.6688      1019.8911      294.60961     -2.8351614      0.18767795   
  60090000  -258.55716      1227.0074      968.45023      287.65587      5.3633933      0.18767795   
  60100000  -284.6217       1304.7716      1020.1499      305.88667     -4.574125       0.18767795   
  60110000  -255.77967      1286.978       1031.1983      301.71519     -0.73897647     0.18767795   
  60120000  -190.34793      1299.4634      1109.1155      304.64225     -6.115985       0.18767795   
  60130000  -157.61128      1223.4334      1065.8221      286.818        6.6107742      0.18767795   
  60140000  -222.48826      1299.8957      1077.4075      304.7436       1.7303243      0.18767795   
  60150000  -222.11136      1307.264       1085.1526      306.47098      1.824443       0.18767795   
  60160000  -226.01863      1327.75        1101.7314      311.27367      8.0483631      0.18767795   
  60170000  -232.84527      1292.0863      1059.241       302.91276     -5.4868659      0.18767795   
  60180000  -233.95061      1270.9536      1037.003       297.95849      9.3726076      0.18767795   
  60190000  -207.2496       1268.05        1060.8004      297.27777      9.1249519      0.18767795   
