# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -49.9435 1106.1 301.441 1056.16 120.38
5200000 -114.353 1091.71 297.52 977.36 120.466
5300000 -112.281 1098.84 299.462 986.557 120.859
5400000 -77.1461 1105.69 301.329 1028.54 121.741
5500000 -66.0432 1099.26 299.576 1033.21 123.06
5600000 -55.4833 1085.27 295.765 1029.79 123.976
5700000 -97.4056 1090.76 297.26 993.353 124.204
5800000 -73.1854 1102.59 300.485 1029.41 124.508
5900000 -67.489 1105.79 301.355 1038.3 125.643
6000000 -44.7048 1088.04 296.518 1043.33 127.035
6100000 -77.0551 1093.93 298.123 1016.87 127.991
6200000 -79.2728 1101.65 300.229 1022.38 126.905
6300000 -108.883 1084.54 295.566 975.661 127.943
6400000 -42.3816 1103.63 300.767 1061.25 129.419
6500000 -58.2671 1104.1 300.896 1045.83 130.662
6600000 -99.9246 1086.84 296.192 986.914 130.514
6700000 -67.6029 1116.13 304.175 1048.53 131.011
6800000 -23.7833 1088.99 296.778 1065.21 132.098
6900000 -34.3604 1095.94 298.672 1061.58 132.603
7000000 -42.2758 1105.82 301.364 1063.54 131.532
7100000 -67.044 1101.84 300.279 1034.79 130.793
7200000 -89.4956 1092.68 297.784 1003.19 131.192
7300000 -34.6821 1098.14 299.27 1063.45 131.035
7400000 -41.9208 1113.46 303.445 1071.54 131.812
7500000 -82.7474 1095.05 298.429 1012.3 133.188
7600000 -39.7153 1095.61 298.582 1055.89 134.348
7700000 -64.1708 1094.35 298.238 1030.18 135.196
7800000 -66.7613 1102.9 300.57 1036.14 134.879
7900000 -72.8379 1087.05 296.249 1014.21 135.008
8000000 -92.8205 1111.83 303.003 1019.01 135.788
8100000 -81.9958 1102.99 300.592 1020.99 135.35
8200000 -82.3616 1112.5 303.184 1030.13 134.758
8300000 -50.3001 1089.54 296.928 1039.24 134.966
8400000 -29.3285 1090.36 297.15 1061.03 135.506
8500000 -34.8904 1102.76 300.53 1067.87 135.445
8600000 -54.9548 1114.84 303.823 1059.89 135.4
8700000 -25.0647 1109.49 302.364 1084.42 135.431
8800000 -71.2663 1090.87 297.291 1019.61 136.571
8900000 -50.9042 1091.85 297.559 1040.95 137.036
9000000 -58.1669 1107.28 301.762 1049.11 136.841
9100000 -119.721 1099.88 299.747 980.163 138.495
9200000 -72.3461 1095.3 298.498 1022.95 139.112
9300000 -67.8229 1093.9 298.116 1026.08 140.631
9400000 -89.4541 1108.36 302.057 1018.91 141.991
9500000 -100.323 1105.78 301.354 1005.46 142.245
9600000 -69.4731 1102.99 300.593 1033.52 142.313
9700000 -62.2653 1112.96 303.311 1050.7 143.415
9800000 -42.6917 1101.19 300.103 1058.5 144.663
9900000 -39.3002 1101.12 300.083 1061.82 144.29
10000000 -22.0092 1107.2 301.742 1085.2 145.182
10100000 -46.1295 1098.63 299.406 1052.5 145.634
10200000 -46.0392 1098.55 299.382 1052.51 146.642
10300000 -19.1482 1109.84 302.46 1090.69 147.3
10400000 -4.58832 1098.4 299.342 1093.81 147.758
10500000 -60.5084 1083.06 295.161 1022.55 147.089
10600000 -56.8222 1108.49 302.092 1051.67 146.998
10700000 -47.589 1080.99 294.599 1033.4 148.744
10800000 -37.558 1099.51 299.646 1061.96 149.181
10900000 -57.1331 1100.5 299.915 1043.37 149.436
11000000 -29.557 1106.05 301.426 1076.49 149.506
11100000 -47.101 1099.86 299.739 1052.75 150.443
11200000 -39.8293 1110.14 302.541 1070.31 151.104
11300000 -43.3115 1089.19 296.832 1045.88 150.962
11400000 -66.512 1100.73 299.978 1034.22 151.453
11500000 -48.7567 1110.32 302.592 1061.57 151.915
11600000 -50.3343 1088.56 296.66 1038.22 152.044
11700000 -95.7103 1105.95 301.4 1010.24 151.977
11800000 -114.809 1108.21 302.016 993.403 152.442
11900000 -85.8289 1102.34 300.417 1016.52 151.409
12000000 -73.7665 1102.23 300.386 1028.46 150.613
12100000 -94.5257 1101.53 300.196 1007.01 151.153
12200000 -87.3237 1085.86 295.924 998.533 151.205
12300000 -96.5649 1104.57 301.025 1008.01 151.173
12400000 -100.838 1110 302.504 1009.16 150.334
12500000 -56.0135 1095.41 298.528 1039.4 150.525
12600000 -67.6806 1089.57 296.935 1021.89 151.949
12700000 -53.549 1109.32 302.318 1055.77 152.818
12800000 -45.6341 1109.62 302.399 1063.98 152.313
12900000 -26.6316 1098.61 299.401 1071.98 151.614
13000000 -27.518 1104.7 301.06 1077.19 151.115
13100000 -93.2567 1088.16 296.552 994.905 151.339
13200000 -76.4636 1098 299.234 1021.54 151.812
13300000 -57.0859 1099.38 299.61 1042.3 152.79
13400000 -83.8925 1090.27 297.128 1006.38 152.265
13500000 -57.3992 1093.64 298.046 1036.25 153.149
13600000 -70.6464 1096.9 298.935 1026.26 154.711
13700000 -55.4053 1105.16 301.184 1049.75 155.553
13800000 -82.8938 1103.24 300.662 1020.35 156.829
13900000 -62.2341 1107.89 301.93 1045.66 157.324
14000000 -73.9813 1101.75 300.256 1027.77 157.434
14100000 -5.80068 1113.11 303.352 1107.31 157.321
14200000 15.1367 1097.93 299.215 1113.07 158.333
14300000 -34.1985 1082.26 294.945 1048.07 158.611
14400000 -43.5989 1088.47 296.637 1044.88 157.778
14500000 -59.7734 1104.06 300.884 1044.28 157.395
14600000 -117.603 1107.86 301.921 990.26 158.589
14700000 -88.0399 1110.55 302.654 1022.51 158.494
14800000 -98.4116 1104.06 300.885 1005.65 157.601
14900000 -95.9014 1101.54 300.199 1005.64 157.532
15000000 -118.811 1100.9 300.024 982.091 158.098
15100000 -81.2422 1096.03 298.695 1014.78 159.298
15200000 -66.1349 1089.51 296.919 1023.37 160.442
15300000 -39.5603 1106.5 301.549 1066.93 160.718
15400000 -80.9246 1092.74 297.801 1011.82 161.33
15500000 -82.7521 1099.94 299.761 1017.18 161.437
15600000 -71.2046 1099.72 299.702 1028.52 163.415
15700000 -50.9805 1104.84 301.098 1053.86 164.203
15800000 -76.5439 1105.22 301.202 1028.68 163.85
15900000 -82.5388 1095.78 298.628 1013.24 164.277
16000000 -68.2117 1118.35 304.779 1050.14 165.205
16100000 -62.6463 1115.5 304.003 1052.86 165.801
16200000 -32.6793 1094.4 298.253 1061.72 166.1
16300000 -40.2471 1098.48 299.365 1058.24 165.812
16400000 -56.2262 1101.56 300.204 1045.34 166.732
16500000 -20.6621 1113.16 303.364 1092.49 167.269
16600000 -91.0676 1097.45 299.084 1006.38 167.693
16700000 -92.8679 1093.79 298.087 1000.93 168.003
16800000 -102.439 1096.14 298.726 993.699 168.508
16900000 -54.0655 1102.16 300.368 1048.1 168.486
17000000 -109.674 1096.8 298.906 987.127 168.347
17100000 -48.1396 1090.46 297.178 1042.32 168.753
17200000 -60.6846 1099.75 299.71 1039.07 169.478
17300000 -89.9129 1096.76 298.895 1006.84 169.876
17400000 -70.963 1090.7 297.244 1019.74 171.179
17500000 -107.538 1099.28 299.582 991.742 171.926
17600000 -75.5578 1099.76 299.713 1024.2 172.663
17700000 -105.369 1122.57 305.929 1017.2 173.274
17800000 -76.9053 1099.36 299.605 1022.46 173.442
17900000 -74.3083 1102.87 300.561 1028.56 173.943
18000000 -73.0797 1117.04 304.422 1043.96 174.507
18100000 -96.6155 1098.43 299.351 1001.82 174.397
18200000 -83.4009 1090.47 297.183 1007.07 174.07
18300000 -96.3369 1093.99 298.141 997.654 174.641
18400000 -76.2296 1115.35 303.96 1039.12 174.604
18500000 -53.2771 1108.32 302.047 1055.05 173.922
18600000 -32.2388 1104.19 300.921 1071.95 173.708
18700000 -36.6918 1108.25 302.026 1071.56 174.406
18800000 -66.5028 1110.14 302.542 1043.64 174.582
18900000 -44.0241 1111.65 302.953 1067.62 174.336
19000000 -85.6472 1097.38 299.064 1011.73 173.012
19100000 -63.511 1109.72 302.427 1046.21 173.043
19200000 -33.4764 1104.74 301.069 1071.26 173.498
19300000 -59.0426 1086.79 296.178 1027.74 173.979
19400000 -62.0833 1096.04 298.7 1033.96 174.24
19500000 -109.218 1100.23 299.842 991.017 174.688
19600000 -65.1269 1095.02 298.422 1029.9 176.084
19700000 -114.308 1101.14 300.088 986.829 176.284
19800000 -133.868 1094.55 298.294 960.683 177.168
19900000 -122.804 1115.77 304.076 992.967 176.846
20000000 -125.8 1099.87 299.744 974.075 177.039
20100000 -121.4 1085.73 295.89 964.33 178.325
20200000 -155.48 1106.09 301.439 950.614 179.123
20300000 -78.4089 1109.72 302.428 1031.31 180.142
20400000 -93.639 1095 298.417 1001.36 179.899
20500000 -109.352 1098.32 299.321 988.971 178.759
20600000 -139.263 1104.99 301.139 965.73 178.175
20700000 -112.914 1093.95 298.129 981.033 178.618
20800000 -114.239 1109.47 302.359 995.23 179.146
20900000 -21.4555 1105.39 301.248 1083.94 179.398
21000000 -59.7063 1097.61 299.126 1037.9 179.938
21100000 -52.1481 1106.24 301.478 1054.09 180.579
21200000 -53.4097 1102.17 300.369 1048.76 180.903
21300000 -33.5357 1107.28 301.763 1073.75 180.484
21400000 -56.4458 1104.88 301.109 1048.44 181.316
21500000 -79.1705 1105.55 301.292 1026.38 182.046
21600000 -17.9876 1104.89 301.111 1086.9 183.45
21700000 -28.2164 1099.73 299.705 1071.52 185.109
21800000 -26.3261 1099.93 299.76 1073.61 185.886
21900000 -2.25765 1095.8 298.634 1093.54 185.284
22000000 -19.4674 1099.52 299.646 1080.05 185.75
22100000 -34.1432 1098.69 299.421 1064.54 186.691
22200000 -44.6864 1099.71 299.698 1055.02 187.451
22300000 -63.262 1098.89 299.475 1035.63 188.985
22400000 -71.2666 1104.77 301.077 1033.5 189.171
22500000 -96.475 1105.43 301.259 1008.96 189.986
22600000 -111.303 1094.84 298.371 983.533 190.943
22700000 -85.9358 1092.29 297.678 1006.36 191.707
22800000 -85.7752 1098.97 299.497 1013.19 192.918
22900000 -109.687 1108.23 302.021 998.541 192.72
23000000 -98.6225 1094.97 298.406 996.343 192.871
23100000 -50.4396 1099.5 299.642 1049.06 192.873
23200000 -36.6033 1080.08 294.35 1043.48 193.73
23300000 -49.4037 1100.81 299.999 1051.41 194.385
23400000 -54.172 1111.26 302.847 1057.09 195.4
23500000 -64.6333 1094.85 298.374 1030.21 196.935
23600000 -81.8879 1102.89 300.566 1021 198.325
23700000 -83.2532 1110.08 302.526 1026.83 199.256
23800000 -34.149 1095.76 298.624 1061.61 199.807
23900000 -48.2992 1107.45 301.81 1059.15 201.227
24000000 -81.9279 1101.36 300.149 1019.43 202.829
24100000 -131.301 1095.38 298.52 964.082 203.465
24200000 -86.2915 1103.76 300.804 1017.47 203.493
24300000 -78.6984 1107.12 301.718 1028.42 204.142
24400000 -82.8094 1097.92 299.211 1015.11 203.618
24500000 -50.981 1089.52 296.922 1038.54 203.63
24600000 -45.7808 1096.59 298.85 1050.81 203.573
24700000 -88.1573 1086.25 296.031 998.092 204.421
24800000 -55.0312 1104.35 300.965 1049.32 203.984
24900000 -86.5854 1093.13 297.905 1006.54 204.981
25000000 -73.1275 1102.07 300.343 1028.94 204.395
25100000 -46.871 1110 302.503 1063.13 203.796
25200000 -100.154 1103.17 300.644 1003.02 203.414
25300000 -82.8391 1114.62 303.762 1031.78 203.936
25400000 -94.5845 1106.51 301.552 1011.93 204.006
25500000 -97.8683 1090.07 297.071 992.198 204.323
25600000 -67.2385 1091.97 297.589 1024.73 205.088
25700000 -64.2086 1095.84 298.644 1031.63 205.504
25800000 -39.1347 1099.04 299.516 1059.9 206.504
25900000 -57.9577 1097.08 298.983 1039.12 206.454
26000000 -64.3225 1107.09 301.711 1042.77 206.478
26100000 -60.8784 1102.9 300.569 1042.02 206.786
26200000 -85.5256 1100.22 299.839 1014.7 207.544
26300000 -45.075 1109.82 302.454 1064.74 207.97
26400000 -67.9169 1107.36 301.785 1039.45 208.811
26500000 -61.8773 1104.68 301.053 1042.8 208.128
26600000 -100.589 1103.18 300.645 1002.59 208.407
26700000 -138.636 1100.85 300.011 962.217 209.616
26800000 -87.0375 1106.65 301.59 1019.61 210.159
26900000 -45.2406 1100.86 300.014 1055.62 210.374
27000000 -18.0094 1085.49 295.824 1067.48 210.869
27100000 -39.2303 1094.67 298.326 1055.44 211.491
27200000 -85.8603 1099.42 299.621 1013.56 212.399
27300000 -62.0228 1094.46 298.269 1032.44 211.902
27400000 -14.0502 1089.74 296.983 1075.69 211.417
27500000 -37.9536 1106.58 301.572 1068.63 212.018
27600000 -38.5559 1101.14 300.089 1062.59 212.505
27700000 -65.5427 1101.49 300.185 1035.95 212.595
27800000 -51.5751 1097.57 299.117 1046 212.174
27900000 -69.4998 1080.78 294.54 1011.28 212.156
28000000 -45.786 1108.68 302.145 1062.9 212.698
28100000 -60.9372 1118.91 304.933 1057.98 213.913
28200000 -31.7104 1105.87 301.379 1074.16 215.89
28300000 -27.4894 1093.88 298.111 1066.39 216.839
28400000 -38.1637 1084 295.417 1045.83 217.127
28500000 -42.4282 1100.38 299.882 1057.95 217.484
28600000 -57.3784 1089.41 296.893 1032.04 218.563
28700000 -54.0303 1097.67 299.143 1043.64 219.037
28800000 -96.6614 1102.58 300.482 1005.92 219.425
28900000 -55.4013 1104.22 300.93 1048.82 218.557
29000000 -61.0851 1105.75 301.345 1044.66 217.823
29100000 -60.4585 1102.81 300.545 1042.36 218.117
29200000 -46.1102 1114.13 303.628 1068.02 219.13
29300000 -38.8878 1099.27 299.58 1060.38 219.688
29400000 -69.6761 1099.79 299.721 1030.11 219.487
29500000 -75.4883 1097.35 299.055 1021.86 220.1
29600000 -73.2366 1104.73 301.068 1031.49 220.674
29700000 -89.6435 1117.76 304.618 1028.11 222.036
29800000 -103.297 1101.66 300.231 998.364 222.973
29900000 -92.2748 1080.43 294.446 988.158 224.202
30000000 -86.6177 1082.54 295.019 995.92 224.522
30100000 -72.0839 1104 300.869 1031.92 224.488
30200000 -76.4496 1091.17 297.372 1014.72 225.452
30300000 -64.3054 1098.32 299.321 1034.02 224.918
30400000 -58.4178 1107.97 301.949 1049.55 225.625
30500000 -124.163 1105.54 301.289 981.382 226.098
30600000 -169.489 1091.68 297.512 922.196 225.707
30700000 -125.072 1098.41 299.346 973.341 225.448
30800000 -103.867 1110.37 302.604 1006.5 226.434
30900000 -133.882 1102.96 300.584 969.074 228.507
31000000 -117.407 1108.25 302.027 990.846 229.899
31100000 -64.2731 1084.56 295.57 1020.29 230.514
31200000 -76.209 1100.57 299.934 1024.36 230.876
31300000 -63.7052 1096.52 298.829 1032.81 230.022
31400000 -46.9622 1090.65 297.232 1043.69 229.618
31500000 -59.881 1101.6 300.213 1041.71 229.403
31600000 -32.9697 1097.44 299.08 1064.47 229.569
31700000 -115.766 1107.42 301.801 991.656 229.875
31800000 -115.95 1096.84 298.918 980.893 230.476
31900000 -123.609 1103.35 300.691 979.741 229.145
32000000 -82.3303 1093.92 298.121 1011.59 228.652
32100000 -109.292 1111.82 302.999 1002.53 228.807
32200000 -61.3763 1099.37 299.607 1037.99 229.195
32300000 -54.7687 1090.73 297.252 1035.96 229.017
32400000 -90.0542 1098.96 299.496 1008.91 228.893
32500000 -72.4179 1099.97 299.769 1027.55 229.247
32600000 -100.149 1093.8 298.088 993.647 230.364
32700000 -98.8807 1105.37 301.242 1006.49 230.965
32800000 -94.3407 1101.26 300.12 1006.91 232.575
32900000 -68.3544 1087.11 296.266 1018.76 232.331
33000000 -99.1442 1096.6 298.852 997.456 232.592
