# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
80100000 -109.836 1104.16 300.912 994.323 349.052
80200000 -134.757 1103.63 300.768 968.875 348.058
80300000 -102.57 1110.34 302.595 1007.77 347.839
80400000 -123.159 1103.58 300.754 980.422 347.529
80500000 -98.173 1096.48 298.818 998.302 347.71
80600000 -103.353 1096.3 298.769 992.944 348.054
80700000 -70.5789 1103.34 300.688 1032.76 347.194
80800000 -37.5646 1115.05 303.881 1077.49 347.36
80900000 -8.51718 1109 302.231 1100.48 346.491
81000000 -44.9273 1112.37 303.149 1067.44 346.4
81100000 -15.724 1107.66 301.866 1091.94 346.428
81200000 -43.0706 1116.92 304.388 1073.84 346.719
81300000 -57.5149 1102.92 300.573 1045.4 346.914
81400000 -70.2255 1091.13 297.362 1020.91 346.694
81500000 -85.7061 1102.7 300.514 1016.99 346.278
81600000 -87.2022 1105.36 301.24 1018.16 346.09
81700000 -72.2254 1118.39 304.792 1046.17 347
81800000 -61.4506 1098.75 299.437 1037.3 347.8
81900000 -67.8587 1097.36 299.06 1029.51 347.434
82000000 -53.0495 1098.18 299.283 1045.13 346.629
82100000 -51.5762 1097.04 298.971 1045.46 346.95
82200000 1.18214 1121.21 305.558 1122.39 346.71
82300000 -41.0151 1106.34 301.507 1065.33 346.726
82400000 -76.6867 1093.46 297.997 1016.78 347.427
82500000 -95.9904 1111.69 302.963 1015.7 347.145
82600000 -57.5901 1099.45 299.628 1041.86 347.184
82700000 -71.0241 1091.26 297.396 1020.24 346.587
82800000 -49.1248 1098.11 299.264 1048.99 347.666
82900000 -8.4077 1106.03 301.423 1097.63 349.368
83000000 -46.4678 1107.77 301.895 1061.3 349.465
83100000 -29.5116 1110.06 302.519 1080.55 349.588
83200000 -65.3471 1097.48 299.092 1032.13 348.9
83300000 -58.122 1095.84 298.645 1037.72 348.297
83400000 -38.9922 1095.07 298.434 1056.08 347.903
83500000 -45.7337 1098.9 299.477 1053.16 347.894
83600000 -39.9531 1089.93 297.033 1049.97 348.496
83700000 -50.3912 1115.05 303.881 1064.66 349.386
83800000 -27.1747 1087.71 296.428 1060.53 350.074
83900000 -16.7878 1111.95 303.035 1095.16 349.217
84000000 -46.0157 1106.58 301.571 1060.56 350.383
84100000 -21.7134 1089.64 296.956 1067.93 349.743
84200000 -48.2883 1103.01 300.6 1054.72 349.834
84300000 -63.7251 1106.33 301.504 1042.61 349.592
84400000 -29.5097 1112.47 303.177 1082.96 349.383
84500000 -42 1104.72 301.064 1062.72 348.713
84600000 -69.7487 1098.61 299.401 1028.87 349.781
84700000 -41.8386 1113.78 303.533 1071.94 351.384
84800000 -65.8452 1095.88 298.655 1030.03 352.003
84900000 -91.0875 1095.61 298.581 1004.52 351.402
85000000 -69.0932 1123.33 306.135 1054.23 353.018
85100000 -101.505 1098.56 299.387 997.057 352.602
85200000 -49.8862 1106.45 301.536 1056.56 352.177
85300000 -37.2855 1116.11 304.169 1078.83 352.475
85400000 -35.7522 1113.22 303.382 1077.47 352.07
85500000 -60.3151 1109.89 302.475 1049.58 352.674
85600000 -68.2348 1093.92 298.122 1025.69 352.146
85700000 -42.7487 1099.97 299.77 1057.22 352.693
85800000 -43.487 1104.55 301.019 1061.06 353.386
85900000 -67.8041 1102.44 300.442 1034.63 354.288
86000000 -59.3427 1112.09 303.073 1052.75 355.949
86100000 -31.5793 1095.86 298.649 1064.28 356.451
86200000 -51.1203 1106.64 301.588 1055.52 355.499
86300000 -54.4511 1112.84 303.278 1058.39 355.159
86400000 -65.72 1107.41 301.798 1041.69 355.553
86500000 -44.6942 1099.53 299.649 1054.83 355.895
86600000 -32.8911 1095.68 298.602 1062.79 356.314
86700000 -53.0969 1118.37 304.784 1065.27 357.116
86800000 -61.9237 1108.21 302.016 1046.29 356.115
86900000 -95.7227 1105.65 301.318 1009.93 356.131
87000000 -101.096 1106.3 301.496 1005.21 356.75
87100000 -86.8763 1087.41 296.347 1000.53 356.183
87200000 -88.9999 1093.08 297.893 1004.08 355.682
