# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 335.522 1286.28 301.551 1621.8 76.9081
200000 134.433 1288.38 302.044 1422.81 78.849
300000 -16.5311 1276.36 299.226 1259.83 78.9932
400000 -124.388 1281.02 300.318 1156.63 80.0019
500000 -136.276 1275 298.906 1138.72 81.9227
600000 -152.161 1267.85 297.23 1115.68 83.1984
700000 -193.144 1282.31 300.621 1089.16 84.0697
800000 -218.735 1275.32 298.982 1056.58 84.6247
900000 -210.144 1282.83 300.742 1072.68 85.6561
1000000 -224.623 1279.72 300.014 1055.1 87.0788
1100000 -178.542 1276.84 299.339 1098.3 87.225
1200000 -197.389 1278.46 299.717 1081.07 88.711
1300000 -188.589 1277.76 299.555 1089.17 89.6498
1400000 -227.623 1271.24 298.025 1043.61 89.8326
1500000 -206.312 1287.14 301.753 1080.83 90.151
1600000 -234.436 1277.71 299.544 1043.28 90.8559
1700000 -227.931 1289.67 302.347 1061.74 91.2863
1800000 -184.714 1276.68 299.3 1091.96 90.246
1900000 -211.744 1292.55 303.022 1080.81 90.4716
2000000 -202.193 1299.43 304.633 1097.23 91.6669
2100000 -236.58 1291.74 302.831 1055.16 91.2507
2200000 -219.754 1270.71 297.901 1050.95 91.4162
2300000 -223.85 1281.6 300.454 1057.75 92.979
2400000 -225.286 1280.84 300.276 1055.55 94.4003
2500000 -201.834 1285.78 301.434 1083.95 94.3309
2600000 -193.895 1276.34 299.222 1082.45 95.1861
2700000 -173.238 1274.63 298.821 1101.39 95.3757
2800000 -218.806 1288.47 302.066 1069.67 96.1332
2900000 -226.906 1287.33 301.798 1060.43 96.911
3000000 -226.584 1270.74 297.909 1044.16 98.0603
3100000 -248.696 1278.19 299.654 1029.49 99.2205
3200000 -221.323 1285.96 301.478 1064.64 100.391
3300000 -213.739 1294.65 303.513 1080.91 100.382
3400000 -221.555 1295.92 303.811 1074.36 100.592
3500000 -221.399 1276.92 299.357 1055.52 101.327
3600000 -169.289 1278.93 299.829 1109.64 101.868
3700000 -178.572 1270.83 297.93 1092.26 103.13
3800000 -154.001 1283.53 300.907 1129.53 103.51
3900000 -133.305 1282.89 300.756 1149.58 104.561
4000000 -171.214 1278.25 299.668 1107.03 105.855
4100000 -195.102 1287.13 301.75 1092.03 106.631
4200000 -175.871 1284.42 301.115 1108.54 107.164
4300000 -248.428 1281.02 300.318 1032.59 106.564
4400000 -252.216 1293.11 303.152 1040.89 106.603
4500000 -263.075 1299.93 304.752 1036.86 107.315
4600000 -248.581 1286.05 301.499 1037.47 107.967
4700000 -215.876 1282.54 300.674 1066.66 109.054
4800000 -191.271 1284.07 301.033 1092.8 108.767
4900000 -220.948 1281.5 300.431 1060.55 109.288
5000000 -210.738 1286.08 301.504 1075.34 109.604
