# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 318.577 921.986 300.007 1240.56 73.3657
200000 169.247 915.764 297.982 1085.01 75.2274
300000 58.8844 921.383 299.811 980.268 77.3718
400000 65.2384 917.038 298.397 982.277 80.4852
500000 71.9033 930.487 302.773 1002.39 81.6929
600000 47.2214 926.705 301.543 973.927 82.9934
700000 31.2473 921.285 299.779 952.532 83.9648
800000 24.5533 920.642 299.57 945.195 84.8998
900000 45.1485 914.087 297.437 959.236 86.6987
1000000 35.4262 919.131 299.078 954.557 88.5313
1100000 51.3557 924.439 300.805 975.795 88.8705
1200000 45.8173 928.27 302.052 974.087 89.6878
1300000 25.4382 918.184 298.77 943.622 90.9455
1400000 60.0832 935.179 304.3 995.262 90.8491
1500000 57.7311 938.121 305.257 995.852 91.164
1600000 54.5276 912.807 297.02 967.335 93.3666
1700000 33.9859 926.558 301.495 960.544 94.2087
1800000 36.7434 917.667 298.602 954.411 94.9519
1900000 26.0658 919.553 299.215 945.619 95.1938
2000000 6.77095 939.914 305.841 946.685 97.4105
2100000 27.3124 916.833 298.33 944.146 98.8529
2200000 8.36141 927.118 301.677 935.479 99.4826
2300000 27.99 910.095 296.138 938.085 101.345
2400000 9.82705 928.605 302.161 938.432 102.696
2500000 -23.5869 930.724 302.85 907.137 103.471
2600000 0.0234451 917.995 298.708 918.018 103.315
2700000 -24.7589 918.461 298.86 893.702 103.019
2800000 -4.67453 926.587 301.504 921.912 103.972
2900000 38.535 915.589 297.925 954.124 104.987
3000000 54.3377 915.249 297.815 969.586 107.195
3100000 18.9038 915.377 297.857 934.281 109.759
3200000 22.4464 919.918 299.334 942.364 112.464
3300000 24.7177 925.77 301.238 950.488 113.459
3400000 -10.8527 923.13 300.379 912.278 113.815
3500000 10.289 928.862 302.244 939.151 114.142
3600000 -13.1777 925.189 301.049 912.012 115.451
3700000 -6.6157 920.523 299.531 913.907 115.828
3800000 -28.01 919.376 299.158 891.366 116.423
3900000 -17.9298 922.469 300.164 904.539 117.201
4000000 -3.57947 923.995 300.661 920.416 118.583
4100000 8.48839 914.692 297.634 923.18 118.289
4200000 42.5857 924.168 300.717 966.753 117.977
4300000 5.03657 924.469 300.815 929.505 118.689
4400000 -1.2511 922.383 300.136 921.132 118.8
4500000 2.96467 918.207 298.777 921.172 119.559
4600000 -22.1274 921.194 299.749 899.067 121.146
4700000 -22.6815 924.818 300.928 902.136 122.407
4800000 -24.0259 915.582 297.923 891.556 121.39
4900000 -13.2855 926.942 301.62 913.656 121.691
5000000 -0.891245 920.788 299.617 919.896 123.621
