# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 9.96591 922.3 300.109 932.266 124.527
5200000 1.23253 922.76 300.259 923.992 125.707
5300000 -30.3168 924.667 300.879 894.35 126.727
5400000 -22.857 917.076 298.409 894.219 126.843
5500000 9.3137 911.287 296.525 920.6 127.551
5600000 -4.58309 910.512 296.274 905.929 128.382
5700000 3.3037 903.599 294.024 906.902 130.18
5800000 46.4622 925.866 301.269 972.328 130.602
5900000 19.4445 930.712 302.846 950.156 132.969
6000000 35.1489 922.945 300.319 958.094 132.988
6100000 32.0382 911.706 296.662 943.744 133.634
6200000 39.5716 932.938 303.571 972.51 134.265
6300000 -0.0723981 922.382 300.136 922.31 135.882
6400000 -12.4862 928.438 302.106 915.951 135.908
6500000 -6.93203 927.052 301.655 920.12 136.41
6600000 -17.5706 928.591 302.156 911.02 136.961
6700000 -19.9931 914.343 297.52 894.349 136.634
6800000 26.5599 923.054 300.355 949.614 138.196
6900000 24.2476 919.518 299.204 943.766 138.86
7000000 48.2029 929.666 302.506 977.869 139.833
7100000 45.1422 920.591 299.553 965.733 141.195
7200000 49.8379 909.174 295.838 959.012 141.385
7300000 29.5239 910.277 296.197 939.801 140.525
7400000 5.15274 904.81 294.418 909.963 140.907
7500000 -17.6451 918.381 298.834 900.736 141.144
7600000 8.49193 918.284 298.802 926.776 142.031
7700000 47.4982 912.85 297.034 960.348 143.659
7800000 44.2651 923.054 300.355 967.319 144.809
7900000 30.122 920.182 299.42 950.304 145.227
8000000 40.3504 926.273 301.402 966.623 145.988
8100000 22.8767 910.937 296.412 933.814 147.376
8200000 31.821 927.074 301.663 958.895 148.286
8300000 -1.0145 915.176 297.791 914.162 148.79
8400000 -14.3302 927.768 301.888 913.438 150.186
8500000 -22.1497 938.007 305.22 915.857 151.533
8600000 -48.3558 908.98 295.775 860.624 152.172
8700000 -21.3712 915.623 297.937 894.252 153.051
8800000 -8.66805 923.807 300.6 915.139 154.887
8900000 3.99875 918.333 298.818 922.331 154.969
9000000 29.2644 920.252 299.443 949.517 156.369
9100000 18.3647 930.972 302.931 949.337 156.687
9200000 13.7506 928.775 302.216 942.525 157.534
9300000 -23.1699 926.148 301.361 902.979 157.743
9400000 -32.6299 912.312 296.859 879.682 158.942
9500000 -16.3617 920.279 299.452 903.918 159.272
