# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -360.643 917.207 298.452 556.565 124.735
5200000 -408.897 920.363 299.479 511.466 125.853
5300000 -412.146 921.394 299.814 509.248 127.337
5400000 -431.806 906.234 294.881 474.428 129.729
5500000 -410.382 941.581 306.383 531.199 130.135
5600000 -404.625 912.29 296.852 507.664 131.467
5700000 -395.709 923.862 300.617 528.153 132.501
5800000 -395.104 929.934 302.593 534.83 133.177
5900000 -408.904 920.869 299.643 511.965 133.947
6000000 -369.772 918.807 298.973 549.036 134.208
6100000 -391.539 923.804 300.599 532.265 133.696
6200000 -424.8 915.969 298.049 491.169 133.484
6300000 -431.35 911.859 296.712 480.508 133.235
6400000 -432.284 926.136 301.357 493.852 134.63
6500000 -415.087 931.779 303.193 516.692 135.912
6600000 -441.62 912.201 296.823 470.58 136.654
6700000 -418.587 913.951 297.392 495.363 137.024
6800000 -407.098 918.263 298.795 511.164 136.775
6900000 -433.118 909.211 295.85 476.092 136.888
7000000 -402.248 917.26 298.469 515.012 137.7
7100000 -409.849 918.187 298.771 508.338 138.061
7200000 -372.33 914.951 297.718 542.621 138.405
7300000 -397.043 913.152 297.133 516.109 138.734
7400000 -392.979 921.413 299.821 528.433 138.809
7500000 -403.821 915.391 297.861 511.569 139.893
7600000 -394.156 912.987 297.079 518.831 140.431
7700000 -395.369 919.532 299.208 524.163 141.52
7800000 -425.384 919.148 299.084 493.765 142.773
7900000 -431.415 922.976 300.329 491.561 143.672
8000000 -378.824 930.065 302.636 551.241 143.801
8100000 -374.63 925.226 301.061 550.596 143.863
8200000 -376.576 933.506 303.756 556.93 144.471
8300000 -369.96 919.503 299.199 549.543 144.693
8400000 -405.921 917.792 298.642 511.871 144.541
8500000 -379.443 917.502 298.548 538.059 144.964
8600000 -388.175 921.465 299.837 533.289 144.764
8700000 -388.891 921.091 299.716 532.2 144.983
8800000 -375.12 930.187 302.676 555.067 145.433
8900000 -377.15 922.471 300.165 545.321 145.476
9000000 -333.607 926.251 301.395 592.644 145.797
9100000 -376.3 919.928 299.337 543.628 146.563
9200000 -357.821 924.055 300.68 566.234 148.261
9300000 -363.024 920.307 299.461 557.283 149.839
9400000 -356.955 923.584 300.527 566.629 151.489
9500000 -364.855 930.885 302.903 566.03 152.943
9600000 -362.313 934.73 304.154 572.417 154.219
9700000 -347.674 924.512 300.829 576.838 156.006
9800000 -372.661 924.789 300.919 552.128 157.013
9900000 -379.426 919.912 299.332 540.485 158.258
10000000 -421.708 932.77 303.516 511.062 158.013
10100000 -382.035 913.984 297.403 531.949 157.373
10200000 -386.266 929.087 302.318 542.821 156.912
10300000 -359.438 930.629 302.819 571.191 156.785
10400000 -409.716 911.074 296.456 501.358 156.994
10500000 -401.67 916.904 298.353 515.233 157.264
10600000 -412.451 917.207 298.452 504.756 157.655
10700000 -369.707 924.474 300.816 554.767 159.215
10800000 -399.363 921.266 299.773 521.903 159.333
10900000 -418.683 926.08 301.339 507.397 160.18
11000000 -396.52 920.412 299.495 523.892 160.471
11100000 -397.092 919.184 299.095 522.093 160.042
11200000 -387.367 930.278 302.705 542.911 160.464
11300000 -394.297 912.731 296.996 518.434 160.743
11400000 -430.852 925.528 301.16 494.676 160.556
11500000 -361.618 925.353 301.103 563.735 161.676
11600000 -410.968 918.554 298.89 507.586 161.953
11700000 -450.924 920.038 299.373 469.114 161.206
11800000 -397.701 912.544 296.935 514.843 160.893
11900000 -380.295 931.521 303.11 551.226 161.401
12000000 -361.06 916.999 298.384 555.939 161.774
12100000 -338.97 922.086 300.039 583.116 161.214
12200000 -344.559 921.927 299.988 577.368 161.569
12300000 -365.692 923.028 300.346 557.336 161.437
12400000 -374.315 931.266 303.027 556.952 161.357
12500000 -374.67 923.415 300.472 548.744 161.77
12600000 -367.665 923.262 300.422 555.597 162.555
12700000 -383.298 920.767 299.61 537.469 162.969
12800000 -369.946 917.156 298.435 547.21 163.119
12900000 -398.514 918.167 298.764 519.653 164.1
13000000 -391.286 923.735 300.576 532.449 164.024
13100000 -404.716 942.716 306.752 538 164.873
13200000 -363.284 918.298 298.807 555.014 166.019
13300000 -365.851 917.59 298.576 551.738 165.834
13400000 -369.649 922.967 300.326 553.319 165.143
13500000 -364.324 915.543 297.911 551.219 165.904
13600000 -400.588 918.342 298.821 517.754 167.486
13700000 -392.57 918.212 298.779 525.642 168.142
13800000 -416.162 938.981 305.537 522.819 168.636
13900000 -398.656 925.282 301.08 526.626 168.355
14000000 -416.477 917 298.385 500.524 167.533
14100000 -424.185 911.551 296.611 487.366 167.796
14200000 -421.887 922.241 300.09 500.355 168.009
14300000 -447.287 923.714 300.569 476.427 168.395
14400000 -454.092 904.774 294.406 450.681 169.297
14500000 -441.345 927.094 301.669 485.749 168.679
14600000 -411.993 917.56 298.567 505.567 168.469
14700000 -416.706 924.765 300.911 508.059 169.183
14800000 -361.017 922.275 300.101 561.258 170.739
14900000 -355.88 926.169 301.368 570.289 171.441
15000000 -404.745 912.922 297.058 508.177 171.195
15100000 -391.606 923.652 300.549 532.046 172.075
15200000 -385.213 922.427 300.151 537.214 172.526
15300000 -338.287 930.905 302.909 592.618 172.206
15400000 -347.233 938.069 305.24 590.835 172.336
15500000 -352.718 904.883 294.442 552.165 172.772
15600000 -371.111 922.968 300.327 551.857 172.927
15700000 -356.722 913.192 297.145 556.47 172.668
15800000 -360.374 930.352 302.729 569.978 173.809
15900000 -357.441 921.705 299.915 564.264 174.622
16000000 -379.52 901.18 293.237 521.66 174.492
16100000 -433.617 924.49 300.822 490.873 175.446
16200000 -416.799 913.487 297.241 496.688 175.978
16300000 -445.038 913.542 297.259 468.504 176.971
16400000 -424.74 931.772 303.191 507.032 177.326
16500000 -415.578 920.982 299.68 505.404 176.937
16600000 -407.086 922.135 300.055 515.049 177.305
16700000 -448.507 916.603 298.256 468.096 176.633
16800000 -414.53 916.709 298.29 502.179 176.451
16900000 -399.786 914.073 297.432 514.287 177.687
17000000 -389.277 912.971 297.074 523.694 177.466
17100000 -387.001 930.678 302.835 543.676 177.257
17200000 -412.158 920.76 299.608 508.602 177.457
17300000 -397.943 921.329 299.793 523.386 177.654
17400000 -393.206 916.839 298.332 523.633 177.515
17500000 -384.734 907.801 295.391 523.067 177.474
17600000 -369.077 928.596 302.158 559.519 178.61
17700000 -387.835 912.294 296.853 524.459 178.42
17800000 -360.805 921.926 299.987 561.121 179.873
17900000 -386.652 910.315 296.209 523.663 180.962
18000000 -398.284 928.679 302.185 530.394 181.767
18100000 -391.97 923.086 300.365 531.116 181.934
18200000 -376.452 911.856 296.711 535.405 182.596
18300000 -379.681 907.021 295.137 527.34 183.984
18400000 -361.746 924.203 300.728 562.456 183.83
18500000 -377.205 920.134 299.404 542.928 184.63
18600000 -366.348 928.522 302.134 562.173 185.175
18700000 -367.116 907.422 295.268 540.306 184.77
18800000 -361.664 919.175 299.092 557.511 184.866
18900000 -379.715 917.013 298.389 537.298 186.416
19000000 -385.689 926.129 301.355 540.439 186.384
19100000 -365.545 917.511 298.551 551.966 186.445
19200000 -392.111 927.565 301.822 535.454 187.62
19300000 -384.861 912.023 296.765 527.162 187.936
19400000 -370.957 923.257 300.42 552.3 188.788
19500000 -379.447 910.074 296.131 530.627 191.278
19600000 -406.971 922.72 300.246 515.749 192.074
19700000 -403.073 915.839 298.007 512.765 191.684
19800000 -427.837 917.223 298.457 489.387 190.373
19900000 -410.977 912.314 296.86 501.338 189.845
20000000 -428.169 914.591 297.601 486.422 190.583
20100000 -376.709 926.764 301.562 550.056 192.302
20200000 -353.105 913.509 297.249 560.404 192.021
20300000 -322.072 917.661 298.6 595.588 191.005
20400000 -344.839 916.05 298.075 571.211 192.358
20500000 -324.926 910.671 296.325 585.745 192.659
20600000 -346.892 913.286 297.176 566.393 194.122
20700000 -407.226 922.669 300.229 515.443 194.994
20800000 -401.876 927.416 301.774 525.539 195.048
20900000 -387.521 923.526 300.508 536.005 196.017
21000000 -390.764 918.962 299.023 528.198 196.927
21100000 -374.828 924.851 300.939 550.023 197.276
21200000 -345.733 930.149 302.663 584.416 197.095
21300000 -377.373 924.278 300.753 546.905 196.191
21400000 -355.783 924.018 300.668 568.236 196.179
21500000 -359.271 920.662 299.576 561.39 196.77
21600000 -358.884 931.353 303.055 572.468 197.422
21700000 -371.83 917.219 298.456 545.389 197.601
21800000 -353.779 929.484 302.447 575.705 198.249
21900000 -361.018 908.878 295.742 547.859 199.946
22000000 -362.607 930.796 302.874 568.189 200.519
22100000 -393.037 926.146 301.36 533.109 200.246
22200000 -382.849 921.621 299.888 538.772 200.179
22300000 -401.398 908.012 295.46 506.614 200.239
22400000 -369.537 908.003 295.457 538.466 201.097
22500000 -407.906 922.788 300.268 514.882 199.995
22600000 -385.758 928.564 302.147 542.806 199.526
22700000 -384.353 916.913 298.356 532.56 199.997
22800000 -373.656 930.261 302.7 556.605 199.811
22900000 -378.348 921.403 299.817 543.055 200.194
23000000 -356.458 915.951 298.043 559.493 200.205
23100000 -385.96 917.886 298.673 531.926 201.79
23200000 -429.507 933.472 303.744 503.965 203.513
23300000 -378.887 926.948 301.622 548.061 204.552
23400000 -400.406 913.722 297.318 513.315 204.272
23500000 -374.66 913.921 297.383 539.261 204.108
23600000 -441.055 926.748 301.557 485.693 202.566
23700000 -397.039 922.978 300.33 525.939 203.117
23800000 -382.831 917.76 298.632 534.93 204.541
23900000 -368.551 915.174 297.79 546.623 204.844
24000000 -375.469 909.777 296.034 534.308 206.374
24100000 -391.976 916.528 298.231 524.552 207.264
24200000 -392.098 921.921 299.986 529.823 208.383
24300000 -363.161 916.238 298.137 553.078 208.524
24400000 -381.7 914.978 297.727 533.279 209.643
24500000 -406.342 937.617 305.093 531.275 209.78
24600000 -384.13 923.694 300.563 539.564 210.071
24700000 -355.001 922.627 300.215 567.626 210.026
24800000 -339.76 914.598 297.603 574.838 209.974
24900000 -346.595 921.772 299.937 575.177 209.946
25000000 -318.735 927.916 301.936 609.181 210.9
25100000 -368.56 941.537 306.369 572.977 210.979
25200000 -385.471 931.047 302.955 545.576 211.153
25300000 -386.032 923.478 300.493 537.447 211.565
25400000 -336.712 919.368 299.155 582.656 212.27
25500000 -315.506 919.089 299.064 603.582 212.734
25600000 -354.388 920.541 299.537 566.152 213.764
25700000 -335.737 919.708 299.266 583.971 214.856
25800000 -351.056 919.604 299.232 568.547 215.74
25900000 -352.597 927.575 301.825 574.978 216.978
26000000 -351.17 922.826 300.28 571.656 218.672
26100000 -347.725 931.392 303.068 583.667 217.966
26200000 -331.044 923.377 300.46 592.333 217.959
26300000 -357.681 910.467 296.259 552.787 220.046
26400000 -342.745 928.271 302.052 585.526 221.421
26500000 -324.74 916.581 298.248 591.841 221.628
26600000 -333.201 917.025 298.393 583.824 221.574
26700000 -337.328 928.845 302.239 591.517 222.677
26800000 -309.777 927.758 301.885 617.981 223.686
26900000 -359.324 924.841 300.936 565.517 224.267
27000000 -350.204 927.86 301.918 577.656 224.969
27100000 -359.699 929.976 302.607 570.277 224.794
27200000 -356.173 916.902 298.353 560.729 225.187
27300000 -359.984 929.756 302.535 569.772 225.285
27400000 -370.527 917.689 298.609 547.162 225.408
