# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
90100000 -312.535 919.23 299.11 606.695 413.048
90200000 -349.312 924.12 300.701 574.808 413.577
90300000 -344.908 915.6 297.929 570.693 414.394
90400000 -320.315 929.586 302.48 609.271 414.324
90500000 -385.032 931.374 303.062 546.342 415.294
90600000 -342.522 927.732 301.877 585.21 415.382
90700000 -357.281 922.771 300.262 565.49 416.08
90800000 -368.624 915.171 297.789 546.547 416.128
90900000 -377.45 917.854 298.663 540.405 415.648
91000000 -355.846 909.707 296.011 553.86 416.399
91100000 -371.408 933.596 303.785 562.188 416.576
91200000 -382.454 921.855 299.964 539.401 416.804
91300000 -385.862 912.531 296.93 526.67 415.982
91400000 -374.991 928.587 302.155 553.596 416.089
91500000 -384.17 925.396 301.116 541.226 415.664
91600000 -409.455 909.274 295.87 499.818 415.789
91700000 -414.411 916.36 298.176 501.949 415.682
91800000 -417.813 919.286 299.128 501.473 415.69
91900000 -432.416 916.635 298.266 484.219 414.801
92000000 -383.292 909.316 295.884 526.025 414.846
92100000 -364.543 925.727 301.224 561.184 415.056
92200000 -362.803 919.067 299.057 556.265 416.115
92300000 -331.386 942.544 306.696 611.158 415.611
92400000 -308.097 907.401 295.261 599.304 415.575
92500000 -290.435 925.625 301.191 635.19 415.877
92600000 -340.077 923.595 300.531 583.518 415.973
92700000 -287.227 912.289 296.852 625.062 415.059
92800000 -323.209 933.806 303.853 610.597 414.179
92900000 -314.143 930.208 302.682 616.065 414.324
93000000 -336.551 906.849 295.081 570.298 413.943
93100000 -356.033 930.477 302.77 574.444 414.622
93200000 -334.446 932.778 303.518 598.331 415.418
93300000 -302.93 916.472 298.213 613.543 416.371
93400000 -332.034 921.148 299.734 589.114 417.286
93500000 -335.456 923.97 300.652 588.513 417.573
93600000 -329.643 917.813 298.649 588.17 418.569
93700000 -315.695 933.692 303.816 617.997 418.567
93800000 -295.994 910.441 296.25 614.446 418.721
93900000 -358.854 935.556 304.423 576.702 418.331
94000000 -363.724 924.099 300.695 560.375 417.967
94100000 -358.968 919.306 299.135 560.338 418.385
94200000 -357.187 914.988 297.73 557.801 418.638
94300000 -335.954 927.541 301.814 591.586 418.98
94400000 -361.13 903.238 293.906 542.108 418.59
94500000 -380.521 920.603 299.557 540.082 419.501
94600000 -380.569 928.034 301.975 547.464 420.482
94700000 -358.198 934.68 304.138 576.482 420.582
94800000 -342.039 927.737 301.878 585.698 421.592
94900000 -339.698 921.733 299.925 582.036 420.841
95000000 -343.91 927.558 301.82 583.648 419.262
95100000 -380.258 918.81 298.974 538.552 419.442
95200000 -372.803 926.573 301.499 553.769 420.101
95300000 -391.217 924.998 300.987 533.781 420.942
95400000 -368.941 906.563 294.989 537.622 420.381
95500000 -359.032 930.469 302.767 571.436 419.519
95600000 -376.573 922.281 300.103 545.708 418.872
95700000 -399.356 915.818 298 516.462 417.648
95800000 -351.158 921.235 299.762 570.077 418.216
95900000 -351.038 924.441 300.806 573.403 417.566
96000000 -380.549 918.897 299.002 538.348 416.105
96100000 -361.714 920.276 299.45 558.562 417.204
96200000 -391.283 915.213 297.803 523.931 417.053
96300000 -399.797 925.632 301.193 525.835 416.762
96400000 -410.341 930.967 302.929 520.627 418.438
96500000 -416.43 923.137 300.382 506.708 419.16
96600000 -398.409 921.395 299.815 522.986 419.242
96700000 -382.441 909.922 296.081 527.48 420.271
96800000 -396.728 917.311 298.486 520.583 419.62
96900000 -417.224 919.534 299.209 502.31 418.761
97000000 -374.79 915.513 297.901 540.724 418.811
97100000 -376.995 936.149 304.616 559.154 420.586
97200000 -362.992 929.601 302.485 566.609 421.631
97300000 -326.45 922.924 300.312 596.474 420.885
97400000 -352.316 929.645 302.499 577.329 420.449
97500000 -334.637 929.596 302.483 594.96 420.832
97600000 -335.397 919.48 299.191 584.083 420.36
97700000 -342.726 921.508 299.851 578.782 420.744
97800000 -348.896 924.865 300.944 575.969 421.05
97900000 -357.657 910.042 296.12 552.385 421.28
98000000 -299.948 925.059 301.007 625.112 421.329
98100000 -367.87 932.209 303.333 564.338 422.516
98200000 -350.581 935.598 304.436 585.018 423.157
98300000 -357.824 925.668 301.205 567.844 423.9
98400000 -378.226 912.751 297.002 534.525 423.875
98500000 -336.186 917.101 298.417 580.915 423.804
98600000 -366.928 920.635 299.567 553.707 423.253
98700000 -385.492 930.233 302.69 544.741 424.118
98800000 -352.055 928.87 302.247 576.814 424.259
98900000 -382.262 923.69 300.561 541.428 425.247
99000000 -402.742 903.556 294.01 500.814 425.731
99100000 -387.136 923.301 300.435 536.165 426.165
99200000 -387.008 922.739 300.252 535.732 426.076
99300000 -401.112 909.75 296.025 508.638 426.429
99400000 -375.632 933.475 303.745 557.842 426.803
99500000 -371.046 931.554 303.12 560.508 426.628
99600000 -352.199 922.156 300.062 569.957 425.578
99700000 -372.349 926.312 301.415 553.963 425.37
99800000 -364.868 934.708 304.147 569.84 425.893
99900000 -350.905 913.791 297.34 562.887 425.776
100000000 -355.951 926.271 301.401 570.321 426.945
