# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 3.61106 924.094 300.693 927.705 138.593
5200000 4.63093 919.377 299.158 924.008 137.687
5300000 2.47269 940.437 306.011 942.91 138.951
5400000 19.2219 929.953 302.599 949.175 138.976
5500000 -7.83018 914.2 297.473 906.37 140.84
5600000 -38.8466 928.88 302.25 890.033 142.878
5700000 -1.10579 915.241 297.812 914.136 142.726
5800000 -11.131 906.712 295.037 895.581 141.907
5900000 -37.9239 920.792 299.618 882.868 143.638
6000000 -45.4051 922.161 300.064 876.756 145.209
6100000 -30.8759 929.118 302.328 898.242 145.756
6200000 14.2909 916.875 298.344 931.166 146.882
6300000 27.5679 916.193 298.122 943.761 148.355
6400000 -8.67941 924.635 300.869 915.955 149.761
6500000 -16.115 915.46 297.883 899.345 149.96
6600000 5.2319 927.694 301.864 932.926 151.454
6700000 7.68936 916.849 298.336 924.539 152.437
6800000 13.9207 914.109 297.444 928.03 153.915
6900000 2.36378 929.684 302.512 932.048 155.387
7000000 -12.0708 923.903 300.631 911.832 156.726
7100000 11.1679 931.909 303.236 943.077 157.408
7200000 -10.5168 914.803 297.67 904.286 158.735
7300000 -34.6218 919.104 299.069 884.483 160.053
7400000 -24.3829 920.427 299.5 896.044 159.864
7500000 18.7249 928.434 302.105 947.159 159.21
7600000 -14.1232 916.38 298.183 902.257 158.852
7700000 9.20093 923.818 300.603 933.019 159.383
7800000 43.9086 935.597 304.436 979.506 160.364
7900000 32.242 923.222 300.409 955.464 161.597
8000000 -35.9946 917.522 298.554 881.527 163.847
8100000 -22.9086 930.518 302.783 907.61 163.736
8200000 3.87169 920.374 299.482 924.246 163.668
8300000 -15.9548 928.957 302.275 913.002 164.696
8400000 11.109 929.618 302.49 940.727 164.495
8500000 -29.3009 913.853 297.36 884.552 165.679
8600000 -7.61944 929.018 302.295 921.398 167.375
8700000 -52.3257 915.795 297.992 863.469 168.108
8800000 -24.3426 917.254 298.467 892.911 170.001
8900000 4.6991 916.722 298.294 921.421 170.382
9000000 37.5349 917.848 298.66 955.383 169.854
9100000 33.6512 931.004 302.941 964.655 170.052
9200000 -0.0340301 926.184 301.373 926.15 170.265
9300000 -29.7648 910.771 296.358 881.006 170.593
9400000 -8.70898 925.933 301.291 917.224 170.539
9500000 -31.5229 930.562 302.797 899.039 170.909
9600000 -39.7217 917.859 298.664 878.137 171.607
9700000 -6.72702 911.366 296.551 904.639 171.227
9800000 -47.0822 920.042 299.374 872.96 170.038
9900000 -48.5305 916.177 298.117 867.647 170.189
10000000 -5.92117 923.858 300.616 917.937 171.063
10100000 21.5266 915.949 298.043 937.476 170.214
10200000 58.9367 919.417 299.171 978.354 169.583
10300000 32.5275 923.916 300.635 956.444 169.181
10400000 20.6462 922.489 300.171 943.135 170.256
10500000 -2.22239 920.589 299.552 918.366 171.176
10600000 -26.8156 922.817 300.277 896.001 172.288
10700000 -23.0132 917.505 298.549 894.491 173.947
10800000 -41.2771 912.518 296.926 871.241 174.678
10900000 -17.5919 931.13 302.982 913.538 176.816
11000000 -40.5267 919.233 299.111 878.706 178.375
11100000 -32.6807 927.923 301.939 895.242 179.877
11200000 -13.1533 909.06 295.801 895.907 181.011
11300000 -54.7705 917.938 298.69 863.168 181.74
11400000 -91.5821 923.476 300.492 831.893 180.699
11500000 -54.469 921.484 299.844 867.015 180.595
11600000 -16.9454 920.632 299.566 903.686 180.694
11700000 -2.95962 929.13 302.331 926.17 181.768
11800000 5.39323 909.496 295.943 914.889 182.535
11900000 12.4796 927.982 301.958 940.462 181.919
12000000 -39.8353 926.047 301.328 886.212 182.065
12100000 -13.5295 926.929 301.615 913.399 182.993
12200000 -36.0999 923.699 300.564 887.599 183.482
12300000 -26.925 922.493 300.172 895.568 182.594
12400000 -26.9242 920.608 299.559 893.684 181.769
12500000 10.525 920.029 299.37 930.554 182.079
12600000 -24.2393 928.91 302.26 904.671 182.187
12700000 -22.3327 927.678 301.859 905.345 182.24
12800000 -49.6878 928.927 302.265 879.239 181.953
12900000 20.3602 918.775 298.962 939.135 184.203
13000000 -20.7324 925.663 301.203 904.93 184.845
13100000 -7.87254 919.642 299.244 911.77 185.929
13200000 -34.7061 919.659 299.25 884.953 186.77
13300000 -7.47528 918.837 298.982 911.361 187.947
13400000 -1.93961 917.949 298.693 916.009 188.451
13500000 -7.07376 922.177 300.069 915.103 188.039
13600000 -5.44518 913.334 297.192 907.889 188.357
13700000 11.0342 921.8 299.946 932.834 188.629
13800000 19.843 924.515 300.83 944.358 189.246
13900000 17.2223 919.415 299.17 936.637 189.538
14000000 27.7025 927.314 301.741 955.017 190.182
14100000 7.37696 921.479 299.842 928.856 190.136
14200000 19.8024 925.073 301.011 944.876 191.026
14300000 3.48088 917.31 298.485 920.79 190.477
14400000 52.954 916.589 298.251 969.543 190.222
14500000 11.3442 907.013 295.135 918.357 191.391
14600000 -23.6199 923.477 300.492 899.858 192.624
14700000 20.8525 929.149 302.338 950.002 194.669
14800000 36.5769 927.283 301.731 963.86 197.618
