# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
80100000 -330.698 852.433 277.375 521.735 343.839
80200000 -362.022 840.061 273.349 478.039 344.964
80300000 -335.729 860.762 280.085 525.033 346.209
80400000 -349.726 853.374 277.681 503.648 346.341
80500000 -368.58 837.596 272.547 469.017 345.582
80600000 -366.759 848.478 276.088 481.719 344.706
80700000 -339.594 833.672 271.27 494.078 345.014
80800000 -341.207 846.977 275.6 505.77 346.115
80900000 -323.231 843.741 274.547 520.509 348.098
81000000 -335.209 854.12 277.924 518.911 347.927
81100000 -326.87 830.679 270.296 503.81 347.31
81200000 -297.092 847.791 275.865 550.7 347.083
81300000 -310.728 843.972 274.622 533.245 346.348
81400000 -342.966 852.273 277.323 509.307 346.67
81500000 -359.07 836.656 272.241 477.586 347.204
81600000 -333.147 838.048 272.694 504.901 347.479
81700000 -377.394 845.61 275.155 468.216 347.595
81800000 -355.006 837.29 272.447 482.284 348.622
81900000 -372.032 848.463 276.083 476.431 349.776
82000000 -344.066 852.018 277.24 507.952 349.88
82100000 -342.252 843.292 274.401 501.04 349.74
82200000 -348.537 849.952 276.568 501.415 349.895
82300000 -347.761 850.667 276.8 502.906 349.99
82400000 -357.908 845.431 275.097 487.523 349.821
82500000 -385.184 844.842 274.905 459.659 349.248
82600000 -384.525 827.857 269.378 443.331 349.22
82700000 -361.239 852.767 277.484 491.528 349.285
82800000 -358.15 842.634 274.187 484.484 348.921
82900000 -318.553 843.812 274.57 525.259 348.875
83000000 -309.294 855.814 278.475 546.52 348.612
83100000 -315.647 846.302 275.38 530.655 348.746
83200000 -303.898 850.357 276.699 546.459 347.766
83300000 -294.798 853.298 277.657 558.501 348.446
83400000 -305.437 851.964 277.222 546.527 349.775
83500000 -326.223 853.054 277.577 526.831 349.992
83600000 -325.235 852.928 277.536 527.693 349.884
83700000 -353.659 853.434 277.701 499.775 350.386
83800000 -370.765 841.213 273.724 470.448 350.297
