# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -86.3756 928.975 302.281 842.599 126.718
5200000 -106.324 914.538 297.584 808.214 126.689
5300000 -108.914 931.952 303.25 823.039 127.312
5400000 -133.755 926.598 301.508 792.843 128.287
5500000 -101.731 912.422 296.895 810.691 127.853
5600000 -121.711 933.517 303.759 811.806 129.6
5700000 -117.537 918.746 298.953 801.21 130.356
5800000 -113.142 933.297 303.688 820.155 130.591
5900000 -123.521 911.636 296.639 788.116 131.133
6000000 -127.514 902.541 293.68 775.026 131.644
6100000 -159.432 909.015 295.786 749.583 131.292
6200000 -112.436 920.208 299.428 807.772 132.098
6300000 -133.697 933.157 303.642 799.46 132.234
6400000 -129.891 922.389 300.138 792.498 132.617
6500000 -106.899 920.57 299.546 813.671 132.523
6600000 -95.274 925.602 301.184 830.328 134.265
6700000 -146.423 920.258 299.445 773.835 136.575
6800000 -121.172 908.767 295.706 787.595 137.592
6900000 -144.292 927.827 301.908 783.536 139.49
7000000 -143.369 925.758 301.234 782.389 140.088
7100000 -164.037 913.101 297.116 749.064 139.869
7200000 -140.119 920.429 299.5 780.31 141.621
7300000 -116.77 918.818 298.976 802.049 143.45
7400000 -147.024 925.651 301.2 778.627 145.527
7500000 -95.7877 910.538 296.282 814.751 146.772
7600000 -83.166 924.472 300.816 841.306 148.199
7700000 -77.3966 929.181 302.348 851.784 149.013
7800000 -93.9895 933.871 303.874 839.882 150.461
7900000 -98.6975 924.001 300.663 825.303 151.767
8000000 -94.1459 921.522 299.856 827.376 152.352
8100000 -63.4947 917.866 298.666 854.371 152.462
8200000 -104.598 924.004 300.664 819.406 153.309
8300000 -108.738 924.529 300.834 815.79 153.545
8400000 -120.069 917.705 298.614 797.636 154.227
8500000 -72.0239 898.328 292.309 826.305 155.826
8600000 -96.5365 922.309 300.112 825.773 156.453
8700000 -147.274 911.984 296.752 764.71 156.773
8800000 -116.871 917.496 298.546 800.624 158.231
8900000 -131.985 916.059 298.078 784.074 157.074
9000000 -150.794 925.485 301.146 774.691 157.182
9100000 -156.713 927.549 301.817 770.836 157.494
9200000 -141.523 929.095 302.32 787.571 158.145
9300000 -131.796 918.093 298.74 786.297 159.003
9400000 -117.229 914.741 297.649 797.512 159.52
9500000 -122.827 924.635 300.869 801.808 159.407
9600000 -128.423 921.405 299.818 792.982 160.121
9700000 -115.836 924.233 300.738 808.396 160.956
9800000 -95.3289 918.853 298.988 823.524 161.345
9900000 -158.955 915.194 297.797 756.239 161.232
10000000 -154.613 910.024 296.115 755.412 160.674
10100000 -143.084 925.462 301.138 782.378 161.304
10200000 -140.929 926.122 301.353 785.193 162.073
10300000 -98.9203 922.438 300.154 823.517 163.346
10400000 -129.364 926.411 301.447 797.047 164.12
10500000 -138.801 914.742 297.65 775.941 164.58
10600000 -107.312 920.354 299.476 813.042 164.245
10700000 -141.932 918.966 299.024 777.034 164.649
10800000 -81.6258 924.963 300.976 843.337 165.859
10900000 -83.4866 926.647 301.524 843.161 167.293
11000000 -81.7297 916.278 298.15 834.549 169.121
11100000 -111.674 929.499 302.452 817.825 169.622
11200000 -124.429 925.236 301.064 800.807 170.649
11300000 -112.657 914.842 297.682 802.184 171.092
11400000 -138.9 900.512 293.019 761.612 170.569
11500000 -66.2749 931.669 303.158 865.394 169.734
11600000 -48.4631 928.287 302.057 879.823 169.597
11700000 -108.769 917.914 298.682 809.145 171.203
11800000 -117.593 915.207 297.801 797.614 172.922
11900000 -137.046 924.576 300.85 787.53 172.92
12000000 -116.419 912.918 297.056 796.499 173.592
12100000 -133.291 919.092 299.065 785.801 173.746
12200000 -144.866 915.138 297.779 770.272 173.07
12300000 -112.798 922.184 300.071 809.385 173.534
12400000 -127.708 914.32 297.512 786.612 173.546
12500000 -120.462 930.534 302.788 810.072 173.88
12600000 -116.782 921.633 299.892 804.851 174.452
12700000 -131.683 922.21 300.08 790.526 174.224
12800000 -128.402 921.88 299.972 793.478 175.035
12900000 -102.434 923.734 300.576 821.3 176.206
13000000 -111.213 927.671 301.857 816.458 177.039
13100000 -91.3878 920.064 299.382 828.676 176.728
13200000 -63.8771 931.529 303.112 867.652 177.138
13300000 -67.1025 926.641 301.522 859.539 178.507
13400000 -105.065 918.149 298.758 813.084 179.195
13500000 -138.378 923.918 300.636 785.54 180.056
13600000 -123.071 919.132 299.078 796.061 179.654
13700000 -133.841 912.398 296.887 778.557 179.933
13800000 -135.024 904.85 294.431 769.826 180.815
13900000 -145.619 930.646 302.825 785.027 182.669
