# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 322.951 1007.53 327.841 1330.48 77.8787
200000 196.702 1002.04 326.057 1198.75 81.3845
300000 151.355 989.835 322.084 1141.19 84.0652
400000 98.1285 986.05 320.853 1084.18 85.3882
500000 121.071 1010.35 328.761 1131.42 86.7094
600000 81.4514 999.922 325.367 1081.37 89.0251
700000 93.4073 996.43 324.23 1089.84 91.2162
800000 120.538 1015.02 330.279 1135.56 91.9861
900000 108.698 990.321 322.243 1099.02 92.2185
1000000 96.7044 1001.88 326.003 1098.58 92.5764
1100000 84.6604 1001.4 325.849 1086.06 93.9497
1200000 118.802 1005.25 327.099 1124.05 93.9452
1300000 103.054 994.246 323.52 1097.3 94.6995
1400000 87.5663 1005.03 327.03 1092.6 96.6132
1500000 91.3002 998.726 324.977 1090.03 98.2125
1600000 91.6067 994.331 323.547 1085.94 99.0561
1700000 93.513 1013.51 329.789 1107.02 100.228
1800000 118.245 994.195 323.503 1112.44 100.991
1900000 129.775 991.472 322.617 1121.25 102.41
2000000 97.3305 1006.3 327.443 1103.63 104.242
2100000 95.6086 999.121 325.106 1094.73 106.208
2200000 125.793 994.62 323.642 1120.41 106.763
2300000 133.348 987.972 321.478 1121.32 106.651
2400000 159.133 997.669 324.634 1156.8 106.949
2500000 92.4589 1003.44 326.51 1095.89 109.032
2600000 139.878 1003.71 326.598 1143.58 110.481
2700000 101.923 1006.36 327.462 1108.29 112.939
2800000 117.377 1011.07 328.996 1128.45 112.9
2900000 145.088 1001.76 325.964 1146.85 112.798
3000000 144.962 998.126 324.782 1143.09 113.643
3100000 106.69 1017.2 330.99 1123.89 115.902
3200000 94.9608 1000.16 325.445 1095.12 118.61
3300000 117.196 994.972 323.756 1112.17 120.38
3400000 75.225 1000.16 325.444 1075.39 121.171
3500000 89.0774 987.659 321.376 1076.74 122.553
3600000 75.5679 1014.01 329.952 1089.58 123.644
3700000 105.511 982.375 319.657 1087.89 125.061
3800000 90.7971 1004.63 326.899 1095.43 124.874
3900000 93.1381 991.354 322.579 1084.49 125.629
4000000 114.875 1009.68 328.541 1124.55 127.941
4100000 119.134 1012.89 329.587 1132.03 129.78
4200000 119.893 987.226 321.236 1107.12 130.59
4300000 127.321 991.936 322.768 1119.26 131.492
4400000 147.311 993.377 323.237 1140.69 133.341
4500000 126.624 1003.29 326.462 1129.91 135.37
4600000 104.814 1009.29 328.414 1114.1 136
4700000 90.0274 992.054 322.807 1082.08 136.79
4800000 131.231 1007.08 327.696 1138.31 137.452
4900000 95.9757 999.315 325.169 1095.29 137.555
5000000 93.7271 998.949 325.05 1092.68 139.603
