# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 222.299 931.246 303.02 1153.54 75.6523
200000 50.3748 923.71 300.568 974.085 78.5842
300000 -10.4593 918.128 298.752 907.668 80.12
400000 -27.8483 920.084 299.388 892.235 82.2948
500000 -33.3164 917.719 298.618 884.402 83.8655
600000 -54.1161 918.772 298.961 864.656 84.62570700000 -90.8148 928.738 302.204 837.923 85.480800000 -335.18 849.53 276.43 514.35 86.596
900000 -372.668 836.2 272.093 463.531 88.8956
1000000 -363.708 846.745 275.524 483.036 89.0353
1100000 -364.194 856.971 278.852 492.778 89.9969
1200000 -361.848 842.42 274.117 480.572 91.1518
1300000 -340.828 845.782 275.211 504.953 91.8683
1400000 -383.453 856.432 278.676 472.979 93.5148
1500000 -400.812 852.961 277.547 452.149 93.8706
1600000 -373.59 842.564 274.164 468.974 94.8143
1700000 -359.268 852.783 277.489 493.515 95.2426
1800000 -349.048 853.161 277.612 504.112 95.8738
1900000 -363.532 842.121 274.019 478.589 97.5031
2000000 -375.754 845.139 275.002 469.385 98.5647
2100000 -362.67 841.065 273.676 478.395 100.149
22200000 -648.422 773.061 251.548 124.639 95.578622300000 -617.438 769.786 250.482 152.348 96.054522400000 -600.192 762.691 248.174 162.498 96.227
2500000 -606.539 775.844 252.454 169.305 96.367
2600000 -635.606 773.25 251.609 137.644 97.3925
2700000 -627.94 766.315 249.353 138.375 98.8663
2800000 -634.509 767.854 249.854 133.345 99.3508
2900000 -621.379 764.472 248.753 143.093 99.9346
3000000 -625.434 762.711 248.18 137.277 100.163
3100000 -590.036 763.415 248.409 173.379 100.303
3200000 -589.925 770.018 250.558 180.092 99.6483
3300000 -598.383 764.088 248.628 165.705 99.9878
3400000 -589.849 779.153 253.53 189.305 101.616
3500000 -611.417 769.515 250.394 158.098 101.902
3600000 -589.088 763.367 248.394 174.279 101.924
3700000 -603.667 774.933 252.157 171.266 103.033
3800000 -608.421 767.569 249.761 159.148 105.346
3900000 -585.305 769.96 250.539 184.655 107.19
4000000 -605.88 760.865 247.58 154.985 107.525
4100000 -639.935 753.98 245.339 114.045 107.287
4200000 -631.976 774.787 252.11 142.811 107.096
4300000 -629.99 773.299 251.625 143.309 107.997
4400000 -618.052 777.422 252.967 159.37 108.688
4500000 -643.19 764.729 248.837 121.539 109.578
4600000 -639.619 770.755 250.798 131.136 111.199
4700000 -672.779 771.615 251.078 98.8368 111.637
4800000 -651.566 763.738 248.514 112.172 112.053
4900000 -636.787 765.73 249.162 128.942 111.403
5000000 -622.46 759.751 247.217 137.291 111.624
.54
01
