# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 238.591 927.043 301.652 1165.63 74.3443
200000 78.8753 912.154 296.808 991.03 76.8573
300000 36.2548 915.929 298.036 952.184 80.7975
400000 -28.2178 910.992 296.43 882.774 83.3378
500000 -46.0402 920.649 299.572 874.609 84.4565
600000 -70.698 924.802 300.923 854.104 84.3734
700000 -74.3732 913.114 297.12 838.741 86.4893
800000 -81.9559 926.353 301.428 844.397 87.5013
900000 -78.9038 927.677 301.859 848.773 88.817
1000000 -74.493 921.029 299.695 846.536 91.384
1100000 -85.5716 919.927 299.337 834.356 93.2651
1200000 -84.4266 926.566 301.497 842.14 93.559
1300000 -65.5806 924.531 300.835 858.951 94.375
1400000 -84.3142 925.312 301.089 840.997 94.9897
1500000 -52.8007 921.527 299.858 868.726 95.9621
1600000 -44.2553 914.415 297.543 870.16 97.3298
1700000 -42.3111 906.451 294.952 864.14 98.6088
1800000 -53.2831 920.021 299.367 866.738 100.107
1900000 -67.3177 918.4 298.84 851.083 102.086
2000000 -58.1557 934.256 303.999 876.1 103.307
2100000 -93.9288 924.481 300.819 830.552 105.679
2200000 -97.753 925.782 301.242 828.029 106.204
2300000 -110.659 922.223 300.084 811.565 106.679
2400000 -103.622 917.785 298.64 814.164 108.199
2500000 -113.011 930.792 302.872 817.78 108.77
2600000 -95.2199 925.314 301.09 830.094 109.596
2700000 -105.734 931.76 303.187 826.026 111.558
2800000 -64.4604 929.717 302.523 865.256 113.262
2900000 -82.8743 926.274 301.402 843.4 114.299
3000000 -90.5903 916.7 298.287 826.109 116.523
3100000 -90.0464 921.093 299.716 831.047 117.61
3200000 -61.1584 935.569 304.427 874.41 118.52
3300000 -69.487 940.515 306.036 871.028 120.963
3400000 -86.4525 932.209 303.333 845.757 121.495
3500000 -93.6042 934.972 304.233 841.368 123.664
3600000 -48.1502 921.438 299.829 873.288 124.938
3700000 -81.128 927.118 301.677 845.99 125.649
3800000 -73.9853 942.539 306.695 868.554 125.67
3900000 -87.4672 919.365 299.154 831.898 126.276
4000000 -109.863 925.236 301.065 815.373 127.374
4100000 -94.7831 921.444 299.831 826.661 128.08
4200000 -101.207 927.644 301.848 826.437 130.122
4300000 -78.7338 917.618 298.586 838.884 130.947
4400000 -71.2762 917.702 298.613 846.425 132.138
4500000 -96.0007 921.514 299.853 825.513 133.28
4600000 -87.7045 911.285 296.525 823.58 134.297
4700000 -84.0085 931.92 303.239 847.911 135.156
4800000 -79.2308 901.936 293.483 822.705 135.287
4900000 -47.6809 928.036 301.976 880.355 135.8
5000000 -60.8973 909.192 295.844 848.294 135.718
