# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -117.918 917.729 298.622 799.812 125.037
5200000 -135.173 919.121 299.075 783.948 125.889
5300000 -111.346 922.894 300.302 811.548 128.065
5400000 -54.0366 920.579 299.549 866.542 127.546
5500000 -82.6238 917.987 298.706 835.363 129.252
5600000 -99.5428 927.55 301.817 828.007 129.613
5700000 -63.994 932.672 303.484 868.678 129.976
5800000 -90.7526 930.655 302.828 839.903 130.313
5900000 -86.5411 924.596 300.856 838.054 130.827
6000000 -77.7135 929.773 302.541 852.059 131.92
6100000 -98.0899 922.282 300.103 824.192 132.276
6200000 -100.129 914.218 297.479 814.088 132.408
6300000 -84.805 909.383 295.906 824.578 133.133
6400000 -82.207 923.856 300.616 841.649 133.435
6500000 -117.266 902.137 293.548 784.872 136.124
6600000 -103.99 921.642 299.895 817.653 136.512
6700000 -82.8557 910.55 296.286 827.694 135.796
6800000 -70.5093 930.293 302.71 859.784 135.958
6900000 -57.1594 917.84 298.658 860.68 135.896
7000000 -28.6279 925.721 301.222 897.093 137.18
7100000 -61.1738 910.036 296.119 848.862 137.59
7200000 -92.0613 913.293 297.178 821.232 137.302
7300000 -76.0995 917.464 298.536 841.365 136.25
7400000 -81.564 912.877 297.043 831.313 136.516
7500000 -76.868 921.662 299.902 844.794 136.964
7600000 -108.57 911.257 296.516 802.687 138.235
7700000 -111.118 920.744 299.603 809.626 139.136
7800000 -132.371 917.405 298.516 785.034 140.973
7900000 -156.539 921.971 300.002 765.432 141.367
8000000 -134.902 912.086 296.786 777.184 141.476
8100000 -117.55 924.001 300.663 806.451 140.418
8200000 -108.783 931.409 303.073 822.627 141.346
8300000 -150.489 929.3 302.387 778.811 142.782
8400000 -126.807 926.576 301.501 799.769 143.32
8500000 -120.351 915.625 297.937 795.274 144.804
8600000 -123.879 924.676 300.882 800.797 145.284
8700000 -99.7848 902.262 293.589 802.477 144.225
8800000 -133.012 919.323 299.14 786.31 144.719
8900000 -153.175 927.102 301.672 773.928 146.776
9000000 -140.351 924.549 300.841 784.198 148.541
9100000 -138.167 926.041 301.326 787.874 150.163
9200000 -96.9089 915.253 297.816 818.344 150.827
9300000 -104.513 913.137 297.128 808.624 151.722
9400000 -108.016 914.155 297.459 806.139 153.513
9500000 -137.621 916.926 298.36 779.304 154.01
9600000 -106.912 919.715 299.268 812.803 153.106
9700000 -111.308 925.679 301.209 814.372 152.662
9800000 -86.3537 912.617 296.958 826.263 153.036
9900000 -102.827 927.982 301.958 825.155 154.123
10000000 -106.072 926.28 301.404 820.208 154.323
10100000 -56.5186 930.398 302.744 873.88 155.942
10200000 -56.3708 923.616 300.537 867.245 157.559
10300000 -68.5166 914.966 297.723 846.449 157.63
10400000 -76.679 917.093 298.415 840.414 157.486
10500000 -75.5078 921.332 299.794 845.824 158.253
10600000 -52.2765 922.888 300.3 870.611 159.16
10700000 -70.4679 918.272 298.799 847.804 158.816
10800000 -79.4382 937.979 305.211 858.541 158.721
10900000 -93.1986 927.307 301.738 834.108 159.687
11000000 -81.7229 916.207 298.127 834.485 160.606
11100000 -75.21 916.927 298.361 841.717 162.647
11200000 -95.2119 919.119 299.074 823.908 163.93
11300000 -102.4 915.44 297.877 813.039 163.858
11400000 -108.023 925.515 301.155 817.493 164.71
11500000 -111.916 931.583 303.13 819.667 165.987
11600000 -107.139 930.304 302.713 823.165 166.789
11700000 -91.6991 919.718 299.269 828.019 165.966
11800000 -87.86 919.14 299.081 831.28 166.151
11900000 -104.63 926.34 301.424 821.711 168.03
12000000 -108.581 921.695 299.912 813.115 168.104
12100000 -134.414 920.87 299.644 786.456 168.465
12200000 -117.193 926.83 301.583 809.638 168.758
12300000 -84.8825 935.177 304.299 850.294 169.429
12400000 -107.367 914.447 297.554 807.081 170.612
12500000 -112.166 917.447 298.53 805.28 171.001
12600000 -95.7416 932.727 303.502 836.986 171.636
12700000 -74.8845 921.433 299.827 846.548 172.986
12800000 -110.779 931.727 303.177 820.948 173.124
12900000 -83.7247 931.969 303.255 848.244 173.341
13000000 -87.9014 933.06 303.61 845.158 175.034
13100000 -107.614 914.137 297.453 806.523 174.327
13200000 -123.917 928.463 302.115 804.546 174.383
13300000 -139.488 924.552 300.842 785.064 175.364
13400000 -118.497 908.447 295.601 789.949 176.061
13500000 -139.354 922.71 300.243 783.356 176.402
13600000 -125.55 917.215 298.455 791.665 176.426
13700000 -113.492 927.423 301.776 813.932 175.988
13800000 -112.401 917.953 298.695 805.552 176.533
13900000 -97.6624 922.39 300.138 824.728 176.929
14000000 -67.3196 909.644 295.991 842.324 176.232
14100000 -106.27 921.908 299.982 815.638 176.098
14200000 -129.652 916.467 298.211 786.815 175.951
14300000 -139.675 912.091 296.787 772.416 176.611
14400000 -122.094 928.242 302.043 806.148 178.141
14500000 -90.2186 918.276 298.8 828.057 179.787
14600000 -105.846 924.255 300.745 818.408 180.105
14700000 -93.3808 925.489 301.147 832.109 180.101
14800000 -117.036 903.906 294.124 786.87 180.738
14900000 -115.862 933.632 303.796 817.77 181.456
15000000 -91.003 935.245 304.321 844.242 181.946
15100000 -119.784 922.759 300.259 802.975 183.206
15200000 -143.841 932.719 303.499 788.878 185.898
15300000 -131.435 924.577 300.85 793.141 186.788
15400000 -151.567 918.103 298.743 766.535 187.766
15500000 -154.488 929.992 302.612 775.503 188.261
15600000 -137.745 923.167 300.391 785.421 189.255
15700000 -141.75 927.595 301.832 785.844 188.118
15800000 -108.251 921.084 299.714 812.833 188.713
15900000 -123.655 931.802 303.201 808.147 188.528
16000000 -99.6383 919.41 299.169 819.772 188.847
16100000 -85.4735 913.156 297.134 827.683 189.007
16200000 -89.7104 931.368 303.06 841.657 189.923
16300000 -130.591 925.201 301.053 794.61 189.691
16400000 -119.837 917.822 298.652 797.986 189.822
16500000 -153.169 926.793 301.571 773.625 189.809
16600000 -112.656 914.395 297.537 801.739 190.946
16700000 -119.415 917.815 298.65 798.4 191.199
16800000 -115.774 921.269 299.774 805.494 191.252
16900000 -128.969 911.537 296.607 782.568 191.356
17000000 -130.191 912.958 297.069 782.767 192.925
17100000 -131.683 920.055 299.379 788.373 193.678
17200000 -116.935 937.352 305.007 820.418 193.935
17300000 -138.729 927.65 301.85 788.921 194.725
17400000 -119.891 913.075 297.108 793.184 194.331
17500000 -103.862 917.302 298.483 813.44 194.184
17600000 -90.296 916.961 298.372 826.665 195.068
17700000 -82.1543 915.662 297.949 833.508 194.966
17800000 -33.6588 926.371 301.434 892.713 194.599
17900000 -65.9554 921.367 299.806 855.412 194.862
18000000 -84.3067 920.772 299.612 836.465 195.453
18100000 -123.809 915.911 298.03 792.102 194.83
