# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 242.29 479.365 304.578 721.655 278.613
200000 247.319 475.313 302.003 722.632 279.123
300000 245.373 476.06 302.478 721.433 279.611
400000 247.734 475.198 301.93 722.932 278.715
500000 260.003 471.923 299.849 731.926 278.939
600000 240.275 482.031 306.271 722.306 280.249
700000 224.469 473.4 300.788 697.87 282.907
800000 223.55 479.178 304.459 702.728 286.435
900000 217.066 463.501 294.498 680.566 288.299
1000000 207.222 463.659 294.598 670.881 289.045
1100000 194.236 474.636 301.573 668.871 287.862
1200000 197.61 471.072 299.308 668.681 288.619
1300000 186.514 472.619 300.292 659.134 287.717
1400000 175.382 479.149 304.44 654.531 288.317
1500000 168.793 469.022 298.006 637.815 290.617
1600000 185.763 469.562 298.349 655.325 292.296
1700000 191.812 472.47 300.197 664.283 292.085
1800000 178.982 472.152 299.994 651.133 293.379
1900000 192.224 467.922 297.307 660.147 293.692
2000000 194.61 469.87 298.545 664.48 293.564
2100000 200.379 463.017 294.19 663.396 291.608
2200000 182.77 469.812 298.508 652.582 291.43
2300000 181.14 474.367 301.402 655.507 292.19
2400000 188.666 481.071 305.662 669.737 294.217
2500000 186.629 475.862 302.352 662.491 298.702
2600000 187.78 467.411 296.982 655.191 299.888
2700000 175.208 468.932 297.949 644.14 302.169
2800000 183.748 473.904 301.108 657.652 305.884
2900000 184.669 476.236 302.59 660.905 308.679
3000000 170.706 475.013 301.813 645.719 310.938
3100000 175.138 473.699 300.978 648.837 313.274
3200000 172.492 477.436 303.352 649.929 313.632
3300000 165.358 468.781 297.853 634.14 312.487
3400000 171.806 479.532 304.684 651.339 312.555
3500000 194.157 458.203 291.132 652.36 314.333
3600000 184.117 477.123 303.153 661.239 318.625
3700000 170.588 468.193 297.479 638.781 319.785
3800000 174.495 477.433 303.35 651.928 319.909
3900000 174.095 470.532 298.965 644.626 319.991
4000000 177.467 474.95 301.772 652.416 321.942
4100000 192.353 479.576 304.712 671.929 322.26
4200000 172.402 479.047 304.376 651.45 323.667
4300000 169.276 467.964 297.334 637.24 326.533
4400000 191.08 466.608 296.472 657.688 328.043
4500000 189.554 477.373 303.312 666.928 330.173
4600000 191.808 471.555 299.615 663.363 329.828
4700000 194.847 472.914 300.479 667.761 329.465
4800000 177.327 472.87 300.451 650.197 329.233
4900000 188.59 463.184 294.297 651.774 331.492
5000000 179.264 469.213 298.128 648.477 332.74
