# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 178.766 468.702 297.803 647.468 334.847
5200000 183.439 477.003 303.077 660.442 331.234
5300000 185.047 470.813 299.144 655.86 329.99
5400000 188.317 471.556 299.616 659.873 331.125
5500000 169.829 466.453 296.374 636.282 331.272
5600000 188.335 471.074 299.31 659.409 331.557
5700000 189.91 473.035 300.556 662.945 331.459
5800000 189.02 475.849 302.344 664.869 329.533
5900000 178.53 461.656 293.326 640.187 330.327
6000000 174.38 480.486 305.29 654.866 331.981
6100000 181.848 470.212 298.762 652.059 332.073
6200000 173.925 481.535 305.957 655.46 334.145
6300000 170.908 475.323 302.01 646.232 334.811
6400000 177.33 476.357 302.666 653.687 337.784
6500000 174.813 471.721 299.721 646.534 338.588
6600000 169.824 468.477 297.66 638.302 339.426
6700000 148.725 476.985 303.066 625.71 339.044
6800000 158.206 469.195 298.116 627.401 338.564
6900000 166.532 472.695 300.34 639.227 338.46
7000000 143.219 474.862 301.717 618.082 339.027
7100000 143.112 478.191 303.832 621.303 339.92
7200000 138.422 472.637 300.303 611.059 340.725
7300000 169.372 473.153 300.63 642.524 339.036
7400000 170.94 474.369 301.403 645.309 337.718
7500000 153.95 484.114 307.595 638.064 337.808
7600000 155.717 478.337 303.925 634.054 338.736
7700000 167.123 478.371 303.946 645.494 335.754
7800000 165.636 466.931 296.677 632.566 337.243
7900000 155.726 472.36 300.127 628.086 341.148
8000000 138.93 471.807 299.775 610.737 340.174
8100000 129.024 472.59 300.273 601.614 338.286
8200000 141.309 470.662 299.048 611.971 337.762
8300000 139.344 479.667 304.769 619.011 337.531
8400000 148.615 462.249 293.702 610.863 340.694
8500000 145.807 478.879 304.269 624.686 342.374
8600000 154.897 476.641 302.847 631.539 343.234
8700000 157.48 473.513 300.859 630.993 345.302
8800000 152.39 476.325 302.646 628.715 345.608
8900000 178.193 480.886 305.544 659.079 345.927
9000000 171.098 461.902 293.482 633 346.931
9100000 163.978 475.331 302.015 639.309 344.442
9200000 165.953 474.596 301.548 640.55 343.436
9300000 173.341 467.016 296.731 640.357 342.984
9400000 151.624 476.059 302.477 627.682 343.676
9500000 141.815 465.153 295.548 606.968 343.095
9600000 146.944 472.893 300.466 619.837 342.908
9700000 152.841 464.075 294.863 616.916 342.054
9800000 142.891 474.142 301.259 617.034 342.142
9900000 131.845 471.227 299.407 603.072 342.457
10000000 133.466 471.666 299.686 605.132 342.739
10100000 137.086 481.052 305.649 618.138 343.948
10200000 128.507 466.591 296.461 595.098 346.409
10300000 120.841 478.392 303.96 599.233 348.883
10400000 127.208 477.312 303.273 604.52 350.477
10500000 144.73 471.912 299.842 616.642 349.928
10600000 140.069 473.785 301.032 613.854 351.133
10700000 127.323 477.82 303.596 605.143 354.994
10800000 112.068 463.468 294.477 575.536 357.018
10900000 106.987 471.102 299.327 578.088 356.701
11000000 110.676 461.47 293.208 572.146 356.88
11100000 117.574 476.938 303.035 594.512 355.708
11200000 104.089 476.047 302.469 580.136 356.045
11300000 100.673 466.071 296.131 566.743 355.014
11400000 117.017 470.216 298.764 587.233 355.313
11500000 102.639 478.141 303.8 580.781 356.225
11600000 84.4644 480.884 305.543 565.348 357.255
11700000 92.8614 469.009 297.998 561.871 360.064
11800000 84.8426 475.757 302.286 560.6 361.02
11900000 79.9158 476.205 302.57 556.121 363.143
12000000 107.731 468.848 297.895 576.578 364.56
12100000 110.508 472.15 299.994 582.658 362.373
12200000 106.662 477.09 303.132 583.753 361.857
12300000 86.5761 474.685 301.604 561.261 362.35
12400000 100.4 467.932 297.313 568.332 362.564
12500000 94.6864 474.332 301.38 569.018 363.334
12600000 92.1116 470.969 299.243 563.08 365.412
12700000 97.3767 469.926 298.58 567.303 368.057
12800000 84.3207 471.177 299.375 555.497 366.575
12900000 96.2099 476.055 302.474 572.265 367.518
13000000 94.3731 469.895 298.561 564.268 367.343
13100000 99.3611 471.171 299.372 570.532 367.88
13200000 96.506 477.422 303.343 573.928 366.386
13300000 99.3357 467.896 297.291 567.232 366.027
13400000 90.2858 470.4 298.882 560.686 368.789
13500000 106.819 465.401 295.705 572.22 369.976
13600000 127.33 475.913 302.385 603.243 369.458
13700000 133.605 473.38 300.775 606.985 370.777
13800000 133.503 469.731 298.456 603.234 373.815
13900000 143.106 472.376 300.137 615.482 372.919
14000000 124.97 470.741 299.098 595.711 372.337
14100000 121.44 471.115 299.336 592.555 371.392
14200000 127.49 468.519 297.686 596.009 370.068
14300000 123.134 465.667 295.874 588.801 369.634
14400000 128.432 473.492 300.846 601.924 369.306
14500000 119.568 475.487 302.113 595.054 368.26
14600000 110.531 471.581 299.632 582.113 367.31
14700000 98.0827 480.906 305.557 578.989 366.282
14800000 112.968 472.533 300.237 585.501 364.599
14900000 123.421 471.914 299.843 595.334 365.173
15000000 106.924 468.421 297.624 575.345 366.774
15100000 124.487 470.292 298.813 594.779 365.895
15200000 123.919 467.224 296.864 591.143 365.319
15300000 115.6 467.97 297.337 583.57 364.729
15400000 121.288 468.002 297.358 589.29 364.843
15500000 124.785 474.005 301.172 598.79 366.833
15600000 112.022 471.456 299.553 583.479 368.522
15700000 116.418 472.049 299.929 588.467 371.422
15800000 122.472 473.47 300.832 595.942 372.714
15900000 118.319 474.579 301.537 592.898 373.468
16000000 122.031 477.874 303.63 599.905 374.173
16100000 119.524 479.652 304.76 599.176 372.61
16200000 142.615 473.213 300.669 615.828 373.691
16300000 128.67 472.927 300.487 601.597 375.067
16400000 135.197 472.011 299.905 607.208 374.076
16500000 117.227 475.151 301.9 592.378 372.019
16600000 130.131 479.95 304.949 610.081 374.663
16700000 113.776 466.832 296.615 580.608 379.254
16800000 97.7348 478.156 303.809 575.89 381.266
16900000 100.23 469.137 298.079 569.367 380.04
17000000 99.04 466.386 296.331 565.426 380.777
17100000 71.4908 475.272 301.977 546.762 381.833
17200000 81.2714 473.092 300.592 554.363 381.434
17300000 88.451 469.335 298.205 557.786 381.676
17400000 92.7577 475.357 302.031 568.115 383.342
17500000 92.5366 470.245 298.783 562.782 384.888
17600000 86.9882 467.201 296.849 554.189 383.953
17700000 94.0338 477.887 303.639 571.921 384.49
17800000 99.034 465.82 295.972 564.854 385.06
17900000 85.95 465.684 295.885 551.634 385.631
18000000 85.718 477.353 303.299 563.071 387.687
18100000 88.3476 467.125 296.8 555.472 388.925
18200000 99.4648 471.019 299.275 570.484 388.749
18300000 95.2139 472.183 300.014 567.397 388.765
18400000 85.8398 466.311 296.283 552.151 391.343
18500000 80.0673 483.829 307.414 563.897 392.347
18600000 88.8656 466.018 296.097 554.884 391.34
18700000 72.5863 476.005 302.443 548.591 391.714
18800000 77.9037 477.031 303.095 554.935 391.83
18900000 93.8722 473.651 300.947 567.524 393.21
19000000 93.5451 469.057 298.028 562.602 394.034
19100000 87.3453 475.48 302.109 562.825 396.043
19200000 88.1644 468.367 297.59 556.532 395.995
19300000 95.6766 465.29 295.635 560.966 394.652
19400000 78.5387 474.192 301.291 552.731 393.95
19500000 80.2868 461.791 293.411 542.078 394.937
19600000 81.6308 472.451 300.185 554.082 395.289
19700000 89.3908 468.71 297.808 558.101 394.21
19800000 89.9033 463.87 294.732 553.773 395.069
19900000 85.0499 474.373 301.406 559.423 396.287
20000000 92.429 471.328 299.471 563.757 396.947
20100000 79.9802 474.437 301.447 554.418 396.826
20200000 82.2502 476.003 302.442 558.254 397.287
20300000 83.3599 475.444 302.086 558.804 397.214
20400000 88.4716 468.283 297.537 556.755 398.23
20500000 98.2837 467.865 297.271 566.149 400.086
20600000 129.518 482.915 306.833 612.432 399.79
20700000 90.7449 471.382 299.506 562.127 398.754
20800000 84.514 458.034 291.024 542.548 399.076
20900000 85.7331 481.688 306.054 567.421 399.993
21000000 83.4687 468.123 297.435 551.592 401.101
21100000 78.0596 479.22 304.485 557.279 401.372
21200000 89.628 476.896 303.009 566.524 401.372
21300000 88.8975 466.909 296.663 555.806 402.487
21400000 80.3922 467.073 296.768 547.466 404.225
21500000 94.6613 482.641 306.659 577.303 406.396
21600000 84.1787 469.307 298.187 553.486 404.885
21700000 79.1921 476.86 302.986 556.052 406.911
21800000 86.8783 475.167 301.91 562.045 408.959
21900000 99.549 466.81 296.601 566.359 408.91
22000000 100.306 467.447 297.005 567.754 408.143
22100000 98.0239 468.999 297.991 567.023 408.169
22200000 87.6121 471.527 299.598 559.14 409.051
22300000 88.7092 475.053 301.838 563.762 409.139
22400000 94.8955 465.846 295.988 560.742 410.03
22500000 95.6815 467.661 297.141 563.342 411.882
22600000 75.5065 479.028 304.364 554.535 414.015
22700000 83.8694 476.117 302.514 559.986 415.904
22800000 77.0283 467.411 296.982 544.439 418.363
22900000 83.7725 466.88 296.645 550.653 420.18
23000000 81.0308 467.8 297.23 548.831 421.025
23100000 85.0811 477.42 303.342 562.501 423.47
23200000 83.5139 476.229 302.585 559.743 424.922
23300000 70.4832 482.485 306.56 552.968 424.051
23400000 75.9973 470.534 298.967 546.532 423.467
23500000 94.6815 469.484 298.3 564.166 424.794
23600000 98.6461 461.78 293.404 560.426 422.943
23700000 95.2487 475.662 302.225 570.91 422.464
23800000 92.8902 480.856 305.525 573.746 422.983
23900000 82.0255 474.359 301.397 556.385 423.121
24000000 93.0105 471.899 299.834 564.909 424.145
24100000 93.1849 467.488 297.031 560.673 425.106
24200000 88.6513 478.015 303.72 566.667 424.866
24300000 77.5745 470.91 299.205 548.484 424.006
24400000 76.0148 474.335 301.382 550.35 426.408
24500000 101.421 465.136 295.537 566.558 426.375
24600000 108.17 472.512 300.223 580.682 426.785
24700000 88.7049 477.706 303.524 566.411 424.922
24800000 80.0886 477.907 303.651 557.995 424.909
24900000 76.6238 477.745 303.548 554.368 424.573
25000000 77.4854 477.353 303.299 554.839 426.28
25100000 84.2246 468.414 297.62 552.639 425.943
25200000 77.0203 466.215 296.222 543.235 426.009
25300000 78.8346 479.855 304.889 558.689 426.248
25400000 79.629 473.948 301.136 553.577 426.193
25500000 102.31 478.414 303.973 580.724 425.153
25600000 89.9763 465.735 295.918 555.711 427.395
25700000 94.827 471.692 299.702 566.519 428.646
25800000 98.6116 467.609 297.108 566.221 428.504
25900000 103.458 479.793 304.849 583.25 426.798
26000000 102.316 469.123 298.07 571.439 427.154
26100000 102.818 476.252 302.6 579.07 425.279
26200000 107.109 470.713 299.081 577.822 421.598
26300000 113.099 471.975 299.883 585.075 419.892
26400000 93.3617 471.758 299.745 565.12 419.64
26500000 110.807 474.927 301.758 585.733 418.439
26600000 117.004 469.937 298.588 586.941 419.837
26700000 108.928 473.903 301.107 582.831 420.698
26800000 108.99 476.477 302.743 585.467 421.098
26900000 111.82 482.798 306.759 594.618 420.616
27000000 100.816 476.609 302.826 577.424 419.215
27100000 112.365 463.848 294.719 576.213 417.012
27200000 123.565 477.338 303.29 600.903 418.613
27300000 104.607 474.063 301.209 578.67 416.536
27400000 109.058 470.699 299.071 579.757 414.112
27500000 96.1164 474.967 301.783 571.084 415.081
27600000 92.61 471.672 299.69 564.282 418.138
27700000 87.9734 475.794 302.309 563.767 418.028
27800000 98.898 471.355 299.488 570.253 417.225
27900000 92.8778 454.821 288.983 547.699 420.448
28000000 93.9304 472.056 299.934 565.987 424.711
28100000 101.702 467.035 296.743 568.736 427.608
28200000 93.1956 470.742 299.099 563.937 426.619
28300000 86.2153 474.594 301.546 560.809 426.638
28400000 78.8387 462.159 293.646 540.998 426.568
28500000 91.7685 474.865 301.718 566.634 427.034
28600000 80.7328 474.435 301.446 555.168 427.339
28700000 91.1335 479.074 304.393 570.207 427.167
28800000 91.1196 472.459 300.19 563.579 426.693
28900000 94.5133 467.661 297.141 562.175 427.33
29000000 105.376 471.485 299.571 576.861 426.83
29100000 95.393 467.982 297.345 563.375 425.517
29200000 108.177 464.501 295.133 572.678 426.538
29300000 98.3728 468.026 297.373 566.398 427.247
29400000 108.791 469.594 298.369 578.385 428.156
29500000 90.6028 468.761 297.84 559.364 426.544
29600000 79.1156 472.532 300.236 551.648 427.436
29700000 66.5177 468.785 297.855 535.303 427.009
29800000 75.4307 469.978 298.613 545.408 425.004
29900000 92.7738 478.143 303.801 570.917 426.482
30000000 91.3728 473.819 301.054 565.192 427.428
30100000 72.202 476.485 302.748 548.687 428.06
30200000 92.0368 477.661 303.495 569.698 429.025
30300000 102.658 478.936 304.305 581.595 428.148
30400000 97.3339 467.975 297.341 565.309 428.621
30500000 107.494 475.121 301.881 582.615 428.991
30600000 100.189 477.346 303.295 577.536 427.627
30700000 91.3384 469.624 298.389 560.963 427.93
30800000 93.2178 470.793 299.131 564.01 430.993
30900000 86.0746 470.558 298.982 556.632 432.487
31000000 85.5692 465.264 295.618 550.833 430.201
31100000 78.3029 468.153 297.454 546.456 430.391
31200000 90.92 468.596 297.735 559.516 428.892
31300000 90.3979 473.953 301.139 564.351 429.902
31400000 82.599 474.847 301.707 557.446 430.144
31500000 85.9052 480.168 305.088 566.073 431.585
31600000 96.9046 467.795 297.226 564.699 431.478
31700000 111.504 484.701 307.968 596.205 430.422
31800000 101.939 466.48 296.391 568.419 431.024
31900000 116.357 474.386 301.414 590.743 431.63
32000000 97.3955 471.068 299.306 568.463 432.252
32100000 107.394 472.831 300.426 580.224 430.419
