# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 241.465 485.367 304.356 726.832 277.415
200000 223.924 473.012 296.609 696.936 276.491
300000 224.341 474.946 297.822 699.287 275.959
400000 215.996 475.201 297.982 691.197 274.334
500000 225.963 485.924 304.706 711.887 273.205
600000 216.923 482.665 302.662 699.587 273.282
700000 215.648 485.711 304.572 701.36 275.06
800000 202.212 479.052 300.396 681.263 273.875
900000 209.473 475.321 298.057 684.793 272.254
1000000 215.603 465.582 291.95 681.185 270.313
1100000 217.016 481.832 302.14 698.849 271.469
1200000 196.091 479.079 300.413 675.17 271.537
1300000 175.555 479.299 300.551 654.855 273.413
1400000 181.646 478.775 300.223 660.421 272.756
1500000 171.065 478.817 300.249 649.882 273.071
1600000 161.349 487.647 305.786 648.996 272.578
1700000 161.672 478.653 300.146 640.325 272.91
1800000 161.749 485.852 304.661 647.601 274.411
1900000 151.753 488.037 306.03 639.79 277.194
2000000 150.338 474.061 297.266 624.399 278.884
2100000 149.206 477.838 299.635 627.044 280.177
2200000 156.052 476.043 298.51 632.095 279.906
2300000 141.904 477.441 299.386 619.345 280.051
2400000 144.281 486.395 305.001 630.676 281.536
2500000 150.177 484.104 303.564 634.281 282.793
2600000 156.508 472.02 295.987 628.527 285.519
2700000 165.348 489.451 306.917 654.799 287.568
2800000 171.601 466.163 292.314 637.764 289.875
2900000 155.204 472.449 296.256 627.654 290.737
3000000 160.072 475.626 298.248 635.697 291.805
3100000 161.171 481.475 301.916 642.646 294.312
3200000 167.373 480.366 301.22 647.739 294.601
3300000 164.139 478.739 300.2 642.879 297.153
3400000 157.71 476.264 298.648 633.974 295.393
3500000 163.896 477.105 299.176 641.002 290.993
3600000 153.216 478.445 300.016 631.661 288.831
3700000 140.695 470.85 295.253 611.545 288.929
3800000 145.289 474.026 297.245 619.315 288.413
3900000 145.083 475.78 298.344 620.863 290.465
4000000 155.873 481.414 301.877 637.287 289.926
4100000 136.706 482.124 302.323 618.83 289.197
4200000 134.301 477.257 299.271 611.558 288.313
4300000 115.803 481.331 301.826 597.134 287.638
4400000 98.0633 481.979 302.232 580.043 287.434
4500000 113.956 485.292 304.309 599.248 289.186
4600000 100.252 479.756 300.838 580.008 290.681
4700000 117.306 468.635 293.864 585.941 290.623
4800000 114.471 483.271 303.042 597.742 288.783
4900000 124.452 485.645 304.531 610.097 287.691
5000000 94.7799 480.2 301.116 574.98 290.871
