# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 102.919 487.912 305.952 590.832 293.543
5200000 100.704 477.558 299.459 578.262 294.836
5300000 138.125 480.308 301.184 618.432 295.18
5400000 118.441 475.498 298.167 593.939 294.678
5500000 125.945 477.401 299.361 603.346 292.919
5600000 146.42 475.968 298.462 622.387 295.002
5700000 148.624 479.353 300.585 627.977 296.962
5800000 154.558 482.518 302.57 637.076 297.743
5900000 152.933 479.942 300.954 632.875 298.878
6000000 142.159 486.257 304.914 628.416 299.553
6100000 143.255 484.972 304.109 628.227 299.239
6200000 171.892 476.693 298.917 648.585 299.227
6300000 172.421 470.958 295.321 643.379 299.118
6400000 167.07 467.18 292.952 634.25 299.334
6500000 158.623 474.347 297.446 632.969 303.166
6600000 159.361 486.469 305.047 645.83 307.973
6700000 156.933 475.729 298.313 632.662 308.955
6800000 171.86 484.659 303.912 656.519 310.911
6900000 164.005 476.03 298.501 640.035 312.72
7000000 165.456 472.156 296.072 637.611 314.333
7100000 154.169 482.063 302.284 636.232 314.505
7200000 162.19 470.805 295.225 632.995 314.061
7300000 159.56 479.586 300.731 639.146 314.498
7400000 167.447 482.12 302.32 649.567 315.984
7500000 156.643 478.219 299.874 634.862 316.52
7600000 169.672 488.75 306.478 658.422 318.165
7700000 166.131 471.459 295.635 637.589 319.874
7800000 166.869 475.235 298.003 642.104 318.6
7900000 162.527 481.181 301.731 643.708 319.342
8000000 155.598 477.704 299.551 633.302 320.54
8100000 162.612 476.119 298.557 638.731 322.368
8200000 176.812 486.448 305.034 663.26 326.124
8300000 187.105 481.008 301.623 668.113 326.019
8400000 177.748 477.498 299.422 655.247 325.857
8500000 166.379 482.861 302.785 649.24 326.815
8600000 147.483 474.174 297.337 621.657 328.022
8700000 126.247 477.267 299.277 603.514 328.186
8800000 125.203 483.278 303.046 608.481 328.678
8900000 128.153 480.025 301.006 608.178 329.095
9000000 133.724 480.504 301.306 614.228 329.85
9100000 123.032 473.864 297.143 596.896 330.849
9200000 131.543 471.641 295.749 603.183 331.285
9300000 129.565 487.406 305.634 616.97 329.63
9400000 128.741 478.854 300.272 607.596 328.573
9500000 124.412 475.23 298 599.642 327.266
9600000 129.61 473.368 296.832 602.978 326.602
9700000 107.303 488.14 306.095 595.443 325.441
9800000 110.276 479.231 300.508 589.506 325.111
9900000 111.178 488.765 306.487 599.943 324.234
10000000 120.217 477.194 299.231 597.411 326.951
10100000 144.567 479.685 300.793 624.252 328.869
10200000 139.712 473.179 296.714 612.891 329.325
10300000 130.913 479.187 300.481 610.1 329.474
10400000 122.393 479.086 300.418 601.479 328.54
10500000 125.77 478.972 300.346 604.742 328.937
10600000 129.878 482.388 302.488 612.266 330.614
10700000 122.033 478.999 300.363 601.031 329.226
10800000 122.131 488.391 306.253 610.522 329.906
10900000 121.935 478.448 300.017 600.383 330.222
11000000 126.41 485.608 304.507 612.017 328.374
11100000 117.66 482.389 302.489 600.049 327.359
11200000 115.576 483.73 303.33 599.306 328.654
11300000 130.326 476.838 299.008 607.164 329.654
11400000 130.35 479.772 300.848 610.122 328.723
11500000 131.243 469.112 294.164 600.356 329.199
11600000 140.176 478.275 299.909 618.451 330.962
11700000 123.335 484.006 303.503 607.341 331.169
11800000 140.008 474.921 297.806 614.929 330.85
11900000 116.632 480.941 301.581 597.572 329.569
12000000 142.894 491.468 308.182 634.362 328.814
12100000 134.904 480.452 301.274 615.356 329.873
12200000 122.112 477.714 299.557 599.826 330.583
