# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 217.075 514.955 299.925 732.03 270.119
200000 214.995 511.93 298.163 726.925 272.727
300000 212.775 515.955 300.507 728.73 276.729
400000 208.87 517.195 301.23 726.065 276.903
500000 201.7 511.844 298.113 713.544 278.228
600000 209.676 523.751 305.048 733.427 277.343
700000 197.468 522.618 304.388 720.086 276.778
800000 208.506 516.343 300.733 724.849 276.589
900000 216.943 516.52 300.836 733.463 277.467
1000000 210.273 506.15 294.797 716.423 276.476
1100000 205.449 520.981 303.434 726.43 277.944
1200000 204.515 516.279 300.696 720.794 278.627
1300000 215.088 521.275 303.606 736.363 277.152
1400000 211.664 516.834 301.019 728.498 278.562
1500000 216.035 513.847 299.28 729.882 277.252
1600000 215.727 509.68 296.852 725.406 277.919
1700000 212.518 514.931 299.911 727.448 277.945
1800000 198.63 517.015 301.125 715.645 276.699
1900000 190.386 512.253 298.351 702.638 277.041
2000000 201.875 514.533 299.679 716.408 275.588
2100000 192.471 509.898 296.979 702.369 275.403
2200000 200.515 511.701 298.03 712.216 276.427
2300000 200.056 507.705 295.702 707.761 276.395
2400000 190.652 509.259 296.607 699.911 274.848
2500000 205.299 521.509 303.742 726.809 273.787
2600000 192.168 519.598 302.629 711.765 270.695
2700000 190.878 517.028 301.132 707.906 270.612
2800000 201.883 516.027 300.55 717.91 272.34
2900000 193.404 521.128 303.521 714.532 273.597
3000000 205.968 512.34 298.402 718.307 275.354
3100000 208.418 516.679 300.929 725.097 277.059
3200000 207.154 517.546 301.434 724.7 277.088
3300000 201.163 507.67 295.682 708.833 276.958
3400000 201.751 511.628 297.987 713.379 276.108
3500000 192.921 521.87 303.953 714.791 278.204
3600000 197.55 509.908 296.985 707.459 280.136
3700000 197.085 515.188 300.06 712.272 280.94
3800000 198.672 519.03 302.299 717.702 281.003
3900000 202.646 515.058 299.985 717.704 281.184
4000000 193.346 509.51 296.754 702.856 281.891
4100000 188.097 507.613 295.649 695.71 281.581
4200000 196.068 518.582 302.038 714.651 283.258
4300000 195.145 513.739 299.216 708.883 284.755
4400000 191.505 510.977 297.608 702.482 284.589
4500000 183.071 515.22 300.079 698.291 284.74
4600000 190.272 519.896 302.803 710.168 284.813
4700000 173.518 515.203 300.069 688.721 285.931
4800000 168.75 510.541 297.354 679.291 287.894
4900000 166.287 511.377 297.841 677.664 289.525
5000000 180.715 517.505 301.41 698.219 290.928
