# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 197.748 519.241 302.421 716.989 292.332
5200000 201.119 512.152 298.293 713.271 293.973
5300000 213.879 510.015 297.048 723.894 293.411
5400000 201.77 516.265 300.688 718.035 295.592
5500000 208.7 516.296 300.706 724.996 297.38
5600000 204.665 509.169 296.555 713.834 299.248
5700000 203.301 513.784 299.243 717.085 300.781
5800000 198.548 513.87 299.293 712.419 302.534
5900000 202.714 517.131 301.192 719.845 301.388
6000000 197.236 517.223 301.246 714.459 302.526
6100000 210.366 512.403 298.439 722.769 302.767
6200000 222.535 521.108 303.508 743.643 302.633
6300000 203.435 510.158 297.131 713.593 303.907
6400000 202.123 512.789 298.663 714.912 302.942
6500000 201.481 516.237 300.672 717.718 303.066
6600000 203.241 515.12 300.021 718.36 306.225
6700000 185.9 517.866 301.62 703.766 306.824
6800000 182.456 511.82 298.099 694.276 309.375
6900000 190.943 512.739 298.634 703.682 311.905
7000000 193.084 518.168 301.796 711.252 312.391
7100000 213.178 515.291 300.12 728.469 313.557
7200000 192.378 523.026 304.625 715.404 313.535
7300000 198.188 509.23 296.59 707.417 312.854
7400000 204.249 519.091 302.334 723.34 313.211
7500000 197.541 510.592 297.384 708.133 314.116
7600000 199.724 515.282 300.115 715.007 316.492
7700000 195.722 520.531 303.172 716.253 316.51
7800000 175.755 504.594 293.89 680.349 316.759
7900000 179.35 521.242 303.587 700.593 316.393
8000000 191.389 518.664 302.085 710.053 315.505
8100000 181.262 522.445 304.288 703.707 316.773
8200000 184.262 520.238 303.002 704.501 317.67
8300000 173.447 523.13 304.686 696.577 318.273
8400000 177.777 521.567 303.776 699.344 320.341
8500000 180.208 513.652 299.166 693.86 322.856
8600000 175.54 514.598 299.717 690.138 324.713
8700000 188.722 512.487 298.487 701.209 326.179
8800000 200.654 509.601 296.806 710.255 326.109
8900000 196.17 521.523 303.75 717.692 326.277
9000000 185.822 510.319 297.225 696.141 325.128
9100000 185.315 514.464 299.639 699.778 327.902
9200000 187.815 518.1 301.757 705.915 328.456
9300000 183.141 513.392 299.014 696.533 326.609
9400000 168.584 518.061 301.734 686.645 326.605
9500000 169.081 509.942 297.005 679.024 327.874
9600000 167.046 524.395 305.423 691.442 328.359
9700000 171.093 518.637 302.069 689.73 328.781
9800000 179.921 516.396 300.764 696.316 327.388
9900000 170.768 515.16 300.044 685.928 326.952
10000000 175.707 520.628 303.229 696.335 328.246
10100000 162.233 513.867 299.291 676.1 327.572
10200000 160.752 510.34 297.237 671.092 328.443
10300000 163.091 511.268 297.778 674.359 330.465
10400000 161.954 519.677 302.675 681.632 331.226
10500000 153.297 519.91 302.811 673.206 331.908
10600000 151.564 516.924 301.072 668.488 334.049
10700000 148.574 517.62 301.477 666.194 335.842
10800000 146.538 515.048 299.979 661.586 337.157
10900000 139.623 512.085 298.253 651.708 336.818
11000000 167.653 507.378 295.512 675.031 337.285
11100000 147.243 509.305 296.634 656.549 336.94
11200000 157.535 508.356 296.081 665.891 338.444
11300000 160.395 519.162 302.375 679.557 341.526
11400000 167.851 508.825 296.354 676.676 344.362
11500000 172.527 520.263 303.016 692.79 345.448
11600000 188.683 520.191 302.975 708.874 347.459
11700000 180.292 513.56 299.112 693.852 349.403
11800000 174.976 517.024 301.13 692 350.257
11900000 176.249 513.587 299.128 689.836 350.991
12000000 178.96 511.44 297.878 690.4 351.155
12100000 188.373 525.749 306.211 714.122 352.323
12200000 178.622 505.347 294.329 683.969 352.805
12300000 192.375 519.217 302.407 711.592 353.369
12400000 194.542 518.677 302.093 713.219 355.145
12500000 206.422 519.403 302.515 725.825 355.528
12600000 206.164 516.846 301.026 723.009 356.894
12700000 198.991 516.593 300.879 715.584 357.917
12800000 185.488 506.893 295.229 692.381 358.033
12900000 174.615 519.195 302.394 693.81 359.326
13000000 192.063 523.497 304.9 715.56 357.382
13100000 197.535 514.383 299.592 711.917 357.603
13200000 190.174 501.25 291.943 691.424 357.513
13300000 185.266 521.16 303.539 706.426 357.705
13400000 183.758 518.479 301.977 702.236 360.843
13500000 184.121 507.957 295.849 692.078 362.731
13600000 168.53 513.234 298.922 681.763 365.127
13700000 174.947 506.413 294.95 681.361 364.352
13800000 199.864 514.87 299.875 714.733 364.809
13900000 196.807 518.634 302.068 715.441 365.45
14000000 189.574 527.367 307.154 716.942 365.342
14100000 198.136 511.782 298.077 709.918 365.82
14200000 189.127 504.328 293.736 693.455 364.89
14300000 191.815 516.59 300.877 708.405 365.353
14400000 185.338 521.537 303.758 706.875 367.084
14500000 199.372 515.287 300.118 714.66 368.744
14600000 183.254 519.193 302.393 702.447 369.04
14700000 196.194 514.463 299.638 710.657 367.298
14800000 187.547 504.327 293.735 691.874 367.417
14900000 193.564 509.466 296.728 703.03 367.047
15000000 188.898 521.642 303.82 710.54 367.377
15100000 177.431 512.043 298.229 689.475 366.35
15200000 167.527 520.429 303.113 687.956 367.415
15300000 175.411 515.945 300.501 691.356 368.341
15400000 176.256 517.121 301.186 693.377 369.436
15500000 184.408 522.24 304.168 706.648 366.888
15600000 196.329 520.217 302.989 716.545 368.44
15700000 185.785 509.059 296.491 694.844 368.455
15800000 167.489 518.004 301.701 685.493 369.179
15900000 156.055 507.617 295.651 663.671 369.403
16000000 176.091 512.92 298.74 689.011 369.742
16100000 180.024 506.657 295.092 686.682 369.906
16200000 165.926 523.449 304.872 689.375 368.999
16300000 179.141 511.398 297.853 690.54 368.827
16400000 157.081 521.942 303.994 679.023 368.442
16500000 174.413 521.368 303.66 695.781 370.197
16600000 155.417 508.847 296.367 664.264 370.835
16700000 157.042 521.916 303.979 678.958 373.033
16800000 173.222 514.757 299.81 687.978 374.959
16900000 178.486 520.992 303.441 699.478 378.276
17000000 173.847 511.809 298.092 685.656 381.554
17100000 177.959 517.1 301.174 695.06 381.357
17200000 177.586 520.28 303.027 697.866 381.599
17300000 176.173 513.655 299.168 689.828 384.883
17400000 180.162 505.446 294.387 685.608 386.473
17500000 174.333 516.761 300.977 691.094 386.225
17600000 165.176 523.282 304.775 688.458 384.761
17700000 174.806 518.469 301.971 693.275 384.402
17800000 158.885 526.362 306.568 685.246 384.68
17900000 170.979 508.301 296.049 679.28 385.213
