# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 239.097 471.557 296.806 710.655 279.613
200000 241.614 471.288 296.637 712.902 283.224
300000 244.083 482.145 303.47 726.228 284.708
400000 240.135 481.327 302.955 721.461 285.504
500000 242.427 485.385 305.51 727.813 285.908
600000 244.477 476.745 300.071 721.222 285.289
700000 243.967 485.036 305.29 729.003 284.925
800000 239.821 478.681 301.29 718.502 286.559
900000 250.753 479.538 301.83 730.292 283.916
1000000 246.418 480.675 302.545 727.093 283.902
1100000 247.33 486.75 306.369 734.08 288.62
1200000 239.67 472.136 297.171 711.806 289.922
1300000 223.147 480.618 302.509 703.765 289.059
1400000 234.14 478.999 301.49 713.139 292.287
1500000 225.077 478.665 301.28 703.742 293.872
1600000 231.582 478.712 301.309 710.294 292.158
1700000 222.382 482.588 303.749 704.971 292.294
1800000 229.434 474.123 298.421 703.558 293.476
1900000 227.152 476.207 299.733 703.359 294.54
2000000 234.858 492.65 310.082 727.508 294.332
2100000 215.19 482.262 303.544 697.452 292.493
2200000 223.669 479.226 301.633 702.895 292.917
2300000 225.769 470.518 296.152 696.288 291.761
2400000 218.962 473.137 297.8 692.099 292.46
2500000 224.833 481.447 303.031 706.28 294.091
2600000 224.814 482.711 303.826 707.524 295.726
2700000 221.685 480.712 302.568 702.397 297.34
2800000 225.812 476.721 300.056 702.532 299.426
2900000 230.823 482.51 303.7 713.333 300
3000000 224.971 475.097 299.034 700.068 300.849
3100000 220.279 478.133 300.945 698.413 300.522
3200000 227.8 475.021 298.986 702.821 300.712
3300000 222.84 473.817 298.229 696.658 302.762
3400000 220.034 478.633 301.26 698.667 302.597
3500000 232.908 482.088 303.434 714.996 300.471
3600000 220.911 479.074 301.537 699.985 299.432
3700000 209.229 484.849 305.172 694.078 299.374
3800000 220.305 474.631 298.741 694.936 300.785
3900000 210.514 477.097 300.293 687.61 301.52
4000000 209.502 481.693 303.186 691.196 303.75
4100000 188.968 469.841 295.726 658.809 303.31
4200000 185.58 470.341 296.041 655.921 305.827
4300000 185.301 477.359 300.458 662.66 306.176
4400000 170.363 474.236 298.492 644.599 305.808
4500000 169.391 486.1 305.96 655.491 304.621
4600000 152.652 477.005 300.235 629.657 304.19
4700000 146.438 480.537 302.458 626.975 305.106
4800000 154.138 476.135 299.687 630.272 305.043
4900000 132.169 485.324 305.471 617.493 304.438
5000000 142.279 478.12 300.937 620.399 304.447
