# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 144.783 488.976 307.77 633.759 304.666
5200000 136.032 479.499 301.805 615.531 305.734
5300000 127.731 469.622 295.588 597.353 305.922
5400000 153.05 485.977 305.882 639.027 307.395
5500000 139.912 478.798 301.363 618.71 307.183
5600000 143.898 479.797 301.993 623.695 306.413
5700000 147.559 484.242 304.79 631.801 307.53
5800000 124.448 484.581 305.004 609.029 306.27
5900000 133.136 468.629 294.963 601.765 306.286
6000000 128.376 483.232 304.154 611.608 307.135
6100000 137.878 471.943 297.049 609.821 309.606
6200000 128.914 473.318 297.915 602.232 312.101
6300000 146.484 471.435 296.729 617.919 311.572
6400000 132.483 474.439 298.62 606.922 310.6
6500000 136.744 479.801 301.995 616.546 309.435
6600000 124.021 470.458 296.114 594.479 307.093
6700000 132.709 477.5 300.546 610.209 307.526
6800000 136.993 486.284 306.075 623.276 307.297
6900000 144.947 479.009 301.497 623.956 306.163
7000000 121.488 479.092 301.549 600.58 306.482
7100000 90.3311 481.573 303.11 571.904 306.344
7200000 69.9103 478.848 301.395 548.759 306.798
7300000 61.6921 479.389 301.736 541.082 308.265
7400000 49.3848 472 297.085 521.385 307.327
7500000 67.0837 471.58 296.821 538.664 308.169
7600000 62.9996 474.979 298.96 537.979 309.33
7700000 40.9578 480.211 302.253 521.169 310.529
7800000 60.6952 478.046 300.891 538.742 311.629
7900000 71.648 466.078 293.357 537.726 313.734
8000000 61.7233 473.682 298.144 535.406 314.891
8100000 57.9636 483.166 304.113 541.13 316.604
8200000 59.2755 474.464 298.636 533.74 316.795
8300000 39.4307 481.139 302.837 520.569 316.736
8400000 37.0449 473.968 298.323 511.013 316.794
8500000 54.6119 473.349 297.934 527.961 318.298
8600000 47.5144 475.521 299.301 523.035 318.786
8700000 58.6625 471.799 296.958 530.461 319.907
8800000 55.0292 477.437 300.507 532.467 318.852
8900000 72.1472 477.156 300.33 549.304 315.582
9000000 57.8658 478.772 301.347 536.638 314.537
9100000 64.0157 480.758 302.597 544.773 314.303
9200000 56.2245 472.736 297.548 528.961 316.178
9300000 42.0472 469.903 295.765 511.95 318.598
9400000 52.6607 467.806 294.445 520.467 323.306
9500000 43.1161 480.878 302.673 523.994 325.4
9600000 58.0795 467.027 293.955 525.106 326.733
9700000 42.5413 498.514 313.773 541.056 326.91
9800000 56.9959 469.842 295.727 526.838 327.094
9900000 42.0294 484.744 305.106 526.774 329.2
10000000 35.1562 482.781 303.87 517.937 332.09
10100000 40.9411 473.908 298.286 514.849 333.39
10200000 45.8084 479.966 302.099 525.774 333.351
10300000 50.8118 486.252 306.055 537.064 336.014
10400000 43.7631 470.196 295.95 513.96 335.717
10500000 43.2309 473.905 298.284 517.136 334.428
10600000 24.3609 482.608 303.762 506.969 335.133
10700000 34.6174 472.659 297.5 507.276 335.494
10800000 54.2451 476.884 300.159 531.129 335
10900000 26.064 477.795 300.732 503.859 337.924
11000000 22.5524 479.452 301.775 502.005 339.317
11100000 29.8821 482.226 303.521 512.108 340.978
11200000 33.5326 481.413 303.009 514.945 342.619
11300000 50.2914 475.399 299.224 525.69 344.636
11400000 37.1571 470.747 296.296 507.904 344.694
11500000 16.5307 488.224 307.297 504.755 345.143
11600000 35.5089 480.911 302.694 516.42 347.86
11700000 21.8836 467.258 294.1 489.142 350.909
11800000 21.8289 484.38 304.877 506.209 349.987
11900000 41.9257 472.881 297.639 514.807 349.994
12000000 16.9829 478.087 300.916 495.07 350.651
12100000 25.1492 469.787 295.692 494.936 351.597
12200000 13.1524 484.385 304.88 497.537 352.698
12300000 11.66 478.358 301.087 490.018 351.932
12400000 3.89531 475.511 299.295 479.407 352.866
12500000 15.4971 466.24 293.459 481.737 353.268
12600000 5.39302 475.677 299.399 481.07 354.067
12700000 -0.60783 473.927 298.298 473.319 356.712
12800000 7.76878 484.434 304.911 492.203 357.886
12900000 15.3106 478.854 301.399 494.165 359.567
13000000 24.839 477.984 300.851 502.823 360.406
