# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 237.88 490.841 301.588 728.72 274.403
200000 251.619 487.828 299.737 739.447 273.581
300000 243.497 492.149 302.391 735.645 272.977
400000 233.512 489.632 300.845 723.145 274.214
500000 228.41 489.369 300.684 717.779 275.58
600000 234.181 486.78 299.093 720.961 274.303
700000 237.316 490.533 301.399 727.849 273.406
800000 230.404 494.849 304.05 725.253 277.073
900000 237.743 488.902 300.396 726.645 278.988
1000000 244.729 498.319 306.182 743.047 278.392
1100000 241.682 494.542 303.862 736.224 278.904
1200000 228.271 486.072 298.657 714.343 278.717
1300000 211.813 495.358 304.364 707.171 280.828
1400000 202.897 488.896 300.393 691.793 281.92
1500000 208.583 496.627 305.143 705.21 284.376
1600000 189.121 485.311 298.19 674.432 286.66
1700000 185.177 496.719 305.199 681.896 288.494
1800000 210.752 487.663 299.635 698.415 288.297
1900000 207.677 500.269 307.381 707.946 289.92
2000000 201.327 496.941 305.336 698.267 290.814
2100000 213.035 483.039 296.794 696.074 290.897
2200000 213.378 494.764 303.998 708.143 295.033
2300000 202.391 485.662 298.406 688.053 298.262
2400000 210.775 497.143 305.46 707.918 300.353
2500000 232.338 494.008 303.534 726.346 300.821
2600000 236.308 491.473 301.976 727.781 302.095
2700000 230.81 492.051 302.331 722.861 302.908
2800000 235.44 491.911 302.245 727.351 302.535
2900000 212.624 500.46 307.498 713.084 305.642
3000000 213.667 495.842 304.66 709.508 308.401
3100000 210.93 482.312 296.348 693.243 308.964
3200000 237.618 481.049 295.571 718.667 311.749
3300000 222 489.376 300.687 711.375 312.978
3400000 202.772 482.194 296.275 684.966 313.225
3500000 207.63 482.256 296.313 689.886 314.726
3600000 206.705 494.589 303.891 701.294 315.553
3700000 208.902 487.634 299.617 696.535 316.935
3800000 212.889 485.657 298.403 698.546 316.894
3900000 218.723 488.611 300.218 707.334 316.207
4000000 211.193 488.099 299.903 699.292 314.225
4100000 212.613 483.184 296.883 695.797 310.441
4200000 227.348 497.428 305.635 724.776 307.38
4300000 237.189 494.604 303.9 731.794 307.598
4400000 260.771 478.792 294.185 739.563 308.466
4500000 251.677 491.603 302.056 743.28 304.182
4600000 246.962 487.593 299.592 734.555 304.837
4700000 237.109 485.17 298.104 722.279 305.116
4800000 232.067 488.943 300.422 721.01 305.889
4900000 216.676 494.628 303.915 711.304 308.874
5000000 220.412 494.209 303.657 714.621 309.753
