# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 221.032 484.32 297.581 705.352 311.749
5200000 221.537 486.467 298.9 708.004 312.594
5300000 220.595 478.023 293.712 698.618 314.251
5400000 230.733 485.969 298.594 716.702 317.3
5500000 195.439 486.654 299.015 682.093 319.447
5600000 200.751 495.777 304.621 696.528 318.354
5700000 190.685 490.519 301.39 681.205 319.661
5800000 206.825 484.782 297.865 691.608 319.101
5900000 219.522 485.421 298.257 704.943 319.489
6000000 203.353 495.598 304.511 698.951 319.869
6100000 214.613 493.675 303.329 708.288 322.802
6200000 223.029 483.112 296.839 706.141 325.002
6300000 229.977 496.571 305.109 726.548 325.719
6400000 224.132 485.619 298.379 709.751 323.861
6500000 245.845 486.437 298.882 732.282 326.522
6600000 228.815 484.801 297.876 713.615 327.414
6700000 229.222 486.793 299.1 716.015 326.826
6800000 222.535 502.194 308.564 724.73 325.991
6900000 211.147 488.777 300.32 699.924 327.661
7000000 207.583 491.825 302.192 699.407 330.711
7100000 206.823 480.869 295.461 687.692 329.6
7200000 224.617 483.139 296.856 707.756 329.076
7300000 237.018 480.078 294.975 717.096 331.312
7400000 239.56 482.088 296.21 721.648 331.102
7500000 231.108 502.28 308.617 733.388 332.256
7600000 231.118 483.125 296.847 714.243 335.274
7700000 235.403 486.597 298.98 722 336.907
7800000 221.009 486.212 298.744 707.221 337.81
7900000 207.353 484.428 297.647 691.781 336.879
8000000 210.932 493.973 303.512 704.905 336.489
8100000 227.647 488.368 300.069 716.015 335.382
8200000 221.826 489.451 300.734 711.278 333.89
8300000 208.633 480.988 295.534 689.621 333.775
8400000 197.667 490.67 301.483 688.337 331.81
8500000 213.879 493.291 303.093 707.17 331.658
8600000 215.859 492.082 302.35 707.942 334.83
8700000 206.402 493.211 303.044 699.613 334.738
8800000 220.446 491.461 301.969 711.907 334.766
8900000 201.642 491.158 301.783 692.8 335.127
9000000 202.411 491.928 302.256 694.339 335.962
9100000 216.893 490.671 301.484 707.564 334.11
9200000 210.16 490.805 301.566 700.965 333.223
9300000 213.438 489.408 300.708 702.847 336.62
9400000 203.955 491.216 301.818 695.171 339.365
9500000 214.428 493.91 303.473 708.337 338.828
9600000 218.7 497.612 305.748 716.311 338.48
9700000 232.899 489.499 300.763 722.398 337.021
9800000 228.859 495.284 304.318 724.143 337.674
9900000 233.448 482.533 296.483 715.981 340.254
10000000 217.085 487.741 299.683 704.826 340.181
10100000 225.547 494.183 303.641 719.731 339.632
10200000 213.856 492.669 302.711 706.525 340.466
10300000 231.035 483.131 296.851 714.166 341.749
10400000 228.514 492.783 302.781 721.297 345.045
10500000 235.101 491.688 302.108 726.789 345.325
10600000 232.553 492 302.3 724.554 348.576
10700000 209.051 494.843 304.047 703.894 351.608
10800000 214.031 489.815 300.958 703.846 352.306
10900000 224.601 496.273 304.925 720.873 353.676
11000000 221.7 495.018 304.155 716.719 355.517
11100000 209.341 481.188 295.657 690.529 355.962
11200000 212.413 484.123 297.46 696.535 356.829
11300000 219.911 491.495 301.99 711.406 356.301
11400000 222.075 478.281 293.871 700.356 355.854
11500000 229.136 486.203 298.738 715.339 355.754
11600000 201.789 483.693 297.196 685.481 356.27
11700000 212.693 485.092 298.055 697.785 355.769
11800000 209.347 477.026 293.1 686.374 354.129
11900000 207.802 503.768 309.53 711.57 353.167
12000000 211.995 486.474 298.905 698.47 352.295
12100000 204.114 478.184 293.811 682.298 353.192
12200000 202.206 486.49 298.914 688.696 353.964
12300000 207.399 471.022 289.41 678.42 352.152
12400000 211.891 489.162 300.556 701.052 352.165
12500000 197.848 494.676 303.944 692.524 352.757
