# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 -34.0824 68.1396 304.792 34.0572 31.0717
200000 -24.8068 65.246 291.849 40.4392 29.6196
300000 -13.6922 69.2389 309.71 55.5468 33.7957
400000 -30.934 67.8126 303.33 36.8786 29.9586
500000 -25.27 65.7969 294.313 40.5269 34.5172
600000 -21.377 65.3807 292.452 44.0038 34.1704
700000 -22.7092 68.2916 305.472 45.5824 30.5163
800000 -16.7036 73.5699 329.083 56.8664 33.6869
900000 -4.93711 68.369 305.818 63.4318 35.0688
1000000 0.727642 69.4122 310.485 70.1399 37.5426
1100000 -5.03561 70.4028 314.916 65.3672 40.5692
1200000 -11.8227 64.3696 287.929 52.5468 36.969
1300000 -14.1517 70.4515 315.134 56.2998 37.4088
1400000 -11.3881 69.7674 312.073 58.3793 38.899
1500000 -7.83821 68.0053 304.192 60.1671 40.2494
1600000 -16.2877 67.345 301.238 51.0574 41.0917
1700000 -16.0486 65.727 294.001 49.6784 41.3672
1800000 -19.4177 64.6547 289.204 45.2371 42.2948
1900000 -24.3172 65.5933 293.402 41.276 40.3504
2000000 -24.5162 70.9515 317.37 46.4353 45.3068
2100000 -20.0768 66.4936 297.43 46.4167 51.7843
2200000 -26.5435 69.3746 310.317 42.8311 54.0062
2300000 -25.3973 69.1938 309.508 43.7964 54.2994
2400000 -22.2224 69.8034 312.235 47.581 61.4553
2500000 -25.9097 66.4045 297.031 40.4948 57.5045
2600000 -20.03 70.0736 313.443 50.0436 54.6156
2700000 -12.1275 69.3109 310.032 57.1834 51.5773
2800000 -20.8284 68.3782 305.86 47.5499 53.4296
2900000 -27.121 67.8201 303.363 40.6991 51.1518
3000000 -25.2539 69.0993 309.085 43.8454 49.785
3100000 -27.775 71.1568 318.288 43.3817 53.5118
3200000 -20.1756 65.1413 291.381 44.9656 59.615
3300000 -26.5962 64.7091 289.447 38.1129 61.1714
3400000 -19.6998 66.9491 299.467 47.2493 63.126
3500000 -24.4812 67.5527 302.167 43.0715 60.7656
3600000 -17.1909 65.9474 294.987 48.7566 57.9623
3700000 -23.0669 68.8897 308.148 45.8228 59.9941
3800000 -22.3992 65.8978 294.764 43.4985 59.1556
3900000 -21.3003 68.3726 305.835 47.0723 53.5261
4000000 -23.4524 66.473 297.338 43.0206 51.7204
4100000 -19.7636 70.2213 314.104 50.4577 53.6771
4200000 -17.525 64.8491 290.074 47.3242 59.422
4300000 -10.5687 67.6127 302.435 57.044 65.4258
4400000 -17.9949 72.8866 326.026 54.8917 70.4561
4500000 -17.427 64.9456 290.505 47.5186 68.9369
4600000 -20.6363 66.0176 295.301 45.3813 69.3795
4700000 -15.1724 69.1759 309.428 54.0035 69.8017
4800000 -15.2413 63.2166 282.772 47.9754 74.1971
4900000 -12.6116 68.2752 305.399 55.6636 72.0901
5000000 -12.0761 67.8487 303.491 55.7726 72.6268
