# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -16.3447 68.3418 305.697 51.9971 72.4707
5200000 -19.0581 67.5347 302.087 48.4766 77.5843
5300000 -15.2113 65.9782 295.124 50.7669 81.724
5400000 -24.049 70.2421 314.197 46.193 84.1964
5500000 -17.0063 66.8243 298.909 49.8181 80.8667
5600000 -18.7392 65.109 291.236 46.3698 77.0812
5700000 -19.6875 64.7561 289.658 45.0686 79.273
5800000 -15.5089 69.4946 310.853 53.9857 77.8705
5900000 -18.4621 65.5809 293.347 47.1188 77.841
6000000 -22.0159 68.2755 305.4 46.2596 78.3203
6100000 -20.2904 71.3162 319.001 51.0258 82.6411
6200000 -14.9934 68.0344 304.322 53.041 81.1943
6300000 -19.0837 69.2971 309.97 50.2134 79.0492
6400000 -19.6216 71.2226 318.583 51.6009 77.1332
6500000 -17.4938 66.5183 297.54 49.0245 71.9569
6600000 -24.809 67.0547 299.94 42.2458 69.9427
6700000 -19.9269 70.704 316.263 50.7771 72.2658
6800000 -10.0369 66.5441 297.655 56.5072 78.5738
6900000 -11.757 67.9955 304.148 56.2385 83.1751
7000000 -13.8809 67.4755 301.822 53.5946 87.7291
7100000 -20.5594 66.7361 298.515 46.1767 88.1354
7200000 -14.9637 69.9852 313.048 55.0215 90.0331
7300000 -15.7933 68.6928 307.267 52.8995 86.6194
7400000 -18.5474 66.0885 295.618 47.5411 84.7022
7500000 -28.1586 64.5686 288.819 36.41 88.3804
7600000 -36.385 65.4466 292.746 29.0615 88.8544
7700000 -29.2157 66.5264 297.577 37.3107 94.2357
7800000 -25.5451 64.3457 287.822 38.8006 86.7192
7900000 -31.4476 64.0115 286.327 32.5639 84.7818
8000000 -36.3257 66.316 296.635 29.9903 79.7527
8100000 -37.3445 65.9451 294.976 28.6007 81.7027
8200000 -32.3621 65.8393 294.503 33.4772 83.1851
8300000 -35.273 69.2368 309.7 33.9638 85.6686
8400000 -30.0428 66.9546 299.492 36.9118 84.2536
8500000 -30.745 66.6264 298.024 35.8815 83.1891
8600000 -26.0926 67.5961 302.361 41.5035 84.2757
8700000 -15.7652 67.2537 300.83 51.4886 85.9575
8800000 -17.6764 66.5002 297.459 48.8237 84.8073
8900000 -9.93418 67.4951 301.91 57.5609 87.5476
9000000 -10.3104 69.6952 311.75 59.3848 90.1235
9100000 -21.745 67.7445 303.025 45.9995 88.5706
9200000 -20.3757 65.2263 291.761 44.8506 84.374
9300000 -14.1824 65.2685 291.95 51.0861 86.5007
9400000 -9.84343 66.6757 298.244 56.8323 85.9123
9500000 -17.1511 66.438 297.181 49.2869 89.5426
9600000 -18.1675 67.1751 300.478 49.0076 94.6541
9700000 -15.6677 62.5737 279.896 46.9059 92.9882
9800000 -19.3488 69.2642 309.823 49.9154 94.2813
9900000 -8.2294 72.1353 322.665 63.9059 90.7619
10000000 -6.75707 63.8683 285.687 57.1113 91.4276
10100000 -13.9993 64.5968 288.945 50.5975 95.5457
10200000 -15.3786 66.3959 296.993 51.0174 98.6744
10300000 -17.4841 64.663 289.241 47.179 100.335
10400000 -12.6299 66.9697 299.559 54.3398 109.599
10500000 -21.3462 67.7092 302.867 46.3631 113.149
10600000 -14.4705 66.9935 299.666 52.5229 112.369
10700000 -8.21897 66.7841 298.729 58.5652 114.388
10800000 -8.46081 68.4591 306.221 59.9983 118.954
10900000 -2.47771 64.8412 290.038 62.3635 122.823
11000000 -6.67954 67.652 302.611 60.9724 121.382
11100000 -6.86897 63.3722 283.467 56.5032 119.37
11200000 -9.73817 67.1615 300.417 57.4233 122.524
11300000 -8.79022 65.4588 292.801 56.6686 126.885
11400000 -6.00295 68.4347 306.112 62.4318 130.366
11500000 -4.66738 66.9382 299.418 62.2708 129.677
11600000 -5.58595 69.4365 310.593 63.8505 132.032
11700000 -10.3652 66.2785 296.468 55.9133 132.911
11800000 -15.1765 67.4441 301.681 52.2676 127.82
11900000 -12.1462 65.9077 294.809 53.7615 123.006
12000000 -19.8671 65.6679 293.736 45.8007 119.335
12100000 -22.5672 69.042 308.829 46.4748 114.618
12200000 -18.8287 69.2011 309.54 50.3724 115.936
12300000 -19.1744 68.8197 307.834 49.6453 107.739
12400000 -11.6689 64.9758 290.64 53.3068 103.353
12500000 -7.63201 69.6153 311.393 61.9833 104.204
12600000 -14.4356 68.2092 305.104 53.7736 109.032
12700000 -17.0735 62.8576 281.166 45.7842 104.447
12800000 -16.6823 68.3024 305.521 51.6201 103.769
12900000 -21.9125 68.3506 305.736 46.4381 100.294
13000000 -19.6152 68.2809 305.424 48.6657 99.8585
