# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 1961.3 3621.26 298.858 5582.56 573.402
200000 1956.25 3630.12 299.589 5586.36 574.202
300000 1973.75 3643.8 300.718 5617.55 574.541
400000 1955.35 3650.53 301.273 5605.88 575.364
500000 1988.88 3615.08 298.348 5603.95 576.562
600000 1978.58 3655.71 301.701 5634.29 578.005
700000 1961.99 3647.93 301.059 5609.92 578.219
800000 1954.44 3611.83 298.079 5566.27 578.613
900000 1963.8 3641.75 300.549 5605.54 578.953
1000000 1957.29 3654.47 301.599 5611.76 579.186
1100000 1972.23 3630.97 299.659 5603.2 579.255
1200000 1955.15 3644.86 300.805 5600 580.048
1300000 1992.09 3618.31 298.614 5610.4 581.533
1400000 1963.83 3649.83 301.216 5613.67 582.723
1500000 1959.53 3636.05 300.078 5595.58 583.715
1600000 1962 3638.78 300.304 5600.78 583.912
1700000 1959.7 3639.97 300.402 5599.68 583.49
1800000 1966.74 3634.31 299.935 5601.05 583.984
1900000 1985.61 3623.1 299.01 5608.71 584.724
2000000 1962.71 3666.97 302.63 5629.68 584.954
2100000 1954.35 3628.96 299.493 5583.31 585.236
2200000 1971.78 3646.86 300.97 5618.63 586.141
2300000 1962.65 3643.07 300.658 5605.73 586.528
2400000 1964.79 3626.86 299.32 5591.66 586.596
2500000 1952.83 3641.01 300.488 5593.85 587.025
2600000 1947.06 3613.23 298.195 5560.29 587.299
2700000 1953.85 3655.67 301.697 5609.52 587.756
2800000 1953.54 3627.14 299.343 5580.68 587.64
2900000 1984.21 3640.12 300.414 5624.33 587.703
3000000 1960.98 3643.45 300.689 5604.42 587.236
3100000 1963.25 3637.15 300.169 5600.39 586.752
3200000 1953.37 3620.24 298.774 5573.61 586.9
3300000 1971.04 3638.16 300.253 5609.2 587.704
3400000 1985.11 3609.09 297.854 5594.2 588.141
3500000 1953.27 3645.53 300.861 5598.8 588.59
3600000 1959.32 3636.57 300.122 5595.89 589.173
3700000 1960.47 3632.15 299.757 5592.62 589.811
3800000 1965.17 3604.37 297.464 5569.54 590.287
3900000 1947.57 3649.52 301.19 5597.09 590.935
4000000 1980.28 3611.16 298.025 5591.44 591.065
4100000 1962.51 3623.65 299.056 5586.16 591.543
4200000 1961.11 3644.1 300.743 5605.21 591.79
4300000 1946.69 3637.46 300.195 5584.16 591.703
4400000 1953.3 3628.62 299.465 5581.92 592.33
4500000 1963.44 3641.82 300.555 5605.26 593.074
4600000 1969.88 3651.41 301.347 5621.3 594.431
4700000 1943.84 3660.99 302.137 5604.83 594.161
4800000 1962.29 3640.59 300.453 5602.88 594.108
4900000 1970.73 3630.28 299.602 5601.01 594.705
5000000 1949.5 3631.69 299.719 5581.19 595.613
