# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 225.599 497.583 295.449 723.182 308.485
5200000 218.379 506.057 300.481 724.436 310.458
5300000 220.844 508.307 301.817 729.151 310.573
5400000 212.462 507.819 301.527 720.281 312.909
5500000 203.615 504.35 299.467 707.965 312.444
5600000 214.899 516.305 306.566 731.204 312.266
5700000 218.12 509.684 302.634 727.804 313.826
5800000 203.772 501.23 297.614 705.001 313.4
5900000 213.271 506.62 300.815 719.891 315.236
6000000 209.96 500.795 297.356 710.755 315.679
6100000 222.284 506.529 300.761 728.813 313.477
6200000 217.703 507.098 301.099 724.801 312.339
6300000 219.635 502.709 298.493 722.344 312.646
6400000 220.644 507.854 301.548 728.499 313.746
6500000 228.374 511.139 303.498 739.513 314.773
6600000 222.577 516.923 306.933 739.501 316.318
6700000 223.804 504.603 299.617 728.407 316.49
6800000 228.799 502.06 298.107 730.859 318.461
6900000 228.483 504.571 299.599 733.054 318.973
7000000 231.607 499.238 296.432 730.844 318.785
7100000 227.149 506.79 300.916 733.94 321.445
7200000 228.758 500.83 297.377 729.588 322.84
7300000 225.029 508.315 301.821 733.344 322.604
7400000 228.865 501.398 297.715 730.263 322.739
7500000 229.821 513.177 304.709 742.999 324.148
7600000 228.409 509.021 302.241 737.43 324.951
7700000 222.895 511.069 303.457 733.964 326.776
7800000 231.848 506.81 300.928 738.658 328.303
7900000 239.454 504.439 299.52 743.893 327.947
8000000 231.916 499.072 296.333 730.987 328.232
8100000 234.548 502.301 298.251 736.85 327.625
8200000 227.842 505.353 300.062 733.195 327.957
8300000 218.8 507.818 301.526 726.618 328.08
8400000 218.922 505.302 300.032 724.224 330.782
8500000 221.348 513.081 304.652 734.429 329.803
8600000 214.019 510.65 303.208 724.669 331.575
8700000 217.776 508.936 302.19 726.712 331.83
8800000 231.755 506.503 300.746 738.259 333.806
8900000 238.353 502.509 298.374 740.862 336.17
9000000 230.131 504.511 299.563 734.642 338.909
9100000 225.606 513.686 305.011 739.292 338.231
9200000 228.578 501.934 298.033 730.512 338.192
9300000 224.863 497.706 295.522 722.57 340.218
9400000 220.767 509.267 302.387 730.034 340.092
9500000 218.786 503.337 298.866 722.123 340.719
9600000 236.429 501.616 297.844 738.045 340.181
9700000 217.736 506.3 300.625 724.037 339.442
9800000 227.962 502.172 298.174 730.134 341.3
9900000 222.64 509.71 302.65 732.35 345.083
10000000 216.471 505.668 300.25 722.139 344.223
10100000 228.189 525.51 312.031 753.699 343.394
10200000 234.664 501.857 297.987 736.521 346.431
10300000 232.758 509.913 302.771 742.671 345.534
10400000 241.135 497.797 295.576 738.932 345.663
10500000 248.774 505.428 300.107 754.201 344.631
10600000 253.354 506.029 300.464 759.383 344.655
10700000 246.852 508.156 301.727 755.009 344.997
10800000 247.11 503.285 298.835 750.396 344.866
10900000 224.774 500.16 296.979 724.934 344.729
11000000 211.351 504.828 299.751 716.179 345.039
11100000 216.952 493.808 293.208 710.761 345.314
11200000 207.67 518.373 307.794 726.043 345.092
11300000 208.141 509.673 302.628 717.813 344.308
11400000 205.152 502.199 298.19 707.351 343.887
11500000 211.232 497.197 295.22 708.429 344.046
11600000 215.873 510.676 303.224 726.55 343.838
11700000 208.128 508.406 301.876 716.534 344.72
11800000 216.675 503.435 298.924 720.11 347.677
11900000 215.812 508.898 302.168 724.711 349.17
12000000 215.962 505.558 300.184 721.52 349.444
12100000 215.331 502.087 298.123 717.418 351.102
12200000 207.074 505.211 299.978 712.285 351.628
12300000 206.601 515.308 305.974 721.909 350.49
12400000 208.545 501.381 297.704 709.926 353.337
12500000 210.961 508.965 302.207 719.926 356.252
12600000 211.729 493.946 293.29 705.675 355.848
12700000 214.543 504.132 299.338 718.675 355.682
12800000 214.707 505.611 300.216 720.317 356.42
12900000 213.094 512.495 304.303 725.589 358.184
13000000 221.218 508.338 301.835 729.556 358.609
13100000 212.389 514.233 305.336 726.622 358.478
13200000 214.146 507.271 301.202 721.417 358.998
