# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 188.101 515.858 306.3 703.959 85.0236
200000 182.021 503.536 298.984 685.557 85.13
300000 185.195 512.643 304.391 697.837 88.0971
400000 176.226 501.843 297.978 678.068 91.1586
500000 174.766 507.122 301.113 681.888 93.8022
600000 194.037 497.853 295.609 691.889 95.4599
700000 175.796 504.004 299.262 679.8 96.3161
800000 171.388 509.906 302.766 681.294 98.4396
900000 180.548 509.231 302.365 689.779 100.134
1000000 193.395 500.372 297.105 693.768 100.364
1100000 196.256 511.375 303.639 707.632 101.829
1200000 184.074 499.91 296.831 683.984 104.52
1300000 179.233 501.706 297.897 680.939 106.595
1400000 169.373 506.963 301.019 676.335 107.157
1500000 191.709 508.536 301.953 700.245 107.428
1600000 199.998 509.8 302.703 709.798 106.845
1700000 178.79 503.805 299.143 682.595 106.921
1800000 189.283 503.117 298.735 692.4 107.991
1900000 196.918 509.402 302.467 706.32 109.593
2000000 196.567 511.439 303.676 708.006 110.635
2100000 178.539 504.725 299.69 683.264 111.603
2200000 191.927 510.764 303.275 702.691 115.3
2300000 197.056 513.992 305.193 711.048 118.033
2400000 207.24 509.044 302.254 716.283 119.179
2500000 206.199 506.886 300.973 713.084 121.85
2600000 180.935 501.506 297.779 682.441 124.365
2700000 195.778 498.48 295.982 694.258 124.897
2800000 190.074 507.627 301.413 697.701 127.177
2900000 183.004 491.505 291.84 674.509 128.537
3000000 192.675 503.806 299.144 696.482 130.499
3100000 196 502.81 298.553 698.809 132.143
3200000 184.103 504.793 299.73 688.895 131.944
3300000 183.592 505.405 300.094 688.997 132.703
3400000 196.186 497.255 295.254 693.441 132.984
3500000 203.231 516.901 306.92 720.132 135.841
3600000 209.071 511.803 303.893 720.874 135.884
3700000 190.969 509.815 302.712 700.784 136.242
3800000 203.036 510.816 303.307 713.853 138.981
3900000 216.743 502.072 298.115 718.816 142.873
4000000 203.19 500.344 297.088 703.534 145.622
4100000 187.912 508.743 302.075 696.654 147.146
4200000 187.858 502.752 298.519 690.611 147.574
4300000 199.435 496.973 295.087 696.407 149.13
4400000 203.15 507.981 301.623 711.131 151.302
4500000 191.906 499.419 296.539 691.325 154.566
4600000 188.685 499.054 296.323 687.739 154.634
4700000 212.075 499.109 296.355 711.184 154.544
4800000 192.309 503.194 298.781 695.502 156.055
4900000 184.653 517.874 307.497 702.527 157.489
5000000 183.149 511.833 303.91 694.981 157.207
