# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 3.16673 103.785 302.762 106.952 127.806
5200000 2.9536 109.971 320.807 112.924 126.769
5300000 -5.65572 101.765 296.869 96.1089 124.849
5400000 -2.73116 102.967 300.377 100.236 123.568
5500000 -7.37901 101.174 295.147 93.7952 122.627
5600000 -13.3708 102.533 299.111 89.1624 118.222
5700000 -5.41749 100.777 293.989 95.3599 116.385
5800000 -4.01153 102.359 298.604 98.3477 118.773
5900000 -12.8734 99.8063 291.156 86.9329 120.51
6000000 -3.8762 102.789 299.856 98.9125 116.556
6100000 -8.26425 100.549 293.323 92.2847 119.16
6200000 -2.33589 102.901 300.184 100.565 118.985
6300000 -12.1912 106.097 309.507 93.9057 118.219
6400000 -2.4147 104.445 304.688 102.03 118.331
6500000 -8.59976 104.166 303.874 95.566 118.668
6600000 -7.10017 101.827 297.05 94.7267 120.479
6700000 -6.14422 102.149 297.989 96.0044 127.083
6800000 -6.14926 104.132 303.776 97.9829 129.95
6900000 -7.69336 96.7473 282.232 89.0539 132.623
7000000 -15.9012 107.178 312.661 91.277 135.976
7100000 -6.39519 103.6 302.223 97.2049 134.916
7200000 -5.35929 104.654 305.297 99.2944 135.674
7300000 -6.61824 97.9477 285.734 91.3295 136.127
7400000 -6.04624 108.073 315.271 102.027 133.699
7500000 -6.59401 100.07 291.926 93.4762 135.57
7600000 -7.3824 102.45 298.869 95.0679 134.832
7700000 0.095631 104.758 305.601 104.854 133.04
7800000 6.46517 102.382 298.671 108.848 132.021
7900000 3.75171 102.555 299.176 106.307 134.844
8000000 5.90004 107.853 314.631 113.753 133.615
8100000 -1.57705 103.158 300.932 101.58 133.275
8200000 0.297951 101.67 296.592 101.968 134.956
8300000 -1.08317 101.392 295.781 100.309 134.556
8400000 -8.71801 103.441 301.76 94.7233 138.587
8500000 -9.05954 108.3 315.933 99.24 140.813
8600000 -13.3631 97.5332 284.525 84.17 141.043
8700000 -30.1077 100.711 293.795 70.6032 145.6
8800000 -13.5568 102.913 300.218 89.3557 152.046
8900000 -14.7407 108.75 317.246 94.0092 155.336
9000000 -12.8499 104.472 304.766 91.6219 151.994
9100000 -19.6498 105.825 308.714 86.1753 152.213
9200000 -15.3596 100.325 292.67 84.9655 155.939
9300000 -14.73 100.772 293.973 86.0421 158.559
9400000 -10.2025 106.522 310.747 96.3194 160.155
9500000 -18.8831 105.235 306.993 86.352 160.679
9600000 -16.3725 102.54 299.131 86.1674 162.171
9700000 -26.496 103.509 301.957 77.0126 164.675
9800000 -16.1748 99.548 290.402 83.3732 164.796
9900000 -18.1904 102.685 299.552 84.4941 163.714
10000000 -17.9313 103.81 302.836 85.8788 163.776
10100000 -11.5643 104.481 304.793 92.9166 164.612
10200000 -7.96776 103.122 300.829 95.1544 165.685
10300000 -15.8222 98.2458 286.604 82.4236 164.927
10400000 -21.2958 104.242 304.097 82.9465 164.089
10500000 -30.0935 100.835 294.156 70.7413 164.244
10600000 -19.0787 104.533 304.945 85.4543 165.838
10700000 -15.7202 101.686 296.64 85.966 164.883
10800000 -11.227 99.5959 290.542 88.3689 165.178
10900000 -19.8807 104.166 303.873 84.285 165.266
11000000 -14.52 103.124 300.834 88.6039 168.124
11100000 -13.2768 101.183 295.173 87.9064 171.192
11200000 -9.29355 105.139 306.714 95.8459 169.827
11300000 3.15228 101.481 296.042 104.633 172.496
11400000 3.07485 102.294 298.413 105.369 172.014
11500000 -1.45394 103.684 302.469 102.23 170.954
11600000 -2.66824 101.944 297.391 99.2754 170.52
11700000 -9.35613 101.935 297.365 92.5786 176.569
