# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 46.0907 71.515 328.655
200000 18.8888 70.1308 322.294
300000 -1.62007 68.2031 313.435
400000 -41.0516 66.3847 305.078
500000 -39.6997 67.6242 310.774
600000 -38.8004 66.9942 307.879
700000 -47.075 61.7583 283.817
800000 -36.053 69.4605 319.213
900000 -48.3315 62.6238 287.794
1000000 -54.7611 62.1483 285.609
1100000 -45.6322 68.0058 312.528
1200000 -51.737 62.9397 289.246
1300000 -43.7817 64.3247 295.611
1400000 -54.4578 61.8348 284.169
1500000 -45.6496 65.5575 301.277
1600000 -48.6914 61.1685 281.106
1700000 -47.816 63.6186 292.366
1800000 -45.9112 64.1125 294.636
1900000 -47.649 61.7854 283.942
2000000 -42.8311 65.2021 299.643
2100000 -47.3628 67.4555 309.999
2200000 -43.4331 63.7872 293.141
2300000 -50.8232 62.0953 285.366
2400000 -49.1109 61.6914 283.51
2500000 -42.1429 68.0496 312.729
2600000 -47.0776 67.8699 311.903
2700000 -50.6442 64.2399 295.221
2800000 -41.6918 66.1655 304.071
2900000 -43.668 67.7611 311.403
3000000 -52.158 63.4007 291.365
3100000 -51.9352 66.8597 307.261
3200000 -38.2292 67.6594 310.936
3300000 -49.4682 64.8708 298.121
3400000 -46.8002 61.9939 284.9
3500000 -39.4168 67.1951 308.802
3600000 -44.2171 66.1363 303.936
3700000 -52.7828 61.0756 280.679
3800000 -46.7598 62.935 289.224
3900000 -46.9125 66.1171 303.848
4000000 -49.2525 62.6871 288.085
4100000 -43.222 70.7042 324.929
4200000 -47.7618 67.9568 312.303
4300000 -41.3122 69.751 320.548
4400000 -48.3097 62.6605 287.963
4500000 -48.4472 67.0622 308.192
4600000 -51.6566 63.4049 291.384
4700000 -48.344 65.7252 302.047
4800000 -44.4465 64.1152 294.648
4900000 -40.3802 70.3227 323.175
5000000 -49.1342 63.0626 289.811
5100000 -44.615 65.6455 301.681
5200000 -52.1195 63.3456 291.111
5300000 -38.6548 65.9053 302.875
5400000 -34.3671 68.5036 314.816
5500000 -44.199 63.9382 293.835
5600000 -43.3173 67.8449 311.789
5700000 -36.9736 66.0429 303.507
5800000 -45.1306 67.6915 311.084
5900000 -47.9929 67.1563 308.624
6000000 -43.4972 67.9079 312.078
6100000 -47.3515 62.4891 287.175
6200000 -49.0669 65.1139 299.238
6300000 -39.5277 70.4796 323.896
6400000 -45.9955 64.495 296.393
6500000 -43.8906 64.9077 298.29
6600000 -40.8435 63.2411 290.631
6700000 -40.7776 61.6568 283.35
6800000 -40.4184 69.1993 318.013
6900000 -45.3048 65.922 302.951
7000000 -39.7121 63.247 290.659
7100000 -41.103 65.5034 301.028
7200000 -38.1928 65.7774 302.287
7300000 -46.1232 62.7982 288.596
7400000 -48.6971 66.2905 304.645
7500000 -57.7273 59.2136 272.122
7600000 -46.4923 61.3093 281.754
7700000 -39.5523 69.8069 320.805
7800000 -46.6888 64.6738 297.216
7900000 -37.7428 70.299 323.067
8000000 -42.737 67.6503 310.894
8100000 -50.0502 60.4232 277.681
8200000 -45.4395 62.1458 285.597
8300000 -46.2838 64.889 298.204
8400000 -50.3224 64.0836 294.503
8500000 -45.5742 65.8432 302.589
8600000 -45.9824 63.5485 292.044
8700000 -47.4137 65.8828 302.771
8800000 -46.8777 66.9583 307.714
8900000 -47.1074 63.1168 290.06
9000000 -41.0219 66.2112 304.281
9100000 -43.3081 68.4943 314.773
9200000 -46.4721 64.8317 297.941
9300000 -43.214 68.2809 313.792
9400000 -51.001 68.6399 315.442
9500000 -42.0913 67.5894 310.614
9600000 -45.7824 60.2015 276.662
9700000 -42.0998 63.0289 289.656
9800000 -45.6215 65.4501 300.783
9900000 -48.3844 63.5155 291.892
10000000 -53.6329 64.7591 297.607
