# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 39.9434 89.6123 300.631
200000 -7.11717 96.0355 322.179
300000 -2.1466 89.3488 299.747
400000 4.73486 86.6041 290.539
500000 -21.5378 89.8956 301.581
600000 -13.9906 89.1934 299.225
700000 -18.9064 91.4747 306.879
800000 -30.578 92.0582 308.836
900000 -31.3934 88.424 296.644
1000000 -20.1911 91.2414 306.096
1100000 -36.1334 83.5586 280.322
1200000 -39.0273 89.2937 299.562
1300000 -33.2481 94.2197 316.088
1400000 -27.1532 87.1801 292.471
1500000 -41.8328 89.2799 299.515
1600000 -48.93 88.2514 296.065
1700000 -47.3456 89.0687 298.807
1800000 -33.7559 85.4578 286.693
1900000 -25.8965 90.2774 302.862
2000000 -15.7581 89.069 298.808
2100000 -24.5445 89.9222 301.67
2200000 -28.8301 88.7861 297.859
2300000 -29.3864 88.3018 296.234
2400000 -11.5876 89.4535 300.098
2500000 -17.688 87.4529 293.386
2600000 -16.4188 96.2538 322.912
2700000 -27.4914 88.2915 296.2
2800000 -15.0421 91.6266 307.388
2900000 -23.7917 95.7615 321.26
3000000 -22.9506 89.1614 299.118
3100000 -32.2777 87.7588 294.412
3200000 -22.4895 88.7402 297.705
3300000 -21.4713 95.358 319.906
3400000 -27.9656 85.2679 286.056
3500000 -14.4898 88.6481 297.396
3600000 -35.5967 92.194 309.292
3700000 -40.731 84.8167 284.542
3800000 -26.465 89.8746 301.511
3900000 -31.4362 92.681 310.925
4000000 -37.5069 86.0864 288.802
4100000 -41.2608 90.4983 303.603
4200000 -34.0619 90.353 303.116
4300000 -27.0696 93.7225 314.42
4400000 -51.2184 85.7104 287.541
4500000 -37.5803 89.2631 299.459
4600000 -25.5845 91.2694 306.19
4700000 -28.215 95.2056 319.395
4800000 -46.0618 92.041 308.778
4900000 -46.0312 89.4927 300.229
5000000 -42.2541 88.7148 297.62
5100000 -31.0096 91.2028 305.967
5200000 -40.8993 89.7295 301.024
5300000 -49.2969 88.5662 297.121
5400000 -49.1159 84.7251 284.235
5500000 -41.6214 89.8161 301.315
5600000 -37.3824 88.9694 298.474
5700000 -37.4187 93.7195 314.41
5800000 -50.301 93.8835 314.96
5900000 -41.4427 92.9632 311.872
6000000 -43.7529 88.963 298.452
6100000 -46.4976 91.4006 306.63
6200000 -43.8719 91.9263 308.394
6300000 -47.3542 85.58 287.103
6400000 -28.3808 90.52 303.676
6500000 -34.3612 90.4695 303.507
6600000 -35.3946 91.4089 306.658
6700000 -42.1496 89.822 301.334
6800000 -48.9021 88.9671 298.466
6900000 -42.0123 91.9723 308.548
7000000 -43.3878 90.2576 302.795
7100000 -41.082 88.562 297.107
7200000 -43.2208 90.6424 304.086
7300000 -45.8241 92.924 311.741
7400000 -41.4334 90.0312 302.036
7500000 -49.514 92.2416 309.452
7600000 -39.7769 86.5693 290.422
7700000 -43.524 84.5006 283.482
7800000 -36.5883 89.8797 301.528
7900000 -34.5593 91.6694 307.532
8000000 -33.7175 92.23 309.412
8100000 -43.9194 84.6661 284.037
8200000 -26.7024 93.9128 315.058
8300000 -23.8295 87.3498 293.041
8400000 -41.3704 87.7769 294.473
8500000 -42.0772 89.635 300.707
8600000 -33.3414 89.402 299.925
8700000 -30.6051 90.0934 302.245
8800000 -36.6926 91.7414 307.773
