# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 57.9045 103.362 298.928
200000 4.68266 106.905 309.175
300000 -34.2943 107.426 310.684
400000 -39.1002 104.069 300.973
500000 -46.3712 102.854 297.461
600000 -46.4668 104.87 303.289
700000 -47.5741 106.133 306.943
800000 -38.047 100.254 289.94
900000 -57.0106 104.449 302.073
1000000 -53.2461 99.7308 288.428
1100000 -54.9482 100.665 291.13
1200000 -51.6092 98.6356 285.26
1300000 -47.7194 104.457 302.097
1400000 -50.4608 106.743 308.708
1500000 -56.7667 101.503 293.553
1600000 -47.2606 103.972 300.692
1700000 -55.4306 102.016 295.036
1800000 -53.7152 103.813 300.235
1900000 -46.1458 100.323 290.14
2000000 -53.8851 98.625 285.23
2100000 -47.8464 100.497 290.643
2200000 -47.6658 101.865 294.6
2300000 -43.6699 105.649 305.545
2400000 -47.733 105.789 305.949
2500000 -43.1833 106.763 308.764
2600000 -42.8154 107.12 309.799
2700000 -42.1774 109.166 315.715
2800000 -46.0354 101.83 294.499
2900000 -51.4594 102.87 297.507
3000000 -52.7886 100.615 290.984
3100000 -36.8028 99.2662 287.084
3200000 -28.7639 99.7818 288.575
3300000 -47.1066 101.564 293.73
3400000 -45.0683 102.955 297.752
3500000 -52.9091 106.515 308.048
3600000 -56.8806 98.9907 286.287
3700000 -42.1747 107.719 311.529
3800000 -49.861 105.007 303.686
3900000 -55.6842 100.521 290.712
4000000 -53.499 105.264 304.431
4100000 -54.8942 104.936 303.482
4200000 -57.1011 103.971 300.692
4300000 -59.7092 102.971 297.799
4400000 -59.4022 100.56 290.826
4500000 -52.8809 102.123 295.347
4600000 -43.9876 109.762 317.438
4700000 -51.327 107.09 309.712
4800000 -56.8901 102.569 296.635
4900000 -52.2397 108.864 314.84
5000000 -52.7643 105.79 305.952
5100000 -53.6389 108.564 313.974
5200000 -47.3594 101.255 292.837
5300000 -55.2411 106.536 308.109
5400000 -48.3971 102.814 297.345
5500000 -58.5668 102.357 296.023
5600000 -54.871 99.2378 287.002
5700000 -61.3643 102.106 295.297
5800000 -59.4856 107.326 310.394
5900000 -51.7367 105.747 305.826
6000000 -47.1164 102.359 296.029
6100000 -46.1647 103.452 299.188
6200000 -44.3912 108.959 315.115
6300000 -31.9951 105.012 303.701
6400000 -37.1437 101.852 294.563
6500000 -48.324 107.818 311.817
6600000 -42.8999 102.382 296.095
6700000 -44.8383 103.926 300.56
6800000 -52.9531 101.027 292.176
6900000 -61.1033 99.6634 288.233
7000000 -58.9404 107.014 309.492
7100000 -61.9008 100.144 289.624
7200000 -47.3213 107.342 310.44
