# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 24.1497 84.6018 301.938
200000 -0.972921 87.5111 312.321
300000 -12.0038 81.2957 290.138
400000 -21.3412 81.8787 292.219
500000 -20.6872 89.9811 321.136
600000 -12.7352 84.8786 302.926
700000 -18.2069 82.2403 293.51
800000 -13.3591 84.2727 300.763
900000 -27.1531 84.524 301.66
1000000 -26.1496 80.7425 288.164
1100000 -16.5605 85.9241 306.657
1200000 -23.0783 86.4117 308.397
1300000 -16.4363 78.3474 279.616
1400000 -27.8446 80.3358 286.713
1500000 -26.9111 86.7618 309.647
1600000 -19.3705 82.3285 293.825
1700000 -30.7785 90.4525 322.819
1800000 -27.6937 87.1667 311.092
1900000 -28.4891 85.4406 304.931
2000000 -30.9311 81.6754 291.494
2100000 -19.3585 86.261 307.859
2200000 -25.8115 85.7103 305.894
2300000 -25.7491 87.5251 312.371
2400000 -34.233 83.7078 298.747
2500000 -30.6157 84.3474 301.03
2600000 -23.9498 82.8377 295.642
2700000 -15.0787 86.3821 308.292
2800000 -18.0332 85.3433 304.584
2900000 -18.9682 86.3265 308.093
3000000 -25.3273 87.4031 311.935
3100000 -30.8882 81.8526 292.126
3200000 -26.2693 87.4886 312.24
3300000 -32.0396 89.6021 319.784
3400000 -35.3648 83.0753 296.49
3500000 -35.4786 86.9826 310.435
3600000 -13.7442 84.7156 302.344
3700000 -25.2765 88.2673 315.02
3800000 -26.559 84.2509 300.685
3900000 -23.4923 81.6613 291.443
4000000 -33.2064 86.1594 307.497
4100000 -32.9448 87.4005 311.926
4200000 -49.6049 87.2442 311.368
4300000 -37.0733 84.8794 302.929
4400000 -45.1074 80.4419 287.092
4500000 -42.2432 84.0393 299.93
4600000 -45.2553 84.5793 301.857
4700000 -45.4892 82.2688 293.612
4800000 -31.475 84.961 303.22
4900000 -28.3725 87.4716 312.18
5000000 -35.1543 84.8489 302.82
5100000 -26.1703 82.201 293.369
5200000 -30.0292 85.2008 304.076
5300000 -28.3085 84.7096 302.322
5400000 -33.2485 88.1342 314.545
5500000 -30.2462 88.1846 314.724
5600000 -35.6089 86.9408 310.285
5700000 -26.2961 84.8972 302.992
5800000 -21.2521 84.9861 303.309
5900000 -26.1649 82.6176 294.856
6000000 -31.0755 83.3394 297.432
6100000 -35.9456 82.4731 294.341
6200000 -32.2264 87.3205 311.641
6300000 -34.7936 77.9789 278.301
6400000 -31.1128 77.6393 277.089
6500000 -25.0555 84.4196 301.288
6600000 -28.872 85.6197 305.571
6700000 -34.1326 87.7691 313.242
6800000 -23.2284 80.5137 287.348
6900000 -34.2521 87.2748 311.477
7000000 -45.2803 83.4007 297.651
7100000 -40.2317 86.3634 308.225
7200000 -46.1823 83.4757 297.919
7300000 -33.0046 84.1756 300.417
7400000 -31.0094 86.3484 308.171
7500000 -35.605 81.3937 290.488
7600000 -37.2658 88.1677 314.664
7700000 -37.8016 81.8975 292.286
7800000 -47.1177 79.1785 282.583
7900000 -36.6062 84.9594 303.214
8000000 -29.0927 82.6352 294.919
8100000 -32.271 86.8099 309.818
8200000 -43.2133 79.8809 285.089
8300000 -43.5463 85.1265 303.81
8400000 -41.978 83.426 297.741
8500000 -29.3176 84.6261 302.024
8600000 -36.7051 81.3504 290.334
8700000 -32.7698 80.4292 287.046
8800000 -41.8103 88.8463 317.086
8900000 -41.3958 81.4892 290.829
9000000 -39.8858 86.3599 308.212
9100000 -27.1403 88.91 317.313
9200000 -44.4716 78.6332 280.636
9300000 -41.8455 81.988 292.609
9400000 -41.6712 86.5323 308.828
