# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 14.3808 43.4068 291.242
200000 -14.3813 49.0726 329.257
300000 -24.2116 42.4585 284.879
400000 -22.3253 42.9981 288.499
500000 -14.2765 46.5658 312.437
600000 -13.9267 42.9323 288.058
700000 -12.1605 45.9315 308.181
800000 -16.1478 44.6947 299.883
900000 -0.248371 48.3034 324.096
1000000 -6.36101 47.2437 316.985
1100000 -10.0774 44.167 296.342
1200000 -15.6869 43.1866 289.764
1300000 -15.5957 44.3097 297.3
1400000 -12.6472 44.9744 301.759
1500000 -7.92261 44.9934 301.887
1600000 -7.98552 46.3532 311.011
1700000 -10.2884 45.2578 303.661
1800000 -14.166 43.8279 294.067
1900000 -14.9459 44.1858 296.468
2000000 -18.6862 45.9775 308.49
2100000 -17.0095 46.1023 309.327
2200000 -19.7913 45.1202 302.738
2300000 -11.8121 44.8757 301.097
2400000 -16.7329 43.1972 289.836
2500000 -10.2806 45.4047 304.647
2600000 -8.0855 47.0355 315.589
2700000 -17.2805 39.9864 268.292
2800000 -16.7845 46.5459 312.304
2900000 -16.8394 44.2418 296.844
3000000 -3.56672 47.4519 318.383
3100000 -16.3192 46.0081 308.695
3200000 -8.34982 47.8439 321.013
3300000 -15.0473 44.8916 301.204
3400000 -16.1098 46.6417 312.947
3500000 -12.0345 47.5283 318.895
3600000 -14.2681 46.2352 310.219
3700000 -12.3868 45.0442 302.228
3800000 -23.5524 42.8118 287.25
3900000 -23.2673 46.0206 308.779
4000000 -11.6829 41.0484 275.418
4100000 -11.024 45.2146 303.371
4200000 -14.6625 47.7328 320.267
4300000 -13.6378 43.7184 293.332
4400000 -4.27465 48.3116 324.151
4500000 -9.73987 47.5181 318.826
4600000 -12.7939 46.4384 311.583
4700000 -15.2376 41.4713 278.255
4800000 -12.1343 40.0812 268.928
4900000 -15.3737 44.8731 301.08
5000000 -19.8059 46.4011 311.332
5100000 -10.9633 46.7702 313.809
5200000 -19.3591 46.4183 311.447
5300000 -15.2056 44.0125 295.306
5400000 -17.3382 45.1383 302.859
5500000 -10.9606 43.7095 293.273
5600000 -17.0652 45.7796 307.162
5700000 -17.0247 44.7818 300.467
5800000 -22.4153 45.1474 302.921
5900000 -15.7721 40.7901 273.685
6000000 -21.6677 43.7358 293.449
6100000 -15.1402 45.9548 308.338
6200000 -17.5199 46.4488 311.652
6300000 -7.22327 45.9331 308.192
6400000 -11.4972 48.1629 323.153
6500000 -22.3393 48.2541 323.765
6600000 -28.4004 46.7667 313.785
6700000 -28.1787 45.7901 307.232
6800000 -25.4543 42.5493 285.488
6900000 -33.5777 41.0865 275.674
7000000 -24.8224 46.7364 313.582
7100000 -28.2482 45.7919 307.245
7200000 -22.3141 48.2797 323.937
7300000 -19.2495 42.6486 286.154
7400000 -20.4876 46.4718 311.806
7500000 -22.0157 43.1588 289.578
7600000 -30.3586 45.3683 304.402
7700000 -26.9034 45.2901 303.878
7800000 -25.1914 42.7123 286.582
7900000 -33.3586 45.4198 304.748
8000000 -27.0697 42.4647 284.921
8100000 -18.8917 49.4074 331.503
8200000 -25.9062 44.1003 295.895
8300000 -23.2009 46.192 309.929
8400000 -30.7814 44.0816 295.769
8500000 -23.7995 43.4968 291.845
8600000 -23.5168 44.1616 296.306
8700000 -22.4632 47.9017 321.401
8800000 -28.1147 45.7167 306.74
8900000 -22.8738 48.6223 326.235
9000000 -28.9744 46.7454 313.643
9100000 -28.0895 42.9932 288.467
9200000 -34.2238 44.9971 301.912
9300000 -27.0563 46.727 313.519
9400000 -20.1915 46.5685 312.455
9500000 -26.7748 46.3083 310.709
9600000 -18.4074 47.0909 315.961
9700000 -29.2731 46.8013 314.017
9800000 -25.6821 43.4766 291.71
9900000 -29.4857 44.1502 296.229
10000000 -29.2394 43.6681 292.995
