# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 42.7268 117.641 301.269
200000 -0.069292 115.305 295.286
300000 -23.0124 114.473 293.156
400000 -37.306 114.894 294.234
500000 -27.5964 120.576 308.783
600000 -50.9877 117.514 300.943
700000 -56.3186 114.889 294.22
800000 -44.5233 118.603 303.733
900000 -44.466 115.954 296.949
1000000 -52.5541 109.545 280.534
1100000 -55.2772 117.648 301.286
1200000 -37.4049 120.801 309.36
1300000 -55.8114 116.139 297.421
1400000 -59.3317 116.332 297.917
1500000 -66.1999 112.382 287.801
1600000 -48.3796 123.839 317.14
1700000 -61.6596 119.104 305.015
1800000 -61.5305 115.637 296.137
1900000 -62.7405 117.014 299.663
2000000 -48.7108 117.76 301.573
2100000 -71.6078 120.046 307.427
2200000 -67.1757 109.227 279.721
2300000 -61.5294 120.447 308.454
2400000 -53.7667 118.626 303.79
2500000 -56.694 115.208 295.037
2600000 -47.8827 122.162 312.846
2700000 -55.7215 120.46 308.487
2800000 -62.1137 119.889 307.024
2900000 -51.9507 116.96 299.525
3000000 -58.8687 117.278 300.339
3100000 -63.4554 112.425 287.909
3200000 -60.4167 110.09 281.93
3300000 -62.5987 117.422 300.707
3400000 -57.325 116.234 297.665
3500000 -47.5073 118.274 302.889
3600000 -74.7834 118.076 302.382
3700000 -51.3071 120.506 308.605
3800000 -67.3851 117.077 299.825
3900000 -64.9798 111.924 286.628
4000000 -76.4032 113.146 289.757
4100000 -82.5583 119.018 304.794
4200000 -57.8153 116.828 299.187
4300000 -61.1948 117.065 299.792
4400000 -55.122 120.216 307.861
4500000 -55.1691 119.005 304.761
4600000 -65.3414 113.728 291.247
4700000 -76.5117 117.104 299.893
4800000 -60.0381 114.363 292.873
4900000 -61.2042 115.929 296.883
5000000 -44.6728 118.889 304.464
5100000 -61.5228 116.626 298.67
5200000 -59.9123 116.281 297.786
5300000 -63.21 116.853 299.251
5400000 -71.387 114.687 293.704
5500000 -81.0953 111.849 286.437
5600000 -64.0908 117.483 300.864
