# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 16.7796 54.285 303.525
200000 -2.67318 53.3387 298.234
300000 9.78657 57.7116 322.684
400000 -6.91199 56.5981 316.458
500000 -20.2803 55.6388 311.094
600000 -20.4134 50.3915 281.755
700000 -23.0863 50.8572 284.359
800000 -23.4988 53.1994 297.455
900000 -28.2153 48.2349 269.697
1000000 -29.3505 51.947 290.452
1100000 -29.3809 53.3193 298.125
1200000 -17.8447 53.1654 297.265
1300000 -13.7541 59.2825 331.468
1400000 -13.3155 53.8128 300.884
1500000 -17.5261 53.9066 301.409
1600000 -21.4703 51.662 288.859
1700000 -24.9903 55.4296 309.925
1800000 -22.758 53.6305 299.865
1900000 -26.6113 52.3049 292.454
2000000 -25.176 50.9634 284.953
2100000 -20.3351 51.6461 288.77
2200000 -25.1344 51.2121 286.343
2300000 -30.2792 54.197 303.033
2400000 -27.6094 54.4707 304.563
2500000 -16.8608 57.1233 319.395
2600000 -25.0042 54.7096 305.899
2700000 -16.9746 56.2737 314.644
2800000 -22.1749 54.9629 307.315
2900000 -19.0853 53.4631 298.929
3000000 -19.1016 55.6456 311.133
3100000 -10.2063 56.2666 314.604
3200000 -32.0862 49.7387 278.105
3300000 -21.7424 54.2174 303.147
3400000 -32.9664 53.4598 298.911
3500000 -32.996 53.5507 299.419
3600000 -28.0726 52.9483 296.051
3700000 -24.9386 58.3993 326.529
3800000 -21.8295 54.0482 302.201
3900000 -21.0713 51.069 285.543
4000000 -23.12 57.0726 319.111
4100000 -32.6649 51.5694 288.341
4200000 -25.8546 56.4431 315.591
4300000 -28.8634 55.3673 309.577
4400000 -20.541 58.4625 326.883
4500000 -19.8526 49.7208 278.005
4600000 -14.3964 55.7795 311.881
4700000 -21.8448 53.1613 297.242
4800000 -20.5947 55.2228 308.769
4900000 -25.5138 54.0613 302.274
5000000 -22.8039 53.4868 299.062
5100000 -25.2092 53.6659 300.063
5200000 -25.0082 55.0875 308.012
5300000 -27.0491 53.829 300.975
5400000 -33.0527 53.4162 298.667
5500000 -24.6436 54.191 303
5600000 -17.8601 58.517 327.187
5700000 -26.944 52.8188 295.327
5800000 -19.3971 53.9955 301.906
5900000 -15.5445 54.1439 302.736
6000000 -13.0886 57.7148 322.702
6100000 -12.0163 53.841 301.042
6200000 -18.5567 54.3615 303.952
6300000 -18.426 54.4719 304.57
6400000 -27.1742 56.3561 315.105
6500000 -26.1753 49.3061 275.686
6600000 -18.4836 55.0633 307.877
6700000 -24.0582 52.3108 292.486
6800000 -24.6653 53.0695 296.728
6900000 -21.6713 54.1743 302.906
7000000 -30.5797 51.4521 287.685
7100000 -23.8198 50.0066 279.603
7200000 -25.2327 54.359 303.938
7300000 -18.5443 51.3653 287.2
7400000 -16.9976 55.9303 312.724
7500000 -15.0657 56.6514 316.756
7600000 -27.0361 52.9647 296.143
7700000 -26.2222 55.2752 309.061
7800000 -25.2975 56.1042 313.697
7900000 -14.8531 56.2663 314.603
8000000 -15.6558 53.747 300.517
8100000 -16.32 52.4647 293.347
8200000 -22.7895 52.6079 294.148
8300000 -23.9407 54.7354 306.043
8400000 -31.152 47.9795 268.269
8500000 -24.7496 52.6455 294.358
8600000 -29.4375 49.8049 278.475
8700000 -17.4354 50.2925 281.202
8800000 -21.2871 50.7983 284.029
8900000 -27.9582 53.5279 299.292
9000000 -18.2978 55.2675 309.018
9100000 -25.4613 54.4864 304.651
9200000 -17.5094 55.3752 309.62
9300000 -26.4275 58.9369 329.535
9400000 -25.0193 52.4306 293.156
9500000 -31.5825 54.987 307.45
9600000 -31.3194 49.9043 279.031
9700000 -26.6792 51.5703 288.346
9800000 -29.0761 54.5002 304.728
9900000 -23.3218 56.6176 316.567
10000000 -27.6693 52.2364 292.07
