# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 79.3782 148.288 310.922
200000 33.3746 142.934 299.697
300000 -48.8534 145.181 304.407
400000 -73.3053 144.627 303.245
500000 -70.9408 144.292 302.544
600000 -90.5976 149.144 312.718
700000 -106.763 149.294 313.031
800000 -111.793 142.247 298.256
900000 -96.4451 141.746 297.205
1000000 -96.1921 141.567 296.83
1100000 -101.291 140.73 295.074
1200000 -107.7 150.169 314.866
1300000 -107.938 143.005 299.845
1400000 -103.442 143.008 299.851
1500000 -102.877 140.692 294.995
1600000 -93.8896 146.925 308.065
1700000 -97.6493 143.59 301.073
1800000 -102.931 145.82 305.747
1900000 -77.1961 143.872 301.663
2000000 -82.9786 145.725 305.548
2100000 -73.7149 148.959 312.328
2200000 -96.4246 143.26 300.38
2300000 -101.615 144.192 302.334
2400000 -119.521 142.068 297.88
2500000 -115.842 142.377 298.529
2600000 -107.763 137.094 287.451
2700000 -114.16 140.385 294.352
2800000 -122.507 146.324 306.805
2900000 -127.221 136.093 285.353
3000000 -124.192 143.599 301.091
3100000 -105.953 141.938 297.609
3200000 -106.564 142.15 298.053
3300000 -116.572 144.055 302.046
3400000 -106.143 146.566 307.313
3500000 -122.315 138.352 290.088
3600000 -118.393 144.223 302.4
3700000 -121.713 148.877 312.157
3800000 -100.409 151.261 317.156
3900000 -103.866 142.787 299.388
4000000 -117.1 138.043 289.44
4100000 -108.367 144.299 302.559
4200000 -107.605 144.267 302.49
4300000 -106.855 141.724 297.158
4400000 -107.875 142.837 299.494
4500000 -101.674 142.087 297.92
4600000 -102.42 133.973 280.908
4700000 -116.701 141.828 297.377
4800000 -114.095 142.904 299.633
4900000 -124.013 139.577 292.657
5000000 -104.797 144.335 302.635
5100000 -123.202 140.044 293.637
5200000 -115.543 149.98 314.471
5300000 -126.927 140.334 294.245
5400000 -131.884 143.805 301.523
5500000 -117.424 141.564 296.823
5600000 -111.508 142.138 298.027
5700000 -123.293 146.907 308.027
5800000 -117.487 147.173 308.585
5900000 -135.67 142.484 298.752
6000000 -125.273 144.582 303.151
6100000 -134.741 138.821 291.071
6200000 -121.653 140.275 294.12
6300000 -120.689 137.479 288.258
6400000 -130.441 142.246 298.254
6500000 -113.374 145.771 305.646
6600000 -135.833 142.56 298.911
6700000 -125.574 145.846 305.803
6800000 -120.73 146.546 307.27
6900000 -125.531 139.17 291.804
7000000 -130.624 141.62 296.94
7100000 -128.065 136.658 286.538
7200000 -125.876 138.523 290.447
7300000 -109.294 140.013 293.571
7400000 -121.585 149.093 312.611
7500000 -138.579 140.438 294.463
7600000 -145.993 141.19 296.04
7700000 -135.318 139.232 291.934
7800000 -128.408 141.984 297.705
7900000 -129.592 139.605 292.717
8000000 -104.654 143.405 300.684
8100000 -108.383 138.909 291.256
8200000 -106.796 139.822 293.171
8300000 -110.605 141.152 295.959
8400000 -103.204 140.696 295.004
8500000 -123.336 147.851 310.007
8600000 -116.796 142.158 298.069
8700000 -112.768 149.915 314.334
8800000 -125.769 143.108 300.06
8900000 -116.102 144.599 303.186
9000000 -117.838 143.843 301.601
9100000 -114.844 147.146 308.528
9200000 -125.52 145.477 305.028
9300000 -132.851 138.926 291.292
9400000 -118.568 142.09 297.926
9500000 -131.214 146.964 308.146
9600000 -131.919 142.873 299.569
9700000 -107.448 146.686 307.563
9800000 -131.999 139.314 292.105
9900000 -133.041 143.584 301.059
10000000 -129.676 141.47 296.627
10100000 -125.962 144.434 302.841
10200000 -126.628 145.985 306.093
10300000 -114.721 142.429 298.637
10400000 -111.405 148.709 311.805
10500000 -115.67 147.078 308.385
10600000 -128.232 140.766 295.15
10700000 -115.893 146.373 306.907
10800000 -120.797 142.286 298.338
10900000 -137.836 144.473 302.923
11000000 -133.033 142.37 298.515
11100000 -115.319 143.493 300.868
11200000 -104.819 141.686 297.08
11300000 -125.182 137.184 287.64
11400000 -108.865 147.044 308.315
11500000 -113.204 144.038 302.01
11600000 -123.065 141.58 296.858
11700000 -127.985 144.713 303.426
11800000 -125.689 145.19 304.426
11900000 -129.788 138.064 289.486
12000000 -126.63 142.086 297.917
12100000 -122.665 143.112 300.069
12200000 -101.558 151.693 318.061
12300000 -116.833 142.142 298.036
12400000 -108.718 145.228 304.506
12500000 -106.187 148.436 311.232
12600000 -112.777 147.105 308.442
12700000 -121.263 147.542 309.358
12800000 -116.099 146.858 307.924
12900000 -121.89 139.424 292.336
13000000 -109.477 145.583 305.251
13100000 -136.707 142.858 299.536
13200000 -126.304 143.721 301.345
13300000 -126.684 139.16 291.784
13400000 -117.158 138.661 290.736
13500000 -126.842 131.295 275.292
13600000 -120.168 144.022 301.977
13700000 -120.391 141.041 295.728
13800000 -127.67 142.723 299.253
13900000 -103.554 149.335 313.118
14000000 -110.669 143.601 301.094
14100000 -114.018 142.85 299.521
14200000 -112.253 141.55 296.795
14300000 -116.882 140.381 294.343
14400000 -119.339 142.42 298.619
14500000 -124.459 137.113 287.49
14600000 -109.898 151.093 316.804
14700000 -114.853 148.403 311.163
14800000 -109.765 149.21 312.855
14900000 -103.632 146.693 307.577
15000000 -147.746 140.975 295.589
15100000 -124.917 140.164 293.888
15200000 -103.166 151.45 317.552
15300000 -126.416 142.721 299.249
15400000 -110.467 141.823 297.367
15500000 -118.712 143.691 301.284
15600000 -132 138.224 289.82
15700000 -128.669 141.498 296.684
15800000 -129.934 138.676 290.768
15900000 -125.24 138.613 290.635
16000000 -109.968 143.626 301.146
16100000 -118.652 142.83 299.478
16200000 -128.671 143.084 300.011
16300000 -122.832 147.879 310.065
16400000 -133.921 139.518 292.533
16500000 -141.963 140.641 294.888
16600000 -121.561 141.393 296.464
16700000 -115.95 144.284 302.526
16800000 -116.053 137.579 288.469
16900000 -111.077 146.431 307.03
17000000 -121.426 144.85 303.713
17100000 -108.928 144.469 302.915
17200000 -131.822 137.482 288.266
17300000 -133.758 140.009 293.563
17400000 -130.015 140.375 294.33
17500000 -126.108 150.193 314.917
17600000 -133.769 136.801 286.837
17700000 -136.371 132.855 278.564
17800000 -139.371 137.928 289.2
17900000 -127.705 142.86 299.541
18000000 -118.523 141.344 296.362
18100000 -129.351 137.656 288.629
18200000 -122.014 140.8 295.221
18300000 -121.177 143.058 299.956
18400000 -123.775 145.758 305.617
18500000 -107.15 151.269 317.173
18600000 -125.839 138.981 291.408
18700000 -122.373 143.787 301.485
18800000 -125.354 141.394 296.468
18900000 -145.699 141.093 295.835
19000000 -120.893 147.138 308.51
19100000 -126.101 140.385 294.351
19200000 -117.331 142.956 299.743
19300000 -130.07 135.356 283.807
19400000 -128.046 137.961 289.268
19500000 -124.831 139.963 293.467
19600000 -128.902 142.467 298.718
19700000 -135.083 139.901 293.337
