# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 23.9555 66.5565 305.868
200000 6.19408 64.1646 294.875
300000 -13.2658 68.5671 315.107
400000 -11.5801 66.9031 307.46
500000 -27.5349 64.3161 295.572
600000 -19.4338 67.1696 308.685
700000 -18.9998 69.344 318.678
800000 -34.6682 65.9879 303.254
900000 -34.0651 65.4963 300.995
1000000 -45.4722 66.136 303.935
1100000 -49.1217 64.2001 295.038
1200000 -45.4038 65.9647 303.148
1300000 -56.4846 64.4905 296.373
1400000 -38.6518 70.4777 323.888
1500000 -30.202 65.388 300.498
1600000 -43.7889 67.1835 308.749
1700000 -48.5688 64.8734 298.133
1800000 -47.7408 68.9236 316.746
1900000 -41.3851 64.3232 295.604
2000000 -43.3303 67.8765 311.934
2100000 -33.975 70.6949 324.886
2200000 -42.6451 63.9855 294.052
2300000 -47.402 63.7053 292.765
2400000 -48.7824 64.6284 297.007
2500000 -42.5027 69.8154 320.844
2600000 -53.8925 64.0482 294.34
2700000 -49.9513 66.2939 304.66
2800000 -46.3748 70.9482 326.05
2900000 -49.9719 62.6247 287.798
3000000 -53.7244 64.3497 295.726
3100000 -52.1329 66.1011 303.775
3200000 -50.0747 67.6734 311
3300000 -51.0707 67.4781 310.103
3400000 -61.697 59.5738 273.778
3500000 -47.6308 64.9954 298.693
3600000 -50.5621 64.3472 295.715
3700000 -49.9125 63.6053 292.305
3800000 -52.2813 65.2175 299.714
3900000 -52.4081 65.1534 299.419
4000000 -50.5596 67.757 311.385
4100000 -55.7632 63.3283 291.032
4200000 -48.9778 66.3441 304.891
4300000 -50.9878 63.6865 292.678
4400000 -34.408 66.5803 305.977
4500000 -42.7053 69.0174 317.177
4600000 -44.6535 69.1601 317.833
4700000 -43.9832 70.2061 322.639
4800000 -43.3712 73.71 338.742
4900000 -38.7522 71.5802 328.954
5000000 -36.5939 68.5026 314.811
5100000 -35.0304 75.7002 347.888
5200000 -32.2238 74.4459 342.124
5300000 -36.5721 72.8263 334.681
5400000 -20.8247 73.8523 339.396
5500000 -24.9099 73.7115 338.749
5600000 -22.4679 75.5138 347.032
5700000 -25.7602 77.9789 358.36
5800000 -21.492 75.6559 347.685
5900000 -29.0206 74.7147 343.36
6000000 -13.7735 74.5238 342.482
6100000 -5.29675 80.2106 368.616
6200000 -14.5539 78.3251 359.952
6300000 -7.82421 76.7941 352.915
6400000 -21.2375 79.9898 367.602
6500000 -13.8254 78.2685 359.691
6600000 -4.95345 83.5183 383.817
6700000 -19.3133 80.8707 371.65
6800000 -14.4763 82.6117 379.651
6900000 -7.42405 84.9332 390.32
7000000 -10.2523 85.3716 392.334
7100000 -6.54663 84.9484 390.389
7200000 -3.91409 78.8584 362.402
7300000 -9.97592 85.8853 394.695
7400000 -2.51161 83.719 384.74
7500000 -3.07364 82.1579 377.566
7600000 19.0587 87.1143 400.343
7700000 19.8862 88.6351 407.332
7800000 30.8586 85.3377 392.179
7900000 39.388 89.6232 411.873
8000000 50.0133 88.4962 406.694
8100000 41.585 88.1604 405.15
8200000 38.3561 86.8838 399.284
8300000 41.989 86.5903 397.935
8400000 37.4086 90.9333 417.894
8500000 23.6627 94.8854 436.056
8600000 17.2902 92.8151 426.542
8700000 15.5063 95.075 436.927
8800000 45.2523 91.2043 419.139
8900000 42.5604 95.0362 436.749
9000000 37.0892 95.4757 438.769
9100000 45.1609 91.2662 419.423
9200000 42.956 91.695 421.394
9300000 59.4815 93.3356 428.934
9400000 58.9934 91.4827 420.419
9500000 48.7846 102.228 469.797
9600000 60.3298 93.7758 430.956
9700000 57.9078 94.6729 435.079
9800000 50.8867 97.9865 450.307
9900000 61.2023 102.649 471.735
10000000 59.9572 99.9312 459.244
10100000 43.1713 99.8648 458.939
10200000 34.8002 97.3676 447.463
10300000 44.6221 97.1223 446.336
10400000 57.2751 101.743 467.572
10500000 61.9438 104.943 482.275
10600000 56.4915 102.063 469.042
10700000 66.8644 100.007 459.591
10800000 64.9363 108.963 500.751
10900000 62.2122 100.07 459.882
11000000 60.4996 103.773 476.901
11100000 63.1004 103.753 476.81
11200000 61.0645 109.279 502.203
11300000 66.4233 104.045 478.15
11400000 61.9525 106.95 491.499
11500000 66.4323 103.492 475.608
11600000 66.7416 107.242 492.844
11700000 65.2815 111.021 510.21
11800000 71.772 116.633 536
11900000 73.2585 107.847 495.621
12000000 70.7268 102.597 471.494
12100000 72.3323 113.96 523.717
12200000 70.6366 101.533 466.606
