# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 73.4889 141.999 297.736
200000 19.5621 149.882 314.265
300000 -35.3393 142.059 297.862
400000 -78.1283 147.269 308.786
500000 -96.0958 135.237 283.558
600000 -89.0458 150.947 316.497
700000 -102.771 146.695 307.583
800000 -119.779 143.826 301.566
900000 -112.947 141.907 297.542
1000000 -101.074 142.612 299.02
1100000 -103.803 145.283 304.621
1200000 -119.262 137.622 288.558
1300000 -98.5804 140.482 294.556
1400000 -97.9276 146.18 306.503
1500000 -102.286 142.448 298.678
1600000 -100.548 138.383 290.155
1700000 -113.162 138.062 289.482
1800000 -98.6852 146.472 307.115
1900000 -99.9269 137.897 289.134
2000000 -109.142 139.751 293.022
2100000 -115.194 138.932 291.306
2200000 -127.732 143.366 300.603
2300000 -131.209 145.084 304.204
2400000 -117.864 146.237 306.623
2500000 -126.608 142.81 299.437
2600000 -113.273 142.746 299.302
2700000 -120.358 145.993 306.11
2800000 -121.131 145.697 305.49
2900000 -120.428 139.692 292.898
3000000 -113.479 140.842 295.311
3100000 -121.24 149.92 314.345
3200000 -120.707 144.374 302.715
3300000 -126.566 140.298 294.169
3400000 -121.195 152.476 319.703
3500000 -129.344 143.147 300.144
3600000 -115.827 137.089 287.441
3700000 -105.782 145.236 304.523
3800000 -117.075 141.211 296.084
3900000 -110.089 145.985 306.093
4000000 -115.625 139.121 291.701
4100000 -122.927 145.805 305.715
4200000 -108.984 151.102 316.822
4300000 -133.049 146.174 306.49
4400000 -113.335 147.034 308.293
4500000 -112.491 141.166 295.99
4600000 -108.317 146.508 307.189
4700000 -104.284 155.844 326.765
4800000 -93.7622 151.549 317.76
4900000 -92.8637 152.369 319.479
5000000 -105.893 155.794 326.661
5100000 -107.2 157.62 330.489
5200000 -103.222 161.582 338.797
5300000 -99.4095 156.447 328.03
5400000 -86.0258 158.674 332.7
5500000 -66.7326 160.813 337.185
5600000 -80.0321 159.02 333.425
5700000 -87.9469 162.759 341.264
5800000 -83.5996 161.611 338.857
5900000 -68.8792 155.416 325.868
6000000 -55.1357 160.329 336.168
6100000 -46.5359 167.058 350.277
6200000 -58.5405 171.019 358.583
6300000 -49.7961 165.786 347.611
6400000 -50.7554 170.852 358.233
6500000 -52.7996 172.909 362.545
6600000 -19.9209 179.095 375.517
6700000 -45.2117 171.629 359.862
6800000 -0.0452643 183.897 385.586
6900000 -2.11281 182.655 382.981
7000000 -13.0188 183.839 385.464
7100000 -12.5878 178.972 375.26
7200000 -25.7535 181.373 380.293
7300000 -18.0995 172.309 361.287
7400000 -2.71671 176.269 369.591
7500000 -19.5744 180.384 378.22
7600000 -9.12854 182.021 381.652
7700000 8.31635 187.405 392.94
7800000 23.3067 191.231 400.962
7900000 20.4637 181.125 379.772
8000000 29.7468 186.62 391.295
8100000 45.5352 198.378 415.948
8200000 40.4325 191.38 401.276
8300000 50.5144 200.595 420.597
8400000 57.1942 194.437 407.685
8500000 62.9365 195.062 408.996
8600000 55.0598 202.1 423.751
8700000 71.2355 203.123 425.897
8800000 88.1386 201.202 421.869
8900000 117.368 207.173 434.39
9000000 108.058 207.091 434.217
9100000 103.568 211.187 442.805
9200000 90.8952 205.721 431.344
9300000 96.654 208.188 436.517
9400000 96.7879 208.506 437.184
9500000 114.405 204.492 428.769
9600000 103.506 212.932 446.464
9700000 84.4528 208.195 436.533
9800000 78.1992 217.359 455.746
9900000 86.0656 212.339 445.22
10000000 105.6 215.387 451.611
10100000 121.125 217.602 456.256
10200000 119.37 224.897 471.553
10300000 104.774 222.748 467.047
10400000 113.285 222.697 466.94
10500000 110.223 213.714 448.104
10600000 117.668 212.195 444.918
10700000 138.292 216.101 453.11
10800000 134.588 228.258 478.598
10900000 113.232 224.284 470.265
11000000 143.753 219.423 460.075
11100000 141.66 231.943 486.326
11200000 131.572 229.429 481.055
11300000 138.712 220.347 462.012
11400000 148.654 238.826 500.757
11500000 140.076 240.11 503.449
11600000 152.792 234.607 491.911
11700000 155.759 238.731 500.558
11800000 150.416 235.297 493.357
11900000 149.397 234.651 492.004
12000000 142.892 237.856 498.723
12100000 142.576 247.252 518.424
12200000 155.607 254.728 534.099
12300000 136.707 237.523 498.026
12400000 150.796 238.323 499.702
12500000 149.674 240.387 504.031
12600000 141.134 236.674 496.244
12700000 145.344 243.499 510.556
12800000 149.537 236.401 495.672
12900000 139.985 241.147 505.624
13000000 141.365 237.254 497.462
13100000 144.143 245.467 514.682
13200000 147.524 237.013 496.955
13300000 151.495 246.656 517.174
13400000 150.204 247.271 518.464
13500000 150.087 240.866 505.035
13600000 145.452 240.049 503.321
13700000 135.461 244.942 513.581
13800000 146.566 232.987 488.514
13900000 150.33 235.561 493.912
14000000 161.775 246.606 517.07
14100000 149.737 239.038 501.202
14200000 143.105 241.374 506.099
14300000 139.462 235.396 493.565
14400000 152.045 248.112 520.227
14500000 137.135 237.111 497.161
14600000 143.047 237.394 497.754
14700000 145.943 238.96 501.039
14800000 160.925 246.133 516.079
14900000 149.134 229.478 481.157
15000000 150.448 241.487 506.338
15100000 144.1 231.383 485.152
15200000 156.215 244.505 512.664
15300000 153.608 248.08 520.16
15400000 154.149 246.249 516.321
15500000 148.312 231.291 484.959
15600000 150.045 235.225 493.208
15700000 159.491 249.718 523.595
15800000 155.734 240.038 503.3
15900000 158.906 246.348 516.529
16000000 157.315 237.377 497.719
16100000 152.096 233.451 489.488
16200000 145.787 242.59 508.65
16300000 151.477 231.198 484.763
16400000 148.377 242.129 507.683
16500000 158.652 244.118 511.854
16600000 148.564 245.749 515.272
16700000 144.82 243.958 511.518
16800000 147.754 239.906 503.022
16900000 141.82 229.534 481.274
17000000 148.474 239.244 501.634
17100000 135.871 236.429 495.731
17200000 154.251 237.775 498.553
17300000 150.183 236.945 496.814
17400000 158.036 234.692 492.09
17500000 143.667 230.911 484.162
17600000 144.477 232.908 488.348
17700000 146.216 242.261 507.96
17800000 139.901 241.233 505.804
17900000 138.286 240.536 504.343
18000000 144.12 246.268 516.361
18100000 157.567 245.576 514.91
18200000 158.552 244.454 512.559
18300000 135.902 232.422 487.33
18400000 138.289 243.265 510.065
18500000 154.599 238.972 501.063
18600000 144.271 235.495 493.773
18700000 151.387 240.335 503.922
18800000 141.248 232.926 488.386
18900000 159.401 244.129 511.876
19000000 147.398 245.146 514.009
19100000 155.198 246.845 517.571
19200000 142.671 243.568 510.701
19300000 149.366 240.639 504.558
19400000 161.09 242.794 509.078
19500000 151.652 246.853 517.587
19600000 127.507 232.209 486.884
19700000 148.55 234.978 492.689
19800000 147.513 231.223 484.816
19900000 142.483 233.794 490.206
20000000 153.366 240.682 504.649
20100000 141.167 250.993 526.267
20200000 143.752 236.026 494.885
20300000 152.197 241.867 507.133
20400000 148.851 238.899 500.911
20500000 152.703 238.158 499.357
20600000 143.031 235.947 494.72
20700000 138.607 230.902 484.143
20800000 149.621 235.058 492.857
20900000 140.285 237.148 497.239
21000000 148.037 234.797 492.31
21100000 141.536 236.604 496.098
21200000 147.169 229.771 481.772
21300000 146.985 237.693 498.382
21400000 149.649 248.816 521.703
21500000 134.07 233.321 489.214
21600000 134.749 233.189 488.938
21700000 147.224 237.082 497.1
21800000 125.501 222.341 466.193
21900000 127.864 221.368 464.153
22000000 136.714 227.834 477.71
22100000 141.401 224.695 471.128
22200000 147.872 222.659 466.859
22300000 146.302 236.031 494.898
22400000 135.524 217.586 456.223
22500000 137.857 227.005 475.972
22600000 136.12 228.809 479.754
22700000 150.636 233.937 490.507
22800000 140.756 225.716 473.269
22900000 127.922 220.104 461.503
23000000 142.75 233.146 488.847
23100000 132.646 226.186 474.255
23200000 135.76 221.138 463.67
23300000 133.654 217.93 456.943
23400000 126.47 209.85 440.002
23500000 134.26 233.036 488.617
23600000 138.854 224.009 469.689
23700000 147.55 223.156 467.902
23800000 137.425 216.251 453.423
23900000 113.686 219.867 461.005
24000000 119.064 211.647 443.771
24100000 110.251 220.2 461.704
24200000 119.046 201.001 421.449
24300000 115.439 211.006 442.427
24400000 132.064 212.83 446.251
24500000 122.982 207.036 434.101
24600000 120.565 219.785 460.834
24700000 104.269 212.713 446.005
24800000 100.027 213.68 448.033
24900000 93.6692 210.632 441.641
25000000 93.0156 209.303 438.856
25100000 81.0292 214.96 450.716
25200000 71.9911 213.647 447.962
25300000 62.4494 206.973 433.969
25400000 61.9019 206.053 432.041
25500000 96.4468 209.5 439.269
25600000 125.065 205.22 430.294
25700000 117.586 201.631 422.769
25800000 92.5399 208.216 436.575
25900000 77.8622 209.889 440.084
26000000 76.372 201.222 421.91
26100000 90.2261 204.09 427.926
26200000 75.6968 199.628 418.568
26300000 45.8445 198.717 416.658
26400000 35.5727 192.886 404.433
26500000 54.2992 202.139 423.834
26600000 72.9138 203.895 427.516
26700000 82.8815 198.439 416.077
26800000 107.107 203.329 426.329
26900000 75.0916 197.211 413.502
27000000 61.9077 197.244 413.571
27100000 71.3053 191.876 402.315
27200000 63.9556 193.934 406.631
27300000 70.3275 194.867 408.586
27400000 66.9818 194.671 408.176
27500000 60.5608 203.333 426.338
27600000 59.7802 193.483 405.686
27700000 42.7057 196.684 412.397
27800000 34.1728 195.847 410.642
27900000 39.9581 195.748 410.434
28000000 23.7607 188.346 394.914
28100000 22.7947 189.19 396.684
28200000 24.9973 196.425 411.854
28300000 46.4097 192.115 402.817
28400000 48.6825 195.241 409.371
28500000 29.5385 194.382 407.57
28600000 24.1671 191.393 401.302
28700000 33.0162 183.681 385.133
28800000 27.3362 189.083 396.459
28900000 32.8008 191.923 402.414
29000000 54.5089 193.114 404.91
29100000 45.6305 188.896 396.067
29200000 45.5739 184.773 387.422
29300000 44.0019 180.861 379.22
29400000 42.2151 183.612 384.988
29500000 45.5212 182.132 381.885
29600000 34.2521 187.326 392.774
29700000 28.8067 187.304 392.728
29800000 24.5579 176.406 369.879
29900000 22.6714 181.184 379.898
30000000 46.1647 182.595 382.856
30100000 38.2944 182.874 383.44
30200000 19.994 180.164 377.758
30300000 -1.85557 176.407 369.88
30400000 17.9957 179.321 375.991
30500000 37.5032 172.585 361.866
30600000 35.5688 180.702 378.886
30700000 15.7683 178.149 373.533
30800000 2.28951 178.207 373.654
30900000 10.0665 176.274 369.602
31000000 3.88553 172.171 360.998
31100000 -12.0283 174.296 365.454
31200000 -14.296 174.633 366.161
31300000 -13.4343 179.517 376.402
31400000 -24.0921 169.392 355.172
31500000 -6.02917 167.769 351.768
31600000 -5.96879 163.237 342.266
31700000 -8.33546 171.021 358.587
31800000 2.08766 168.792 353.914
31900000 6.23493 169.706 355.831
32000000 -1.34565 166.843 349.827
32100000 -1.64085 165.596 347.212
32200000 -22.1324 167.226 350.631
32300000 -18.4258 161.243 338.085
32400000 -35.8398 162.5 340.722
32500000 -26.2802 166.095 348.259
32600000 -36.9839 164.874 345.698
32700000 -43.5181 157.403 330.034
32800000 -28.2427 160.168 335.832
32900000 -28.489 163.113 342.007
33000000 -14.2974 169.738 355.897
33100000 -45.9916 160.4 336.318
33200000 -57.9262 158.545 332.43
33300000 -63.9799 156.08 327.26
33400000 -61.5218 161.069 337.722
33500000 -76.4876 154.723 324.416
33600000 -72.6214 154.7 324.366
33700000 -72.7203 153.935 322.763
33800000 -71.3833 160.751 337.053
33900000 -81.8382 158.605 332.555
34000000 -69.1058 156.563 328.273
34100000 -75.0276 156.289 327.698
34200000 -83.5537 146.038 306.205
34300000 -99.2531 148.793 311.981
34400000 -85.7334 154.919 324.825
34500000 -73.521 156.118 327.34
34600000 -108.388 146.403 306.971
34700000 -112.926 137.702 288.726
34800000 -110.467 142.392 298.56
34900000 -97.5973 149.527 313.52
35000000 -103.865 151.666 318.006
35100000 -92.2741 147.834 309.971
