# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 37.6061 85.565 305.375
200000 -10.0386 86.7356 309.553
300000 -27.4888 80.8138 288.419
400000 -27.2961 86.4818 308.647
500000 -45.5163 85.2236 304.157
600000 -53.5197 83.7145 298.771
700000 -44.5314 83.9512 299.616
800000 -47.2691 84.7216 302.365
900000 -47.7793 87.1602 311.069
1000000 -36.3853 80.4365 287.072
1100000 -45.0923 85.9138 306.62
1200000 -47.9435 84.451 301.399
1300000 -38.8574 86.6062 309.091
1400000 -26.9637 85.0278 303.458
1500000 -35.6524 85.6265 305.595
1600000 -22.2511 85.7627 306.081
1700000 -18.5933 88.8635 317.147
1800000 -35.2697 84.2019 300.511
1900000 -27.4684 84.8951 302.985
2000000 -45.4967 84.5263 301.668
2100000 -36.2304 85.1471 303.884
2200000 -45.4849 77.1155 275.22
2300000 -39.8375 86.14 307.428
2400000 -47.7582 84.4728 301.477
2500000 -36.796 82.422 294.158
2600000 -33.5955 81.9347 292.419
2700000 -23.804 85.9229 306.653
2800000 -15.6653 82.4482 294.252
2900000 -12.6663 79.3525 283.203
3000000 -6.03766 85.6291 305.604
3100000 -5.39363 84.8578 302.852
3200000 -23.7017 86.93 310.247
3300000 -20.0651 87.4937 312.259
3400000 -28.497 81.2103 289.834
3500000 -28.3386 83.4321 297.763
3600000 -34.6191 90.5942 323.324
3700000 -34.4673 84.355 301.057
3800000 -27.7921 83.4989 298.002
3900000 -31.7913 84.0181 299.855
4000000 -28.8378 85.8125 306.259
4100000 -28.3461 88.7675 316.805
4200000 -33.0606 83.7418 298.868
4300000 -33.5789 82.4754 294.349
4400000 -14.7588 87.5644 312.511
4500000 -21.8476 86.6932 309.402
4600000 -30.1501 86.7068 309.45
4700000 -19.4101 88.6458 316.371
4800000 -10.2624 91.3563 326.044
4900000 -16.7845 90.8855 324.364
5000000 -21.5136 90.885 324.362
5100000 -11.0473 87.818 313.416
5200000 -6.4466 91.1879 325.443
5300000 -11.9717 88.8771 317.196
5400000 -6.4355 89.583 319.715
5500000 0.840715 95.0008 339.051
5600000 0.193725 94.9069 338.716
5700000 14.73 97.5882 348.285
5800000 15.1542 96.3006 343.69
5900000 16.7459 94.1993 336.19
6000000 10.8885 98.4083 351.212
6100000 11.539 98.7645 352.483
6200000 3.57558 103.449 369.201
6300000 8.53364 98.8025 352.619
6400000 10.8168 102.663 366.399
6500000 11.9881 95.9045 342.276
6600000 23.8423 101.385 361.836
6700000 37.8749 98.6607 352.113
6800000 39.2908 105.112 375.136
6900000 39.2212 102.785 366.833
7000000 54.368 102.859 367.096
7100000 25.4586 108.225 386.246
7200000 46.5448 109.241 389.873
7300000 56.4145 106.185 378.968
7400000 69.1517 109.932 392.339
7500000 58.817 116.282 415.004
7600000 67.2118 109.208 389.757
7700000 68.2136 107.475 383.569
7800000 60.939 108.829 388.403
7900000 75.075 114.234 407.694
8000000 71.9322 117.603 419.718
8100000 76.3236 114.722 409.435
8200000 70.6982 114.174 407.478
8300000 72.1961 110.591 394.692
8400000 70.6757 118.073 421.393
8500000 76.4325 116.008 414.026
8600000 69.2308 105.731 377.346
8700000 62.4849 116.254 414.903
8800000 73.6861 122.338 436.616
8900000 73.3777 122.138 435.9
9000000 77.2536 112.914 402.983
9100000 76.155 118.671 423.53
9200000 71.9857 112.177 400.353
9300000 77.2041 122.878 438.542
9400000 80.7196 122.629 437.654
9500000 75.3693 121.559 433.834
9600000 76.2464 123.431 440.517
9700000 76.3418 121.177 432.473
9800000 80.945 127.491 455.007
9900000 78.3461 123.874 442.099
10000000 81.6834 124.981 446.049
10100000 74.4897 128.033 456.942
10200000 85.5583 137.53 490.836
10300000 80.8261 134.219 479.02
10400000 81.3754 131.244 468.402
10500000 85.47 130.621 466.176
10600000 85.8609 129.982 463.896
10700000 83.8448 129.089 460.709
10800000 77.367 132.078 471.378
10900000 89.5862 131.553 469.502
11000000 79.5819 132.915 474.363
11100000 78.541 130.835 466.942
11200000 84.0437 136.142 485.88
11300000 85.6893 139.188 496.751
11400000 94.8342 143.988 513.884
11500000 86.9303 127.796 456.096
11600000 85.2369 138.892 495.696
11700000 88.291 138.524 494.382
11800000 85.484 140.394 501.055
11900000 84.4016 136.183 486.028
12000000 92.6655 136.565 487.391
12100000 89.6793 141.347 504.458
12200000 89.2273 138.457 494.142
12300000 88.3916 140.126 500.098
12400000 88.9241 141.807 506.1
12500000 87.0156 129.152 460.935
12600000 94.5527 147.862 527.709
12700000 87.8524 148.013 528.248
12800000 84.2158 142.504 508.588
12900000 93.5113 141.22 504.004
13000000 90.6162 134.281 479.24
13100000 93.6553 146.224 521.863
13200000 83.3495 140.817 502.567
13300000 91.0999 136.073 485.635
13400000 94.5023 152.023 542.558
13500000 91.2277 147.623 526.857
13600000 89.4652 138.659 494.864
13700000 85.5477 142.642 509.078
13800000 93.153 154.015 549.668
13900000 92.4773 144.628 516.167
14000000 85.8271 128.969 460.282
14100000 88.3208 138.739 495.148
14200000 99.1687 146.007 521.09
14300000 96.3029 141.994 506.765
14400000 91.0585 143.141 510.861
14500000 90.0758 139.35 497.332
14600000 94.7516 145.42 518.992
14700000 81.7877 130.646 466.266
14800000 83.0426 147.079 524.913
14900000 95.3606 140.649 501.967
15000000 86.6512 144.879 517.062
15100000 86.3751 142.194 507.479
15200000 85.0529 134.192 478.921
15300000 89.5944 134.879 481.374
15400000 88.636 135.765 484.534
15500000 94.3263 144.009 513.957
15600000 90.5709 135.098 482.156
15700000 94.3242 150.825 538.284
15800000 90.0291 137.451 490.554
15900000 88.2781 143.614 512.547
16000000 89.4649 143.821 513.286
16100000 87.6931 139.84 499.08
16200000 92.4427 149.053 531.96
16300000 89.3355 141.18 503.86
16400000 95.3744 139.371 497.404
16500000 88.2195 144.406 515.375
16600000 84.6878 143.255 511.265
16700000 91.2549 147.084 524.932
16800000 86.5423 138.14 493.011
16900000 93.0586 138.32 493.655
17000000 87.0469 137.814 491.847
17100000 86.8297 139.192 496.765
17200000 87.9871 141.412 504.691
17300000 87.3727 143.214 511.121
17400000 94.9526 148.547 530.154
17500000 84.887 141.818 506.138
17600000 86.8596 141.725 505.807
17700000 92.281 140.243 500.516
17800000 91.9633 141.607 505.386
17900000 86.8764 135.645 484.106
18000000 90.5227 136.885 488.532
18100000 89.3811 141.981 506.721
18200000 84.7564 139.247 496.962
18300000 94.4599 136.034 485.495
18400000 82.0158 135.913 485.065
18500000 85.1708 138.589 494.614
18600000 92.3476 145.237 518.339
18700000 90.3802 146.473 522.752
18800000 91.5077 144.948 517.308
18900000 89.1706 145.263 518.432
19000000 98.751 145.408 518.95
19100000 87.5132 137.049 489.119
19200000 85.8454 140.013 499.696
19300000 92.8092 141.264 504.162
19400000 85.7773 138.844 495.525
19500000 81.529 139.266 497.029
19600000 87.9882 144.742 516.574
19700000 88.8717 145.443 519.076
19800000 86.504 141.283 504.227
19900000 92.8008 142.255 507.696
20000000 89.3444 143.259 511.28
20100000 95.2207 149.34 532.984
20200000 92.6568 137.311 490.053
20300000 84.5914 143.65 512.675
20400000 82.7008 136.694 487.85
