# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 55.369 116.407 298.108
200000 51.4327 115.44 295.631
300000 17.7622 120.198 307.817
400000 -17.7739 118.948 304.616
500000 -22.6245 116.526 298.414
600000 -30.1778 116.993 299.609
700000 -26.1429 119.633 306.37
800000 -35.1218 114.509 293.248
900000 -31.8129 120.418 308.379
1000000 -17.2987 123.467 316.188
1100000 -50.4656 118.229 302.773
1200000 -43.6735 116.455 298.23
1300000 -55.5277 122.396 313.446
1400000 -40.9176 120.295 308.065
1500000 -50.5931 111.953 286.703
1600000 -64.958 121.403 310.901
1700000 -49.1269 118.457 303.359
1800000 -54.5508 118.656 303.868
1900000 -65.9176 118.1 302.443
2000000 -76.6605 112.637 288.454
2100000 -52.7057 116.857 299.262
2200000 -71.6723 115.149 294.887
2300000 -52.7434 113.526 290.729
2400000 -49.4157 116.699 298.854
2500000 -49.3162 117.158 300.032
2600000 -40.6438 121.149 310.253
2700000 -51.0312 119.268 305.436
2800000 -58.8431 118.227 302.768
2900000 -46.3914 119.931 307.132
3000000 -55.5 119.491 306.005
3100000 -58.7046 115.967 296.982
3200000 -60.4126 120.276 308.015
3300000 -47.3364 118.763 304.141
3400000 -58.0698 111.643 285.908
3500000 -52.1628 118.053 302.324
3600000 -61.0935 112.545 288.217
3700000 -54.57 118.854 304.374
3800000 -56.6638 119.533 306.114
3900000 -71.5636 119.662 306.444
4000000 -65.1897 119.252 305.393
4100000 -69.825 120.257 307.967
4200000 -55.7593 120.49 308.563
4300000 -47.7482 124.645 319.204
4400000 -40.5981 121.189 310.354
4500000 -29.0364 118.304 302.967
4600000 -15.9299 131.24 336.094
4700000 -25.8711 121.772 311.847
4800000 -24.6096 121.337 310.734
4900000 -18.0307 120.522 308.647
5000000 -3.52103 124.783 319.559
5100000 -6.96354 132.635 339.666
5200000 4.24301 127.468 326.433
5300000 16.1437 134.422 344.243
5400000 10.5417 130.098 333.169
5500000 36.7657 133.7 342.395
5600000 31.5176 136.789 350.306
5700000 36.61 132.095 338.285
5800000 38.9931 140.232 359.122
5900000 45.203 141.025 361.153
6000000 11.8582 135.846 347.89
6100000 16.9166 139.72 357.809
6200000 23.428 134.248 343.798
6300000 31.3027 141.623 362.685
6400000 13.0399 136.967 350.761
6500000 19.1063 142.048 363.773
6600000 37.2013 137.401 351.872
6700000 59.0477 143.691 367.979
6800000 41.3038 142.909 365.978
6900000 47.8505 152.826 391.374
7000000 38.1538 148.979 381.523
7100000 58.2551 149.964 384.043
7200000 69.7597 149.5 382.855
7300000 64.2399 149.316 382.385
7400000 68.6767 149.77 383.548
7500000 55.6537 154.606 395.932
7600000 68.4616 149.162 381.991
7700000 77.0737 153.689 393.585
7800000 75.5319 152.194 389.755
7900000 85.6582 155.986 399.465
8000000 75.0659 152.762 391.209
8100000 72.2738 162.483 416.104
8200000 87.8156 161.613 413.876
8300000 83.1686 155.742 398.842
8400000 86.3858 158.341 405.498
8500000 80.4059 161.92 414.664
8600000 77.9167 162.705 416.674
8700000 92.1068 157.442 403.196
8800000 101.334 159.106 407.456
8900000 93.3887 168.414 431.294
9000000 100.686 162.828 416.988
9100000 76.4506 161.789 414.328
9200000 91.3244 160.635 411.372
9300000 103.434 174.162 446.012
9400000 101.127 171.981 440.429
9500000 108.574 169.919 435.146
9600000 98.4678 167.981 430.183
9700000 103.508 173.814 445.122
9800000 105.266 163.433 418.538
9900000 98.9077 169.818 434.89
10000000 113.049 182.059 466.237
10100000 108.385 177.556 454.706
10200000 97.5993 180.136 461.312
10300000 115.945 174.181 446.061
10400000 114.249 180.6 462.5
10500000 110.228 178.136 456.191
10600000 114.937 175.859 450.359
10700000 112.516 178.126 456.164
10800000 111.974 185.687 475.527
10900000 117.184 187.471 480.097
11000000 113.008 184.31 472.001
11100000 114.734 186.559 477.761
11200000 120.035 185.292 474.517
11300000 117.23 188.875 483.693
11400000 112.356 193.522 495.593
11500000 121.742 197.4 505.523
11600000 129.215 199.356 510.532
11700000 122.752 197.768 506.466
11800000 124.323 208.416 533.734
11900000 131.568 200.229 512.769
12000000 121.689 188.443 482.586
12100000 132.982 196.845 504.103
12200000 118.194 193.531 495.615
12300000 123.117 200.625 513.782
12400000 120.473 196.14 502.298
12500000 122.316 185.742 475.67
12600000 117.521 197.116 504.796
12700000 122.311 195.371 500.327
12800000 118.276 193.455 495.422
12900000 119.593 190.617 488.153
13000000 117.64 194.624 498.415
13100000 125.123 202.633 518.925
13200000 120.324 187.69 480.656
13300000 121.68 193.624 495.852
13400000 125.237 197.991 507.037
13500000 128.482 198.398 508.08
13600000 121.893 189.944 486.43
13700000 121.456 205.263 525.66
13800000 122.363 203.354 520.772
13900000 123.922 194.362 497.744
14000000 121.859 190.12 486.879
14100000 122.404 203.977 522.368
14200000 133.564 200.971 514.669
14300000 119.629 193.699 496.046
14400000 122.08 200.974 514.676
14500000 132.241 189.275 484.717
14600000 123.79 196.763 503.893
14700000 121.049 200.8 514.232
14800000 132.909 195.855 501.568
14900000 124.439 192.315 492.502
15000000 119.335 204.185 522.899
15100000 125.61 195.022 499.433
15200000 131.497 195.023 499.436
15300000 130.808 195.677 501.112
15400000 123.856 189.514 485.329
15500000 125.169 198.596 508.587
15600000 121.403 193.323 495.084
15700000 124.016 188.588 482.956
15800000 124.902 184.375 472.167
15900000 125.929 202.511 518.612
16000000 129.568 196.091 502.171
16100000 115.868 190.112 486.86
16200000 122.253 196.786 503.953
16300000 114.806 194.106 497.087
16400000 121.923 204.837 524.568
16500000 125.622 194.909 499.143
16600000 119.996 191.144 489.503
16700000 130.884 200.942 514.595
16800000 110.059 195.711 501.197
16900000 129.248 194.425 497.906
17000000 128.187 198.449 508.211
17100000 128.629 196.911 504.272
17200000 125.842 197.848 506.67
17300000 126.276 197.388 505.494
17400000 120.94 198.469 508.26
17500000 121.903 196.881 504.194
17600000 131.279 191.166 489.559
17700000 124.593 188.436 482.569
17800000 115.16 198.85 509.236
17900000 117.545 190.078 486.773
18000000 127.344 196.818 504.033
18100000 124.219 187.516 480.212
18200000 121.074 191.875 491.375
18300000 119.984 204.664 524.126
18400000 123.055 190.366 487.511
18500000 117.667 202.381 518.28
18600000 122.707 202.044 517.417
18700000 126.401 204.688 524.188
18800000 116.128 203.888 522.139
18900000 115.306 191.484 490.374
19000000 117.908 196.572 503.405
19100000 110.299 195.238 499.987
19200000 131.175 198.944 509.477
19300000 132.994 198.121 507.37
19400000 119.105 209.349 536.124
19500000 125.944 193.66 495.945
19600000 130.689 193.697 496.041
19700000 132.963 192.801 493.747
19800000 124.376 192.315 492.502
19900000 130.104 188.173 481.895
20000000 123.966 189.718 485.851
