# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 34.0914 55.5967 310.859
200000 16.7189 52.3107 292.486
300000 17.241 54.5611 305.069
400000 0.116399 55.3193 309.308
500000 -19.4438 58.9546 329.634
600000 -20.249 51.2088 286.325
700000 -9.76572 54.6223 305.411
800000 -21.7387 53.9279 301.528
900000 -32.5907 55.9395 312.776
1000000 -20.9628 54.4468 304.429
1100000 -24.7429 51.9936 290.713
1200000 -27.398 57.1552 319.573
1300000 -29.3412 54.0607 302.271
1400000 -21.9947 53.6748 300.113
1500000 -24.1533 56.0026 313.128
1600000 -30.0332 53.2068 297.496
1700000 -31.1597 52.4441 293.232
1800000 -21.1203 57.9043 323.761
1900000 -27.4586 52.4805 293.435
2000000 -26.744 56.1427 313.912
2100000 -10.1416 54.0012 301.938
2200000 -15.9426 57.1094 319.317
2300000 -22.8761 53.7878 300.745
2400000 -14.9982 54.1157 302.578
2500000 -22.1586 51.5183 288.055
2600000 -16.3748 53.9517 301.661
2700000 -17.7793 51.3783 287.273
2800000 -16.708 54.1434 302.733
2900000 -29.7072 49.2113 275.156
3000000 -32.3478 50.1994 280.681
3100000 -14.9706 57.4842 321.413
3200000 -11.5039 56.7223 317.153
3300000 -25.896 51.7396 289.293
3400000 -29.5107 54.9467 307.225
3500000 -18.4358 54.6652 305.65
3600000 -24.2786 53.5925 299.653
3700000 -23.8472 52.2994 292.423
3800000 -24.2731 50.1915 280.637
3900000 -24.3293 53.1141 296.978
4000000 -19.0687 56.8362 317.789
4100000 -33.7968 55.5231 310.447
4200000 -22.0958 56.9167 318.24
4300000 -21.1182 54.8693 306.792
4400000 -20.6776 56.2022 314.244
4500000 -16.4443 58.2237 325.547
4600000 -16.6435 56.9413 318.377
4700000 -13.8817 53.394 298.543
4800000 -19.7547 54.843 306.645
4900000 -13.3413 55.7908 311.944
5000000 -16.8999 62.9253 351.836
5100000 -14.3245 62.4927 349.417
5200000 -15.3428 58.6258 327.796
5300000 -4.34552 59.7474 334.067
5400000 -17.1686 60.8882 340.446
5500000 -11.9547 55.1534 308.38
5600000 -8.09097 59.1877 330.937
5700000 -2.90505 60.2875 337.087
5800000 -5.89311 62.0457 346.917
5900000 5.81474 61.487 343.793
6000000 2.51023 62.2883 348.274
6100000 1.41763 60.7375 339.603
6200000 -9.84597 63.9071 357.325
6300000 -5.33528 62.0572 346.982
6400000 2.10233 65.0259 363.581
6500000 5.38401 66.4045 371.289
6600000 10.3331 67.495 377.386
6700000 22.8208 65.2762 364.98
6800000 26.6859 65.7253 367.491
6900000 24.3333 66.4131 371.337
7000000 29.6722 73.1935 409.248
7100000 37.1671 68.2269 381.479
7200000 36.19 69.295 387.451
7300000 39.6793 68.6114 383.628
7400000 48.9089 74.5263 416.7
7500000 44.9724 73.1422 408.961
