# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 44.061 93.3477 313.162
200000 -13.2556 85.4991 286.832
300000 -13.9272 91.5875 307.257
400000 -7.22648 88.3166 296.284
500000 -24.9038 90.7111 304.317
600000 -37.656 88.4725 296.807
700000 -27.1509 94.719 317.763
800000 -45.0669 87.7482 294.377
900000 -22.2754 92.2465 309.468
1000000 -11.4298 90.7354 304.398
1100000 -32.9272 92.0185 308.703
1200000 -32.5819 88.0126 295.264
1300000 -30.0089 86.1894 289.148
1400000 -20.0854 86.155 289.032
1500000 -28.9658 90.3437 303.084
1600000 -31.3663 93.1164 312.386
1700000 -36.952 92.1178 309.036
1800000 -41.0685 93.2497 312.834
1900000 -51.9735 88.582 297.174
2000000 -46.4951 84.271 282.712
2100000 -39.3669 89.1333 299.024
2200000 -39.2144 93.9062 315.036
2300000 -34.5045 94.8133 318.079
2400000 -37.4593 93.5058 313.693
2500000 -41.4419 90.8834 304.895
2600000 -45.8542 88.1077 295.583
2700000 -38.4206 91.1059 305.642
2800000 -31.5766 91.4874 306.921
2900000 -46.442 88.5825 297.176
3000000 -39.7917 88.5276 296.992
3100000 -28.2501 85.7543 287.688
3200000 -44.9776 86.2798 289.451
3300000 -38.7961 90.8066 304.637
3400000 -37.1241 91.9909 308.61
3500000 -44.8105 86.1553 289.033
3600000 -48.1467 89.6587 300.786
3700000 -41.2465 91.038 305.414
3800000 -32.5099 90.8211 304.686
3900000 -35.1208 86.8054 291.214
4000000 -41.562 93.8818 314.954
4100000 -44.0614 89.6486 300.752
4200000 -43.6832 85.4906 286.803
4300000 -31.7411 89.7507 301.095
4400000 -34.0742 88.357 296.419
4500000 -18.967 96.9981 325.409
4600000 -7.04989 93.9043 315.03
4700000 -12.2026 93.1355 312.45
4800000 -8.93312 90.1406 302.403
4900000 9.86648 105.655 354.45
5000000 21.3199 102.849 345.037
5100000 21.1131 97.0639 325.629
5200000 -1.36269 101.662 341.057
5300000 -3.06573 96.1116 322.435
5400000 -10.3591 97.035 325.532
5500000 -0.166207 100.452 336.995
5600000 8.70431 100.219 336.213
5700000 9.02013 105.228 353.017
5800000 31.4456 100.718 337.889
5900000 16.3277 106.101 355.948
6000000 32.0439 105.248 353.086
6100000 34.1539 106.409 356.979
6200000 18.5657 107.639 361.106
6300000 30.8734 106.228 356.372
6400000 39.1218 108.247 363.148
6500000 38.6507 107.865 361.864
6600000 35.1643 111.835 375.182
6700000 48.262 103.44 347.021
6800000 40.4131 111.093 372.692
6900000 34.9747 112.008 375.765
7000000 37.8754 112.949 378.921
7100000 53.5406 120.063 402.785
