# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 37.9633 105.959 306.44
200000 -20.3213 106.787 308.833
300000 -63.2675 106.749 308.724
400000 -69.241 98.7388 285.559
500000 -60.8608 107.185 309.986
600000 -62.0683 104.532 302.313
700000 -67.7861 104.481 302.167
800000 -55.6683 105.924 306.34
900000 -65.2572 106.789 308.841
1000000 -64.9101 106.881 309.107
1100000 -77.536 102.369 296.059
1200000 -75.1521 97.1025 280.826
1300000 -76.208 100.629 291.025
1400000 -72.5299 105.781 305.924
1500000 -79.6685 103.539 299.44
1600000 -84.2995 101.471 293.461
1700000 -79.5156 101.396 293.245
1800000 -75.8788 103.971 300.691
1900000 -83.2143 105.716 305.738
2000000 -66.0519 104.949 303.52
2100000 -62.9426 106.098 306.842
2200000 -68.9393 101.317 293.014
2300000 -54.0385 103.922 300.55
2400000 -66.7375 100.489 290.621
2500000 -66.3711 104.365 301.831
2600000 -74.3811 100.205 289.799
2700000 -70.3708 102.384 296.1
2800000 -66.0882 103.652 299.769
2900000 -65.847 101.917 294.751
3000000 -63.381 105.361 304.711
3100000 -58.0871 105.798 305.974
3200000 -57.5673 106.889 309.128
3300000 -69.0017 108.601 314.08
3400000 -70.469 100.1 289.495
3500000 -60.8751 103.859 300.367
3600000 -53.6832 105.689 305.659
3700000 -53.196 105.209 304.272
3800000 -62.5668 97.6774 282.489
3900000 -75.2183 101.346 293.099
4000000 -74.4025 103.207 298.48
4100000 -64.83 106.203 307.145
4200000 -61.0678 106.559 308.174
4300000 -66.3407 105.207 304.265
4400000 -49.5437 108.45 313.644
4500000 -52.4247 105.545 305.243
4600000 -48.9982 108.135 312.733
4700000 -37.8678 112.543 325.48
4800000 -47.1591 108.633 314.175
4900000 -41.4193 120.653 348.935
5000000 -26.9112 114.456 331.013
5100000 -23.4156 106.332 307.518
5200000 -32.4376 111.812 323.366
5300000 -31.8256 110.497 319.564
5400000 -31.438 112.237 324.597
5500000 -31.8007 108.329 313.295
5600000 -11.4922 117.729 340.48
5700000 -21.8116 119.503 345.611
5800000 -18.1453 121.562 351.564
5900000 -24.1024 123.373 356.804
6000000 -34.3397 117.14 338.777
6100000 -24.0248 120.913 349.688
6200000 -10.5172 124.273 359.405
6300000 -4.17384 123.484 357.125
6400000 6.55104 125.421 362.724
6500000 0.961484 126.864 366.899
6600000 -0.14221 132.793 384.046
6700000 -8.78978 125.349 362.517
6800000 -12.0815 124.29 359.455
6900000 -19.068 130.955 378.731
7000000 -16.7839 124.599 360.348
7100000 -11.2181 138.245 399.813
7200000 16.0765 136.429 394.56
7300000 2.42296 129.389 374.201
7400000 16.3828 136.899 395.922
7500000 5.81209 132.868 384.263
7600000 27.0819 136.073 393.533
7700000 41.3593 136.06 393.495
7800000 35.2525 134.574 389.195
7900000 40.1634 136.226 393.975
8000000 54.9166 139.852 404.459
8100000 48.1525 141.902 410.388
8200000 64.1219 143.698 415.585
8300000 43.2973 143.687 415.551
8400000 50.5974 148.537 429.577
8500000 56.5339 143.278 414.369
8600000 39.7466 146.726 424.34
8700000 36.9511 139.123 402.352
8800000 45.4805 151.454 438.015
8900000 49.86 144.885 419.017
9000000 62.3945 146.819 424.609
9100000 63.5402 148.546 429.605
9200000 71.6179 149.125 431.278
9300000 87.2959 152.601 441.333
9400000 78.0144 146.621 424.037
9500000 74.06 151.955 439.463
9600000 86.9116 157.818 456.419
9700000 93.1429 157.493 455.48
