# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 26.0635 44.9572 301.644
200000 -8.00241 46.634 312.895
300000 -23.0598 42.2032 283.166
400000 -22.2589 43.1823 289.736
500000 -25.8069 44.6504 299.586
600000 -13.5812 45.9163 308.08
700000 -16.1343 47.692 319.994
800000 -14.4454 46.7143 313.434
900000 -11.6313 48.1499 323.066
1000000 -12.4839 44.1341 296.122
1100000 -12.2973 46.018 308.762
1200000 -20.3793 46.503 312.016
1300000 -14.0554 47.0017 315.362
1400000 -11.0179 43.7869 293.792
1500000 -10.9375 44.036 295.463
1600000 -11.0604 45.0507 302.271
1700000 -11.0076 46.0738 309.136
1800000 -11.1762 49.6609 333.204
1900000 -9.67346 43.8966 294.528
2000000 -17.7669 45.541 305.561
2100000 -18.8389 49.2762 330.623
2200000 -23.1953 44.5601 298.98
2300000 -21.5535 41.6007 279.123
2400000 -21.3747 45.5172 305.402
2500000 -20.8806 44.6678 299.702
2600000 -21.1221 42.7952 287.138
2700000 -22.2922 43.2936 290.482
2800000 -24.3083 46.33 310.855
2900000 -23.0912 46.6963 313.313
3000000 -28.9571 44.6318 299.461
3100000 -18.2249 47.3008 317.369
3200000 -21.725 47.8458 321.026
3300000 -24.5565 42.348 284.138
3400000 -30.1625 45.0393 302.195
3500000 -22.7698 47.201 316.699
3600000 -30.1242 41.8953 281.1
3700000 -22.1465 45.4057 304.653
3800000 -26.6422 46.6704 313.139
3900000 -22.0717 44.0012 295.23
4000000 -26.4984 45.4323 304.832
4100000 -21.1123 43.7131 293.297
4200000 -35.1387 46.0912 309.253
4300000 -32.4962 46.362 311.07
4400000 -35.148 47.3077 317.415
4500000 -24.8133 46.0787 309.169
4600000 -22.6303 48.1701 323.202
4700000 -20.8673 51.8469 347.872
4800000 -20.0434 49.0055 328.807
4900000 -20.0011 51.9119 348.307
5000000 -16.5742 52.5686 352.714
5100000 -12.518 51.424 345.033
5200000 -21.0138 47.6383 319.633
5300000 -9.09049 50.2483 337.145
5400000 -17.1876 51.0108 342.261
5500000 -11.9572 54.0511 362.66
5600000 -9.4228 54.7363 367.258
5700000 -9.48359 52.8 354.266
5800000 -4.49563 52.9485 355.263
5900000 5.93187 53.4987 358.954
6000000 -1.41666 54.946 368.665
6100000 -1.64232 57.2215 383.932
6200000 4.99129 50.5392 339.097
6300000 7.55243 52.8294 354.463
6400000 18.7147 59.6963 400.537
6500000 27.8373 51.9094 348.29
6600000 30.9247 55.5514 372.727
6700000 30.568 49.9003 334.811
6800000 8.24432 53.8859 361.552
6900000 9.41919 54.3925 364.951
7000000 11.9637 56.0264 375.914
7100000 4.07887 56.4589 378.816
7200000 12.6106 56.8522 381.455
7300000 7.01434 56.3784 378.276
7400000 26.3495 58.4354 392.078
7500000 32.4909 57.0876 383.034
7600000 18.5787 60.2393 404.181
7700000 31.1004 63.0935 423.331
7800000 36.8895 56.6514 380.107
7900000 15.5175 63.3907 425.325
8000000 12.1629 57.086 383.023
8100000 19.006 56.7533 380.791
8200000 17.7941 61.1525 410.308
8300000 12.4257 59.1519 396.885
8400000 15.3617 57.0181 382.568
8500000 36.5388 67.2869 451.467
8600000 38.7889 60.9862 409.192
8700000 43.3582 67.8879 455.5
8800000 41.2403 61.5666 413.087
8900000 44.6654 69.9609 469.409
9000000 40.061 66.8399 448.468
9100000 28.3578 64.0209 429.554
9200000 22.6963 62.7619 421.106
9300000 26.6274 66.4627 445.937
9400000 27.4225 62.8557 421.736
9500000 35.5891 63.5153 426.161
9600000 30.9453 63.5453 426.363
9700000 23.4139 63.461 425.797
9800000 36.8496 66.3421 445.128
9900000 42.9443 70.5909 473.636
10000000 45.4328 72.5951 487.083
10100000 36.4165 73.3497 492.146
10200000 38.5387 67.6735 454.061
10300000 39.2488 71.263 478.145
10400000 32.6372 69.6766 467.501
10500000 35.1216 67.2225 451.035
10600000 34.3205 67.0292 449.738
10700000 43.3631 69.9556 469.373
10800000 43.558 69.4246 465.81
10900000 41.2748 68.082 456.802
11000000 46.1562 68.0751 456.756
11100000 42.0997 70.1562 470.719
11200000 49.5807 71.7792 481.609
11300000 44.8025 70.815 475.14
11400000 45.3711 68.6706 460.751
11500000 46.18 75.0748 503.721
11600000 43.8486 71.4347 479.297
11700000 43.9112 74.3242 498.684
11800000 47.2198 78.5553 527.074
11900000 48.803 78.5733 527.194
12000000 46.8696 76.4849 513.182
12100000 50.2534 76.2582 511.661
12200000 47.2662 76.2882 511.862
12300000 50.3866 77.2237 518.139
12400000 50.2123 79.5682 533.87
12500000 45.8928 77.1385 517.567
12600000 44.9079 72.2595 484.831
12700000 47.2508 79.927 536.277
12800000 48.6451 75.5918 507.19
12900000 43.1469 79.2925 532.02
13000000 48.7487 77.3167 518.763
13100000 45.9959 72.9954 489.769
13200000 47.7225 73.1297 490.67
13300000 50.3595 81.7442 548.47
13400000 48.5685 76.9463 516.278
13500000 45.4357 73.7867 495.078
13600000 44.2165 73.3347 492.046
13700000 44.3976 72.4138 485.866
13800000 48.5963 73.819 495.295
13900000 49.1679 75.287 505.144
14000000 49.1098 75.5811 507.118
14100000 50.0793 79.9878 536.685
14200000 48.1054 70.6339 473.924
14300000 46.4746 76.0547 510.296
14400000 47.7784 76.4442 512.909
14500000 45.2198 70.0177 469.79
14600000 53.0763 81.1966 544.795
14700000 52.4811 80.9671 543.255
14800000 47.528 73.8528 495.522
14900000 49.9467 82.237 551.776
15000000 50.9689 75.6618 507.659
15100000 46.6171 73.0961 490.444
15200000 43.6138 73.2295 491.34
15300000 47.7624 76.8474 515.614
15400000 49.0041 76.3061 511.982
15500000 47.66 72.9422 489.412
15600000 42.7013 66.7189 447.656
15700000 51.2171 73.4593 492.882
15800000 44.6922 74.4033 499.215
15900000 49.3238 80.5053 540.157
16000000 38.7501 79.4831 533.299
16100000 52.6116 76.225 511.438
16200000 47.3037 78.2031 524.711
16300000 47.7097 76.3612 512.352
16400000 46.3121 75.5239 506.734
16500000 43.6249 72.2323 484.649
16600000 40.1489 70.778 474.891
16700000 47.3094 74.8447 502.177
16800000 45.3991 76.9183 516.09
16900000 41.959 74.1304 497.384
17000000 47.8337 73.3446 492.112
17100000 49.0524 75.413 505.99
17200000 46.8444 72.5056 486.482
17300000 48.9531 75.1935 504.517
17400000 42.2734 79.5251 533.58
17500000 46.9288 74.4775 499.713
17600000 48.2045 76.0049 509.962
17700000 49.8955 77.2354 518.217
17800000 48.4485 71.8899 482.352
17900000 50.5207 75.8575 508.973
18000000 49.899 75.6983 507.904
18100000 45.7136 72.6469 487.431
18200000 46.8091 77.9179 522.797
18300000 48.9766 78.6787 527.902
18400000 43.8832 77.2737 518.474
18500000 47.6577 77.6206 520.802
18600000 47.8955 76.0776 510.449
18700000 42.8572 73.033 490.021
18800000 46.3827 81.5875 547.418
18900000 48.5242 71.777 481.594
19000000 40.2937 78.8212 528.858
19100000 45.325 77.9751 523.181
19200000 46.6981 80.7796 541.997
19300000 46.1864 74.1209 497.321
19400000 54.4978 81.4359 546.401
19500000 49.9949 69.7234 467.815
19600000 43.2752 72.0426 483.376
19700000 31.919 80.7087 541.522
19800000 42.0316 76.5436 513.576
19900000 47.4161 75.3802 505.77
20000000 46.7449 76.3092 512.003
