# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 57.2325 87.3168 295.889
200000 43.4891 92.302 312.782
300000 31.3244 88.74 300.712
400000 11.2631 86.6432 293.606
500000 17.5722 87.7503 297.358
600000 9.80404 89.1083 301.96
700000 -4.48263 90.4862 306.629
800000 -7.96854 84.518 286.404
900000 -29.2766 86.7937 294.116
1000000 -21.1352 90.7135 307.399
1100000 -28.3899 87.106 295.174
1200000 -20.2643 86.3065 292.465
1300000 -13.7369 91.3237 309.467
1400000 -26.6054 88.1601 298.746
1500000 -28.8147 87.7015 297.192
1600000 -32.7907 85.5682 289.963
1700000 -36.01 89 301.592
1800000 -35.68 81.9777 277.796
1900000 -23.07 87.4392 296.303
2000000 -15.2458 89.0699 301.829
2100000 -23.7218 92.885 314.757
2200000 -18.3311 88.0649 298.424
2300000 -17.2301 90.4521 306.513
2400000 -37.4889 90.1069 305.343
2500000 -15.0012 93.0417 315.289
2600000 -19.1791 86.768 294.029
2700000 -22.474 84.8785 287.626
2800000 -30.9594 90.7997 307.691
2900000 -25.4211 88.9098 301.287
3000000 -31.8697 88.1859 298.834
3100000 -27.0909 86.6166 293.516
3200000 -24.3408 92.139 312.23
3300000 -25.8285 92.248 312.599
3400000 -26.3784 89.3772 302.871
3500000 -34.3145 89.207 302.294
3600000 -22.215 87.8708 297.766
3700000 -17.4703 85.7605 290.615
3800000 -22.7355 88.9647 301.473
3900000 -25.881 93.6028 317.19
4000000 -29.6674 86.5747 293.374
4100000 -29.3018 88.9968 301.582
4200000 -32.735 90.6533 307.195
4300000 -3.68782 93.6898 317.485
4400000 -15.3313 95.6006 323.96
4500000 -3.3215 91.8651 311.302
4600000 -14.1896 92.105 312.114
4700000 15.639 95.4288 323.378
4800000 10.8685 93.9446 318.348
4900000 10.1091 95.4025 323.289
5000000 24.2129 99.6831 337.794
5100000 33.7711 100.876 341.838
5200000 41.2753 97.969 331.986
5300000 41.0238 96.116 325.706
5400000 46.1626 102.136 346.105
5500000 31.8064 98.9388 335.272
5600000 30.3672 97.9852 332.04
5700000 22.191 100.003 338.879
5800000 29.8397 100.903 341.929
5900000 25.6389 99.9719 338.773
6000000 25.304 104.047 352.582
6100000 28.8823 105.557 357.7
6200000 49.8072 102.249 346.489
6300000 48.0307 103.239 349.846
6400000 57.6334 105.433 357.278
6500000 56.4783 110.817 375.523
6600000 46.1794 104.355 353.627
6700000 56.2314 111.512 377.878
6800000 48.7876 107.551 364.456
6900000 44.5708 112.158 380.067
7000000 47.7011 107.889 365.601
7100000 51.1891 111.695 378.497
7200000 57.8222 109.806 372.099
7300000 63.7733 109.515 371.111
7400000 63.2266 116.437 394.569
7500000 54.3789 113.624 385.036
7600000 56.8448 114.723 388.76
7700000 65.839 118.858 402.771
7800000 74.7868 117.847 399.344
7900000 70.5869 110.353 373.951
8000000 77.2383 120.201 407.324
8100000 71.9851 116.885 396.085
8200000 78.5815 119.427 404.699
8300000 83.0564 120.239 407.45
8400000 75.3917 125.195 424.247
8500000 81.6021 122.426 414.863
8600000 76.3324 126.381 428.264
8700000 76.7275 119.776 405.881
8800000 72.2404 119.471 404.848
8900000 68.6598 122.463 414.987
9000000 76.5968 120.178 407.244
9100000 80.208 122.19 414.061
9200000 79.3084 126.618 429.068
9300000 78.4958 126.602 429.015
9400000 79.0522 131.712 446.329
9500000 76.8702 135.514 459.214
9600000 77.9243 127.142 430.844
9700000 80.556 121.083 410.312
9800000 86.4094 132.471 448.902
9900000 81.6817 130.113 440.91
10000000 89.2831 137.859 467.161
10100000 79.4506 136.653 463.074
10200000 80.9497 142.753 483.744
10300000 88.3569 135.302 458.494
10400000 88.5394 139.467 472.609
10500000 73.8007 138.732 470.118
10600000 84.1403 149.007 504.936
10700000 82.7288 133.36 451.913
10800000 86.336 139.7 473.397
10900000 87.6485 141.618 479.897
11000000 95.9522 142.416 482.601
11100000 88.842 144.621 490.074
11200000 88.4328 134.693 456.431
11300000 89.8835 142.915 484.295
11400000 91.8211 137.674 466.533
11500000 90.5359 142.37 482.447
11600000 95.3177 151.568 513.617
11700000 90.7025 148.643 503.704
11800000 95.1212 142.137 481.657
11900000 96.7166 147.869 501.082
12000000 88.9 149.56 506.812
12100000 97.942 151.278 512.631
12200000 85.9839 145.725 493.815
12300000 96.1713 138.943 470.835
12400000 96.6123 145.923 494.486
12500000 100.064 148.546 503.374
12600000 94.8148 153.201 519.148
12700000 91.5569 152.277 516.018
12800000 93.1165 153.201 519.148
12900000 92.3869 149.757 507.48
13000000 94.5994 146.187 495.379
13100000 95.2934 141.196 478.467
13200000 93.6992 148.891 504.544
13300000 97.6501 148.661 503.764
13400000 95.8751 147.658 500.365
13500000 85.0283 147.002 498.144
13600000 96.6747 150.599 510.331
13700000 97.4552 151.622 513.799
13800000 89.311 146.769 497.352
13900000 89.918 150.501 510
14000000 96.6808 153.427 519.914
14100000 95.3079 147.61 500.202
14200000 95.1246 150.926 511.439
14300000 95.1135 152.159 515.619
14400000 94.4349 152.519 516.838
14500000 98.2262 159.998 542.18
14600000 96.6725 146.689 497.08
14700000 92.7523 145.398 492.707
14800000 100.035 150.987 511.648
14900000 90.6604 149.676 507.205
15000000 89.9968 148.496 503.205
15100000 94.5322 153.248 519.309
15200000 90.7378 154.967 525.134
15300000 94.5395 145.676 493.651
15400000 94.2829 143.662 486.826
15500000 96.3361 154.588 523.849
15600000 91.5188 143.054 484.763
15700000 99.1222 144.618 490.063
15800000 88.8223 148.485 503.169
15900000 94.0842 149.586 506.899
16000000 85.8761 144.842 490.825
16100000 99.6392 149.723 507.364
16200000 99.6654 157.485 533.666
16300000 95.6014 145.655 493.577
16400000 98.5617 147.928 501.281
16500000 91.3377 139.669 473.294
16600000 87.7603 146.225 495.509
16700000 89.9615 149.232 505.7
16800000 96.5354 144.84 490.817
16900000 95.4933 154.133 522.308
17000000 94.153 155.919 528.359
17100000 94.9689 146.451 496.277
17200000 95.191 151.703 514.073
17300000 95.7422 150.376 509.575
