# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 218.38 533.017 3887.3
200000 -0.066508 42.7226 311.577
300000 -3.37749 42.1335 307.281
400000 -19.7987 41.9547 305.977
500000 -17.7518 40.0951 292.414
600000 -22.7277 43.1667 314.816
700000 -22.9547 38.6707 282.026
800000 -21.0125 40.0412 292.022
900000 -16.3612 44.808 326.786
1000000 -19.3337 43.6939 318.661
1100000 -20.8822 42.8005 312.145
1200000 -23.3684 41.8763 305.405
1300000 -18.9452 41.4402 302.225
1400000 -25.6857 39.2119 285.973
1500000 -18.059 42.5155 310.067
1600000 -16.7231 42.2055 307.806
1700000 -22.1819 42.065 306.781
1800000 -28.9672 42.796 312.112
1900000 -23.0089 39.8262 290.453
2000000 -20.797 42.6771 311.245
2100000 -26.6453 37.8454 276.008
2200000 -18.9083 44.7614 326.446
2300000 -20.3965 38.0295 277.35
2400000 -17.3314 45.3013 330.384
2500000 -12.6584 46.7927 341.26
2600000 -18.9568 41.1375 300.017
2700000 -20.8156 45.3308 330.599
2800000 -20.6106 43.842 319.741
2900000 -21.087 42.1399 307.327
3000000 -23.5557 41.4069 301.982
3100000 -20.4381 40.0329 291.961
3200000 -20.4118 41.1294 299.958
3300000 -22.9728 39.4796 287.926
3400000 -20.5561 42.4265 309.418
3500000 -24.1773 41.9841 306.191
3600000 -25.7221 36.6404 267.22
3700000 -14.7009 43.7325 318.942
3800000 -21.9008 41.7297 304.336
3900000 -27.7701 42.549 310.311
4000000 -23.4416 38.77 282.75
4100000 -19.7398 44.1028 321.643
4200000 -18.0052 41.5097 302.731
4300000 -15.7834 45.3957 331.072
4400000 -19.6327 41.5928 303.337
4500000 -21.3414 44.0744 321.436
4600000 -14.8272 45.4531 331.491
4700000 -19.4715 44.4309 324.036
4800000 -16.6496 48.3705 352.767
4900000 -13.0713 45.028 328.391
5000000 -19.4416 46.0361 335.742
5100000 -14.8209 45.9048 334.785
5200000 -11.1467 46.3332 337.909
5300000 -5.0076 44.6732 325.803
5400000 -9.40347 46.1821 336.808
5500000 -8.9493 46.5813 339.719
5600000 -9.72106 44.0588 321.322
5700000 -9.01279 48.1315 351.024
5800000 -11.9217 44.0744 321.436
5900000 3.13395 49.688 362.376
6000000 15.812 46.6603 340.295
6100000 7.52446 48.1254 350.98
6200000 11.8647 45.1549 329.316
6300000 26.5213 50.1949 366.073
6400000 30.5428 49.2394 359.104
6500000 34.0289 52.5695 383.391
6600000 33.8772 51.4428 375.174
6700000 33.0843 51.8211 377.933
6800000 25.247 49.6373 362.006
6900000 32.0868 52.9544 386.198
7000000 27.1916 54.4123 396.831
7100000 33.7337 52.5588 383.313
7200000 31.5352 51.294 374.088
7300000 27.1803 53.0324 386.767
7400000 22.3888 51.4404 375.156
7500000 34.9486 52.3727 381.956
7600000 32.3824 56.5828 412.66
7700000 33.5667 55.4604 404.475
7800000 33.7537 54.1873 395.19
7900000 34.8445 53.2276 388.191
8000000 31.847 55.7401 406.514
8100000 37.8448 55.2123 402.665
8200000 34.9019 59.7171 435.519
8300000 33.8834 54.3353 396.269
8400000 38.7405 56.4054 411.366
8500000 36.8646 62.5446 456.139
8600000 32.575 53.1878 387.9
8700000 36.6084 58.1834 424.333
8800000 36.6425 60.1445 438.636
8900000 35.1578 58.3944 425.872
9000000 39.84 56.1306 409.362
9100000 35.2793 58.5958 427.341
9200000 34.7993 60.7432 443.002
9300000 34.6522 61.6342 449.5
9400000 38.0107 57.4642 419.088
9500000 38.6154 56.6941 413.472
9600000 38.1816 58.3668 425.671
9700000 40.5523 67.0435 488.95
9800000 38.6984 64.0255 466.94
9900000 36.3577 59.2106 431.825
10000000 37.8808 62.6158 456.659
10100000 40.3617 60.748 443.037
10200000 38.0475 65.0912 474.712
10300000 35.7681 63.0684 459.96
10400000 38.0195 59.8359 436.385
10500000 41.7136 62.4734 455.62
10600000 38.7916 67.0609 489.077
10700000 40.5191 62.2587 454.054
10800000 40.3024 62.1865 453.528
10900000 41.9206 64.6847 471.747
11000000 40.8239 63.5811 463.699
11100000 38.6388 65.4664 477.448
11200000 43.6296 68.9772 503.052
11300000 43.8759 65.0959 474.746
11400000 43.7143 64.7473 472.204
11500000 43.2396 67.9947 495.887
11600000 41.9558 68.0351 496.182
11700000 42.208 71.2902 519.921
11800000 42.9584 66.0362 481.604
11900000 44.4232 67.2251 490.274
12000000 43.6947 68.7061 501.076
12100000 43.9791 72.073 525.63
12200000 40.6499 77.5186 565.345
12300000 44.8716 70.2093 512.039
12400000 45.5219 72.4697 528.524
12500000 50.7746 70.1182 511.374
12600000 42.6032 71.1099 518.606
12700000 45.9137 67.6735 493.545
12800000 43.8817 67.9497 495.559
12900000 45.6086 66.1227 482.234
13000000 38.22 68.9627 502.947
13100000 39.9599 64.3793 469.52
13200000 39.645 74.8524 545.901
13300000 42.7549 69.6681 508.091
13400000 42.855 69.3401 505.699
13500000 43.0894 67.6259 493.198
13600000 40.9916 64.6652 471.605
13700000 44.3688 73.3079 534.636
13800000 47.2651 73.3549 534.979
13900000 43.9284 73.1801 533.704
14000000 44.9838 66.4777 484.824
14100000 41.7107 68.0025 495.944
14200000 38.4536 73.4092 535.375
14300000 44.6727 67.5997 493.007
14400000 42.3714 76.8879 560.746
14500000 46.1311 76.9576 561.254
14600000 45.5777 76.868 560.601
14700000 45.5577 68.6698 500.811
14800000 39.4978 75.846 553.147
14900000 45.8883 72.0451 525.427
15000000 41.7274 70.4218 513.588
15100000 43.5085 71.4392 521.008
15200000 47.958 70.2803 512.556
15300000 48.5872 72.3535 527.676
15400000 46.5529 69.5259 507.055
15500000 45.5869 73.5185 536.173
