# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 165.406 377.266 3086.95
200000 4.13372 35.5455 290.848
300000 -2.02915 36.5387 298.975
400000 -22.1361 39.4399 322.714
500000 -18.9934 37.0493 303.153
600000 -24.1398 33.7888 276.474
700000 -20.3981 36.9439 302.291
800000 -19.4388 38.616 315.972
900000 -21.5278 38.4068 314.261
1000000 -21.7629 38.0777 311.568
1100000 -16.6808 37.7179 308.624
1200000 -20.7943 36.0672 295.117
1300000 -25.2007 38.1428 312.101
1400000 -18.2073 37.6004 307.662
1500000 -20.4479 38.0864 311.639
1600000 -17.3714 39.467 322.935
1700000 -19.378 37.3012 305.214
1800000 -20.8077 35.3555 289.294
1900000 -23.8202 35.4483 290.053
2000000 -22.5626 34.4733 282.075
2100000 -20.616 33.7576 276.219
2200000 -23.6976 34.3931 281.419
2300000 -22.3783 38.9208 318.466
2400000 -20.2463 34.7294 284.171
2500000 -16.7879 40.5266 331.606
2600000 -18.8189 37.3816 305.872
2700000 -27.6733 38.1553 312.203
2800000 -22.1157 35.0597 286.873
2900000 -21.5533 38.4925 314.962
3000000 -23.2253 34.3067 280.712
3100000 -23.8647 34.6611 283.612
3200000 -20.1057 35.1252 287.41
3300000 -15.6842 39.9738 327.083
3400000 -14.8245 36.4274 298.064
3500000 -24.9982 37.9104 310.199
3600000 -20.853 35.3023 288.859
3700000 -17.5213 32.6879 267.466
3800000 -16.4733 38.1838 312.436
3900000 -18.2822 36.9623 302.441
4000000 -23.7315 36.261 296.703
4100000 -12.9306 38.6379 316.151
4200000 -24.9371 36.193 296.146
4300000 -19.3883 39.4466 322.769
4400000 -16.9406 37.744 308.837
4500000 -17.868 38.5041 315.057
4600000 -18.1948 36.8 301.113
4700000 -22.6904 40.7638 333.547
4800000 -7.8163 41.7378 341.516
4900000 -10.4274 42.9376 351.333
5000000 -14.4788 40.7559 333.482
5100000 3.29066 44.201 361.671
5200000 3.3422 41.332 338.196
5300000 5.49281 39.7988 325.651
5400000 3.76252 40.223 329.122
5500000 22.7323 42.0259 343.873
5600000 26.2788 43.3754 354.916
5700000 27.2496 46.2848 378.722
5800000 27.8378 41.9709 343.424
5900000 22.3252 45.2089 369.918
6000000 10.6914 44.0491 360.428
6100000 20.624 48.4231 396.219
6200000 23.7744 44.5212 364.291
6300000 24.8585 46.653 381.735
6400000 24.6062 44.082 360.698
6500000 23.4451 45.2437 370.203
6600000 18.2753 43.3291 354.537
6700000 27.3858 42.6339 348.849
6800000 20.6098 44.3714 363.066
6900000 24.6482 46.3773 379.479
7000000 28.4226 43.5832 356.616
7100000 29.1778 48.4181 396.177
7200000 18.1434 48.3972 396.006
