# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 200.157 348.649 2852.79
200000 24.2853 38.0632 311.449
300000 23.5281 36.6867 300.186
400000 13.5112 42.1485 344.877
500000 0.269741 36.6678 300.031
600000 -1.67361 37.3273 305.428
700000 -2.49261 37.8892 310.025
800000 0.0689781 35.7799 292.766
900000 0.901144 34.1543 279.465
1000000 2.5472 36.7612 300.796
1100000 2.59996 37.171 304.149
1200000 -0.800944 36.3427 297.371
1300000 9.54089 40.5051 331.43
1400000 1.49672 37.2053 304.429
1500000 -2.54343 38.6818 316.51
1600000 -0.647956 36.8464 301.492
1700000 11.9696 36.8258 301.325
1800000 5.33817 37.7539 308.918
1900000 8.8943 34.7799 284.584
2000000 20.1996 35.2201 288.186
2100000 21.38 40.5719 331.977
2200000 20.8468 36.909 302.005
2300000 21.364 36.9742 302.538
2400000 2.99943 38.2442 312.93
2500000 1.49908 36.4092 297.916
2600000 0.698932 37.8382 309.608
2700000 5.79208 39.7755 325.46
2800000 6.41393 38.9758 318.916
2900000 2.01549 35.9708 294.328
3000000 -4.04226 37.2295 304.627
3100000 -2.15066 36.7948 301.071
3200000 -3.1547 39.2416 321.092
3300000 -4.26835 36.5718 299.246
3400000 -1.6828 35.9001 293.75
3500000 -0.453404 38.7104 316.745
3600000 0.073102 37.7983 309.282
3700000 -2.47789 36.6338 299.753
3800000 -0.45579 36.2977 297.003
3900000 4.0933 36.5745 299.268
4000000 1.01776 40.3553 330.204
4100000 -0.367395 36.1114 295.479
4200000 -0.257565 39.6244 324.224
4300000 2.85322 37.2824 305.06
4400000 0.453649 38.7084 316.728
4500000 1.79217 35.9931 294.511
4600000 -0.0649118 37.3542 305.648
4700000 0.00449438 37.9146 310.233
4800000 5.16063 38.2802 313.224
4900000 15.6261 41.1968 337.09
5000000 23.602 42.5259 347.965
5100000 20.7084 39.1071 319.991
5200000 22.4695 36.7393 300.616
5300000 23.9196 42.8806 350.867
5400000 23.9582 39.4153 322.513
5500000 26.1952 41.1873 337.012
5600000 24.7675 40.4353 330.859
5700000 28.1376 42.2179 345.445
5800000 26.7008 41.0981 336.282
5900000 25.259 42.0445 344.025
6000000 23.547 42.0351 343.949
6100000 30.4705 45.3388 370.981
6200000 26.4706 43.6096 356.832
6300000 28.0831 46.0584 376.869
6400000 24.7635 48.319 395.366
6500000 27.7272 44.5456 364.491
6600000 30.1964 48.7314 398.741
6700000 26.3161 44.7308 366.006
6800000 29.5445 47.7561 390.761
6900000 25.1323 47.9119 392.036
7000000 26.1783 45.4888 372.209
7100000 27.0612 41.7448 341.573
7200000 29.8917 48.8814 399.968
7300000 31.2914 54.7455 447.951
7400000 26.3468 47.617 389.622
7500000 26.3714 45.1116 369.122
7600000 28.3897 48.4004 396.032
7700000 32.4508 48.5188 397.001
7800000 32.7797 48.6741 398.272
7900000 26.221 49.1261 401.971
8000000 29.4248 50.9569 416.951
8100000 31.8997 50.01 409.203
8200000 31.0345 51.1718 418.709
8300000 30.2722 48.9957 400.903
8400000 29.0182 52.2061 427.172
8500000 35.1868 53.5991 438.571
8600000 31.5361 54.1692 443.236
8700000 28.1526 52.6744 431.004
8800000 35.243 50.8256 415.876
8900000 30.1063 51.0374 417.609
9000000 31.9093 54.0274 442.075
9100000 32.7081 52.6256 430.605
9200000 34.6738 60.6317 496.114
9300000 32.6464 55.6522 455.37
9400000 31.6699 54.3263 444.52
9500000 32.4087 53.998 441.834
9600000 35.3794 53.7125 439.499
9700000 33.0998 52.3009 427.948
9800000 34.595 56.0758 458.836
9900000 31.6384 50.9422 416.831
10000000 29.0286 51.5496 421.8
10100000 37.467 52.6384 430.71
10200000 32.5675 51.1565 418.584
10300000 32.2222 60.2955 493.364
10400000 35.8527 59.0703 483.338
10500000 32.2878 53.8584 440.692
10600000 34.9669 58.7278 480.536
10700000 35.2643 58.1157 475.527
10800000 35.1718 56.7057 463.99
10900000 33.8276 55.5712 454.707
11000000 37.3208 67.3691 551.242
11100000 34.8763 59.6185 487.823
11200000 34.142 60.2081 492.648
11300000 36.7886 60.5926 495.794
11400000 35.4596 61.9243 506.69
11500000 35.1743 58.5131 478.779
11600000 32.0154 59.7506 488.904
11700000 33.2496 56.1479 459.425
11800000 38.3983 61.0079 499.192
11900000 41.0682 63.2673 517.68
