# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT
100000 190.245 353.543 2892.84
200000 1.26411 39.3492 321.972
300000 -1.59084 36.1827 296.062
400000 2.98737 36.5386 298.975
500000 -5.78749 37.5664 307.384
600000 -14.4027 37.1328 303.836
700000 -13.5469 43.0696 352.414
800000 -2.35064 36.4196 298
900000 -21.3862 38.8271 317.7
1000000 -20.0815 36.8931 301.875
1100000 -23.7802 39.9685 327.039
1200000 -17.3001 38.4899 314.941
1300000 -20.3873 37.6347 307.943
1400000 -17.7125 37.5266 307.058
1500000 -18.4185 36.0157 294.696
1600000 -29.1584 33.781 276.41
1700000 -26.3319 35.0597 286.874
1800000 -25.0833 33.6493 275.333
1900000 -21.1627 36.2867 296.913
2000000 -20.357 36.8094 301.19
2100000 -23.4239 37.0216 302.926
2200000 -25.0198 33.6828 275.607
2300000 -29.4674 35.5305 290.725
2400000 -17.2042 39.2508 321.167
2500000 -19.1945 38.4191 314.361
2600000 -23.3131 34.6614 283.614
2700000 -17.4385 34.7435 284.286
2800000 -23.0879 35.052 286.81
2900000 -17.315 35.6729 291.891
3000000 -13.2203 36.6049 299.516
3100000 -21.0449 36.0936 295.333
3200000 -19.4935 35.0679 286.94
3300000 -23.7724 39.1675 320.485
3400000 -27.6061 34.4221 281.656
3500000 -23.111 38.83 317.723
3600000 -19.6616 36.4815 298.507
3700000 -23.6503 36.33 297.268
3800000 -18.2995 36.6145 299.595
3900000 -13.7835 37.915 310.237
4000000 -19.6896 36.6851 300.173
4100000 -16.2596 36.947 302.316
4200000 -16.2082 37.7439 308.836
4300000 -26.2214 35.5609 290.974
4400000 -22.5134 37.6692 308.225
4500000 -22.968 34.1386 279.336
4600000 -23.4652 34.6678 283.666
4700000 -22.9167 35.6071 291.352
4800000 -22.9099 35.7349 292.398
4900000 -9.83991 37.2605 304.881
5000000 -26.7739 34.5553 282.746
5100000 -22.6335 36.2435 296.56
5200000 -25.4599 32.781 268.228
5300000 -27.7051 35.4204 289.825
5400000 -20.464 34.4453 281.846
5500000 -17.8279 37.026 302.962
5600000 -21.7713 38.1367 312.051
5700000 -18.0595 33.7698 276.319
5800000 -14.9462 40.6919 332.958
5900000 -19.7962 35.2221 288.202
6000000 -20.778 38.1205 311.918
6100000 -20.7437 36.6164 299.611
6200000 -24.6812 35.1513 287.623
6300000 -20.0083 36.257 296.67
6400000 -15.6413 36.7267 300.513
6500000 -12.155 37.1689 304.131
6600000 -19.2253 35.1434 287.558
6700000 -17.4649 37.2549 304.836
6800000 -21.159 34.2209 280.01
6900000 -20.9684 35.6251 291.5
