# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT v_vE
100000 -340.667 820.826 267.09 480.158
200000 -355.886 836.181 272.087 480.294
300000 -352.136 832.14 270.772 480.003
400000 -355.111 834.869 271.66 479.758
500000 -356.297 836.181 272.087 479.884
600000 -368.662 848.666 276.149 480.003
700000 -368.433 848.17 275.988 479.737
800000 -372.779 852.252 277.316 479.472
900000 -354.395 833.797 271.311 479.403
1000000 -372.041 851.474 277.063 479.433
1100000 -361.722 841.102 273.688 479.38
1200000 -356.903 836.349 272.142 479.446
1300000 -361.497 840.857 273.608 479.359
1400000 -363.804 843.098 274.338 479.294
1500000 -363.554 842.961 274.293 479.407
1600000 -377.711 857.124 278.901 479.413
1700000 -373.077 853.138 277.604 480.061
1800000 -357.741 837.805 272.615 480.064
1900000 -359.414 839.347 273.117 479.933
2000000 -361.821 841.589 273.847 479.769
2100000 -365.926 845.665 275.173 479.739
2200000 -364.751 844.533 274.804 479.782
2300000 -352.302 832.191 270.789 479.89
2400000 -365.424 845.29 275.051 479.866
2500000 -360.477 840.354 273.445 479.877
2600000 -353.957 833.925 271.353 479.968
2700000 -350.143 830.355 270.191 480.212
2800000 -358.227 838.568 272.863 480.342
2900000 -365.126 845.503 275.12 480.377
3000000 -354.952 835.135 271.746 480.182
3100000 -358.303 838.39 272.805 480.087
3200000 -367.359 847.37 275.727 480.011
3300000 -358.297 838.423 272.816 480.125
3400000 -361.315 841.429 273.795 480.115
3500000 -384.005 864.227 281.213 480.222
3600000 -375.622 855.781 278.464 480.158
3700000 -370.597 850.859 276.863 480.262
3800000 -367.853 848.321 276.037 480.468
3900000 -373.329 853.922 277.86 480.593
4000000 -360.614 841.378 273.778 480.764
4100000 -366.334 847.078 275.633 480.744
4200000 -348.652 829.361 269.868 480.709
4300000 -359.446 839.965 273.318 480.518
4400000 -350.03 830.49 270.235 480.46
4500000 -353.93 834.206 271.444 480.276
4600000 -357.665 837.89 272.643 480.225
4700000 -365.85 846.009 275.285 480.159
4800000 -357.209 837.434 272.495 480.226
4900000 -372.108 852.427 277.373 480.319
5000000 -370.908 851.253 276.991 480.345
5100000 -376.024 856.322 278.641 480.298
5200000 -368.967 849.55 276.437 480.583
5300000 -388.174 868.773 282.692 480.599
5400000 -365.388 846.134 275.325 480.745
5500000 -375.568 856.463 278.686 480.894
5600000 -362.608 843.639 274.513 481.03
