# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT v_vE
100000 -341.671 818.561 266.353 476.89
200000 -373.031 849.801 276.519 476.77
300000 -360.329 837.192 272.416 476.864
400000 -381.097 858.078 279.212 476.981
500000 -373.367 850.264 276.669 476.897
600000 -373.471 850.431 276.724 476.961
700000 -376.966 853.926 277.861 476.959
800000 -365.223 842.492 274.14 477.27
900000 -355.52 832.873 271.01 477.353
1000000 -366.324 843.755 274.551 477.432
1100000 -357.438 835.04 271.716 477.602
1200000 -368.952 846.563 275.465 477.61
1300000 -365.601 843.185 274.366 477.583
1400000 -355.682 833.264 271.137 477.581
1500000 -366.33 843.886 274.594 477.556
1600000 -383.281 860.716 280.07 477.435
1700000 -362.985 840.343 273.441 477.358
1800000 -352.323 829.685 269.973 477.362
1900000 -352.735 830.195 270.139 477.46
2000000 -355.36 833.012 271.056 477.653
2100000 -372.987 850.697 276.81 477.71
2200000 -360.463 838.155 272.729 477.692
2300000 -365.77 843.223 274.378 477.453
2400000 -356.872 834.177 271.435 477.305
2500000 -353.157 830.432 270.216 477.275
2600000 -382.425 859.736 279.751 477.311
2700000 -372.789 850.141 276.629 477.352
2800000 -362.018 839.321 273.108 477.302
2900000 -360.514 837.844 272.628 477.33
3000000 -363.054 840.39 273.456 477.336
3100000 -370.865 848.141 275.979 477.277
3200000 -363.504 840.807 273.592 477.302
3300000 -348.546 825.712 268.68 477.166
3400000 -350.721 827.805 269.361 477.084
3500000 -355.559 832.608 270.924 477.049
3600000 -368.959 845.934 275.26 476.974
3700000 -379.357 856.323 278.641 476.966
3800000 -373.133 850.225 276.657 477.092
3900000 -378.298 855.465 278.362 477.167
4000000 -354.971 832.216 270.796 477.245
4100000 -362.027 839.601 273.2 477.574
4200000 -364.783 842.289 274.074 477.505
4300000 -383.795 861.502 280.326 477.707
4400000 -353.272 831.085 270.429 477.813
4500000 -371.192 849.031 276.268 477.839
4600000 -352.024 829.799 270.01 477.774
4700000 -363.742 841.612 273.854 477.871
4800000 -373.593 851.684 277.131 478.091
4900000 -350.112 828.452 269.572 478.34
5000000 -360.537 838.897 272.97 478.36
5100000 -368.891 847.406 275.739 478.515
5200000 -355.18 833.607 271.249 478.427
5300000 -370.05 848.377 276.055 478.328
5400000 -368.387 846.538 275.457 478.151
5500000 -356.887 835.082 271.729 478.195
5600000 -358.429 836.68 272.249 478.251
5700000 -363.904 842.178 274.038 478.274
5800000 -371.332 849.704 276.487 478.372
5900000 -370.152 848.676 276.152 478.524
6000000 -347.859 826.43 268.914 478.57
6100000 -362.572 841.196 273.719 478.624
6200000 -367.139 845.77 275.207 478.632
6300000 -374.732 853.358 277.676 478.625
6400000 -363.93 842.556 274.161 478.626
6500000 -367.411 846.1 275.314 478.688
6600000 -367.111 845.723 275.192 478.612
6700000 -361.022 839.786 273.26 478.764
6800000 -367.376 846.305 275.381 478.928
6900000 -375.56 854.391 278.012 478.832
7000000 -367.397 846.206 275.349 478.809
7100000 -359.379 838.234 272.755 478.855
7200000 -362.137 841.036 273.667 478.899
7300000 -372.473 851.367 277.028 478.894
7400000 -370.784 849.874 276.542 479.09
7500000 -371.766 850.915 276.881 479.149
7600000 -360.981 839.947 273.312 478.966
7700000 -344.905 823.89 268.087 478.985
7800000 -362.791 841.967 273.969 479.176
7900000 -356.286 835.528 271.874 479.242
8000000 -355.488 834.78 271.631 479.292
8100000 -351.881 831.321 270.505 479.44
8200000 -364.455 844.029 274.64 479.574
8300000 -347.094 826.925 269.075 479.83
8400000 -368.502 848.334 276.041 479.832
8500000 -369.166 849.105 276.292 479.939
8600000 -366.771 846.713 275.514 479.943
8700000 -373.92 853.837 277.832 479.917
8800000 -361.554 841.526 273.826 479.972
8900000 -358.556 838.468 272.831 479.913
9000000 -366.164 846.067 275.303 479.903
9100000 -349.977 829.95 270.059 479.973
9200000 -357.961 837.924 272.654 479.962
9300000 -366.902 846.824 275.55 479.921
9400000 -364.113 844.068 274.653 479.955
9500000 -356.379 836.37 272.148 479.991
9600000 -367.303 847.366 275.726 480.062
9700000 -367.227 847.232 275.683 480.005
9800000 -369.6 849.612 276.457 480.012
9900000 -370.006 849.908 276.553 479.902
10000000 -378.039 858.057 279.205 480.019
10100000 -370.924 850.905 276.878 479.981
10200000 -363.116 843.173 274.362 480.057
10300000 -350.466 830.515 270.243 480.049
10400000 -368.572 848.76 276.18 480.188
10500000 -355.667 836.481 272.184 480.814
10600000 -361.971 842.842 274.254 480.87
10700000 -355.962 836.801 272.289 480.839
10800000 -359.399 840.223 273.402 480.824
10900000 -365.623 846.288 275.375 480.665
11000000 -357.615 838.28 272.77 480.664
11100000 -363.979 844.734 274.87 480.755
11200000 -368.039 848.85 276.209 480.811
11300000 -367.031 847.915 275.905 480.884
11400000 -372.847 853.852 277.837 481.005
11500000 -370.77 851.807 277.171 481.037
11600000 -351.48 832.63 270.931 481.149
11700000 -363.809 844.851 274.908 481.042
11800000 -368.057 849.068 276.28 481.011
11900000 -361.101 842.624 274.183 481.523
12000000 -351.423 833.411 271.186 481.988
12100000 -359.572 841.62 273.857 482.048
12200000 -354.382 836.528 272.2 482.146
12300000 -361.674 843.856 274.584 482.182
12400000 -370.587 852.607 277.432 482.02
12500000 -379.487 861.525 280.333 482.038
12600000 -371.219 853.241 277.638 482.022
12700000 -355.481 837.617 272.554 482.135
12800000 -365.458 847.524 275.778 482.065
12900000 -361.828 843.884 274.593 482.057
13000000 -358.963 840.955 273.64 481.992
13100000 -367.646 849.608 276.456 481.962
13200000 -366.973 848.769 276.183 481.796
13300000 -364.551 845.57 275.142 481.019
13400000 -378.417 859.425 279.65 481.008
13500000 -368.806 849.848 276.534 481.042
13600000 -359.469 840.664 273.546 481.195
13700000 -359.042 840.227 273.403 481.185
13800000 -348.429 829.558 269.932 481.129
13900000 -361.217 842.257 274.064 481.039
14000000 -355.109 836.085 272.056 480.976
14100000 -347.033 828.035 269.436 481.002
14200000 -369.168 850.058 276.602 480.89
14300000 -374.465 855.281 278.302 480.816
14400000 -366.943 847.831 275.878 480.888
14500000 -359.465 840.342 273.441 480.878
14600000 -354.835 835.697 271.929 480.862
14700000 -368.716 849.616 276.459 480.9
14800000 -352.949 833.856 271.33 480.907
14900000 -374.286 855.095 278.241 480.809
15000000 -362.404 843.129 274.348 480.726
15100000 -361.262 841.759 273.902 480.497
15200000 -365.275 845.688 275.18 480.413
15300000 -360.28 840.826 273.598 480.546
15400000 -364.064 844.64 274.839 480.576
15500000 -350.312 831.251 270.483 480.939
15600000 -354.491 835.642 271.911 481.15
15700000 -356.08 837.247 272.434 481.167
15800000 -362.489 843.77 274.556 481.281
15900000 -360.65 841.882 273.942 481.232
16000000 -350.884 831.944 270.708 481.061
16100000 -366.061 847.14 275.653 481.079
16200000 -370.258 851.435 277.05 481.177
16300000 -363.432 844.564 274.815 481.132
16400000 -367.068 847.98 275.926 480.912
16500000 -361.808 842.646 274.19 480.838
16600000 -363.202 843.943 274.613 480.741
16700000 -369.868 850.521 276.753 480.653
16800000 -355.787 836.245 272.108 480.459
16900000 -354.618 834.97 271.693 480.353
17000000 -372.511 852.781 277.488 480.27
17100000 -359.985 840.613 273.529 480.628
17200000 -351.438 832.18 270.785 480.743
17300000 -360.853 841.568 273.84 480.716
17400000 -369.174 849.947 276.566 480.773
17500000 -344.1 824.824 268.391 480.724
17600000 -351.755 832.501 270.889 480.746
17700000 -356.776 837.344 272.465 480.568
17800000 -360.456 840.844 273.604 480.388
17900000 -347.838 828.14 269.47 480.302
18000000 -360.992 841.298 273.752 480.306
