simulation,frames,duration_ns,aso_beads,docked_bound_pct,free_binders,n_free,hp_rmsd,aso_rmsd,rg_complex,rg_hp,mean_pe
100ASO_all_purine_unmodified,1361,680.0,10,3.60,59,99,30.078,3.914,171.851,32.680,472.649
100ASO_extended_12mer_unmodified,560,279.5,12,18.04,59,99,26.540,4.901,54.082,29.332,-67.648
100ASO_extended_14mer_unmodified,392,195.5,14,13.01,66,99,24.428,5.696,62.684,27.870,-226.921
100ASO_mismatch_G6A_unmodified,808,403.5,10,22.52,65,99,23.614,3.772,81.642,28.533,9.547
100ASO_mismatch_U5C_unmodified,638,318.5,10,14.26,55,99,10.482,3.637,57.062,20.627,-380.031
100ASO_scrambled_unmodified,795,397.0,10,53.58,54,99,20.791,3.839,40.841,26.872,1.613
100ASO_truncated_unmodified,1430,714.5,7,14.83,44,99,25.564,1.987,108.741,29.590,-81.570
100ASO_unmodified_AAtoCC,697,348.0,10,68.72,50,99,11.805,4.396,30.022,21.278,-107.412
100ASO_unmodified_loop_GG_to_AA,717,358.0,10,26.36,60,99,27.539,3.871,97.064,30.709,-100.589
200ASO_unmod,1066,532.5,10,1.41,76,199,23.164,3.509,145.339,27.127,-124.954
25ASO_unmod,2101,1050.0,10,1.29,13,24,16.596,3.746,262.277,23.545,5.898
50ASO_unmod,1595,797.0,10,2.26,24,49,22.253,3.673,121.661,27.046,-14.355
