name,dat,traj,frames,duration_ns,aso_beads,n_aso_total,box_lx_A,box_ly_A,box_lz_A,volume_L,encounter_beads,binding_beads,encounter_frac,mean_occupancy,max_occupancy,figure,summary,f_site_com_10,kd_molar_com_10,n_events_com_10,n_binders_com_10,mean_dwell_frames_com_10,f_site_com_12,kd_molar_com_12,n_events_com_12,n_binders_com_12,mean_dwell_frames_com_12,f_site_com_15,kd_molar_com_15,n_events_com_15,n_binders_com_15,mean_dwell_frames_com_15,f_site_com_20,kd_molar_com_20,n_events_com_20,n_binders_com_20,mean_dwell_frames_com_20
100ASO_all_purine_unmodified,./configs/100ASO_all_purine_unmodified.dat,./outputs/100ASO_all_purine_unmodified.lammpstrj,1361,680.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9831006612784717,2.792064658339456,6,analysis3/Kd_two_tier_100ASO_all_purine_unmodified.png,analysis3/Kd_two_tier_100ASO_all_purine_unmodified.txt,0.03747244673034533,1.0409686469546244,42,22,1.2142857142857142,0.07274063188831742,0.5164252134180541,87,34,1.1724137931034482,0.13299044819985306,0.2639518916096944,147,40,1.272108843537415,0.26451138868479057,0.11242958231286729,283,53,1.3816254416961131
100ASO_extended_12mer_unmodified,./configs/100ASO_extended_12mer_unmodified.dat,./outputs/100ASO_extended_12mer_unmodified.lammpstrj,560,279.5,12,100,160.0,160.0,160.0,4.0960000000000004e-21,10,12,0.8857142857142857,1.5892857142857142,4,analysis3/Kd_two_tier_100ASO_extended_12mer_unmodified.png,analysis3/Kd_two_tier_100ASO_extended_12mer_unmodified.txt,0.017857142857142856,2.229381694667914,9,6,1.1111111111111112,0.033928571428571426,1.1539728472910769,17,6,1.1176470588235294,0.05,0.7699024475361175,21,8,1.3333333333333333,0.13392857142857142,0.2618169394666234,57,15,1.368421052631579
100ASO_extended_14mer_unmodified,./configs/100ASO_extended_14mer_unmodified.dat,./outputs/100ASO_extended_14mer_unmodified.lammpstrj,392,195.5,14,100,160.0,160.0,160.0,4.0960000000000004e-21,12,14,0.5739795918367347,0.7270408163265306,3,analysis3/Kd_two_tier_100ASO_extended_14mer_unmodified.png,analysis3/Kd_two_tier_100ASO_extended_14mer_unmodified.txt,0.017857142857142856,2.229381694667914,6,3,1.1666666666666667,0.03316326530612245,1.1815472899214603,11,5,1.1818181818181819,0.058673469387755105,0.6500442791942014,21,6,1.0952380952380953,0.10204081632653061,0.35640073345013856,33,7,1.2424242424242424
100ASO_mismatch_G6A_unmodified,./configs/100ASO_mismatch_G6A_unmodified.dat,./outputs/100ASO_mismatch_G6A_unmodified.lammpstrj,808,403.5,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9294554455445545,1.6745049504950495,5,analysis3/Kd_two_tier_100ASO_mismatch_G6A_unmodified.png,analysis3/Kd_two_tier_100ASO_mismatch_G6A_unmodified.txt,0.03712871287128713,1.0509846310785438,18,7,1.6666666666666667,0.06806930693069307,0.5546715179100133,36,10,1.5277777777777777,0.1547029702970297,0.221175798995114,64,14,1.953125,0.2933168316831683,0.09738931975735668,120,23,2.033333333333333
100ASO_mismatch_U5C_unmodified,./configs/100ASO_mismatch_U5C_unmodified.dat,./outputs/100ASO_mismatch_U5C_unmodified.lammpstrj,638,318.5,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.5877742946708464,0.6802507836990596,3,analysis3/Kd_two_tier_100ASO_mismatch_U5C_unmodified.png,analysis3/Kd_two_tier_100ASO_mismatch_U5C_unmodified.txt,0.01567398119122257,2.545604136550256,6,3,1.6666666666666667,0.02664576802507837,1.4805607881122946,11,3,1.5454545454545454,0.08620689655172414,0.4293689280647681,36,9,1.5277777777777777,0.17711598746081506,0.1880226952261326,69,11,1.6521739130434783
100ASO_scrambled_unmodified,./configs/100ASO_scrambled_unmodified.dat,./outputs/100ASO_scrambled_unmodified.lammpstrj,795,397.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9044025157232705,1.588679245283019,4,analysis3/Kd_two_tier_100ASO_scrambled_unmodified.png,analysis3/Kd_two_tier_100ASO_scrambled_unmodified.txt,0.03018867924528302,1.3020009755405493,19,8,1.263157894736842,0.055345911949685536,0.6915859004167869,35,9,1.2857142857142858,0.12452830188679245,0.2846637651414985,72,16,1.4166666666666667,0.28050314465408804,0.10369803935744736,142,24,1.6619718309859155
100ASO_truncated_unmodified,./configs/100ASO_truncated_unmodified.dat,./outputs/100ASO_truncated_unmodified.lammpstrj,1430,714.5,7,100,160.0,160.0,160.0,4.0960000000000004e-21,6,7,0.9986013986013986,2.6013986013986012,7,analysis3/Kd_two_tier_100ASO_truncated_unmodified.png,analysis3/Kd_two_tier_100ASO_truncated_unmodified.txt,0.06573426573426573,0.5758274064475241,74,35,1.2972972972972974,0.13076923076923078,0.2691290186243014,122,37,1.5819672131147542,0.28321678321678323,0.10231431550148769,248,52,1.7580645161290323,0.6258741258741258,0.024082599819024296,408,67,2.571078431372549
100ASO_unmod,./configs/100ASO_unmod.dat,./outputs/100ASO_unmod.lammpstrj,7283,3641.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9954689001784979,2.766717012220239,7,analysis3/Kd_two_tier_100ASO_unmod.png,analysis3/Kd_two_tier_100ASO_unmod.txt,0.0654949883289853,0.578080516515814,440,97,1.1045454545454545,0.10490182617053412,0.34556607589192445,691,99,1.1447178002894356,0.1931896196622271,0.1689846152321249,1270,100,1.2165354330708662,0.38734038171083346,0.06387638302233392,2518,100,1.3665607625099285
100ASO_unmodified_AAtoCC,./configs/100ASO_unmodified_AAtoCC.dat,./outputs/100ASO_unmodified_AAtoCC.lammpstrj,697,348.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9569583931133429,1.5480631276901005,6,analysis3/Kd_two_tier_100ASO_unmodified_AAtoCC.png,analysis3/Kd_two_tier_100ASO_unmodified_AAtoCC.txt,0.02295552367288379,1.7251494501945308,12,4,1.3333333333333333,0.06312769010043041,0.6012921845084501,38,11,1.1842105263157894,0.17647058823529413,0.18885957270237883,79,13,1.5696202531645569,0.40459110473457677,0.05942067873206383,167,21,1.7664670658682635
100ASO_unmodified_loop_GG_to_AA,./configs/100ASO_unmodified_loop_GG_to_AA.dat,./outputs/100ASO_unmodified_loop_GG_to_AA.lammpstrj,717,358.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9442119944211994,2.0613668061366806,5,analysis3/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.png,analysis3/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.txt,0.058577405857740586,0.6511773864274656,25,9,1.68,0.100418410041841,0.36281913896416873,48,11,1.5208333333333333,0.18131101813110181,0.18272834103590893,90,19,1.5,0.3319386331938633,0.08132308927928104,169,27,1.5917159763313609
200ASO_unmod,./configs/200ASO_unmod.dat,./outputs/200ASO_unmod.lammpstrj,1066,532.5,10,200,220.0,220.0,220.0,1.0648e-20,8,10,0.9718574108818011,2.0328330206378986,5,analysis3/Kd_two_tier_200ASO_unmod.png,analysis3/Kd_two_tier_200ASO_unmod.txt,0.05628517823639775,0.522812175933356,45,12,1.3333333333333333,0.09849906191369606,0.28532600124644775,72,17,1.4722222222222223,0.18105065666041276,0.14095640413710547,123,22,1.6341463414634145,0.349906191369606,0.05784757099444021,241,34,1.838174273858921
25ASO_unmod,./configs/25ASO_unmod.dat,./outputs/25ASO_unmod.lammpstrj,2101,1050.0,10,25,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9224178962398858,1.418372203712518,5,analysis3/Kd_two_tier_25ASO_unmod.png,analysis3/Kd_two_tier_25ASO_unmod.txt,0.03426939552594003,0.28522864012148114,49,11,1.489795918367347,0.06949071870537839,0.13533943439943358,106,14,1.4056603773584906,0.17420276059019515,0.04771126139471791,215,14,1.744186046511628,0.3722037125178486,0.016840806890888817,437,20,1.9130434782608696
50ASO_unmod,./configs/50ASO_unmod.dat,./outputs/50ASO_unmod.lammpstrj,1595,797.0,10,50,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9724137931034482,1.9335423197492163,5,analysis3/Kd_two_tier_50ASO_unmod.png,analysis3/Kd_two_tier_50ASO_unmod.txt,0.030094043887147336,0.6529153955747953,40,18,1.2,0.05956112852664577,0.31968282854592284,74,19,1.2837837837837838,0.13479623824451412,0.12975901057952868,160,22,1.40625,0.34231974921630093,0.038678406556934206,377,31,1.6472148541114058
