# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 499.092 928.604 302.16 1427.7 76.0254
200000 509.938 918.136 298.754 1428.07 79.3435
300000 479.231 917.349 298.498 1396.58 81.9202
400000 465.501 915.63 297.939 1381.13 85.0585
500000 471.179 909.893 296.072 1381.07 86.0842
600000 470.821 925.365 301.106 1396.19 88.5484
700000 468.183 916.449 298.205 1384.63 88.8774
800000 482.035 925.84 301.261 1407.88 91.9808
900000 464.734 918.575 298.897 1383.31 93.712
1000000 469.062 909.769 296.032 1378.83 95.8241
1100000 459.616 923.833 300.608 1383.45 96.8807
1200000 470.37 927.809 301.902 1398.18 98.7697
1300000 466.206 906.855 295.083 1373.06 99.8628
1400000 474.724 922.664 300.227 1397.39 102.6
1500000 471.21 925.388 301.114 1396.6 105.507
1600000 462.08 920.06 299.38 1382.14 106.652
1700000 462.016 920.207 299.428 1382.22 107.367
1800000 461.945 933.689 303.815 1395.63 107.846
1900000 469.135 919.439 299.178 1388.57 109.604
2000000 480.657 922.668 300.229 1403.32 111.293
2100000 481.08 924.835 300.934 1405.91 112.857
2200000 483.881 924.691 300.887 1408.57 114.352
2300000 476.917 919.398 299.165 1396.32 116.788
2400000 465.392 927.389 301.765 1392.78 119.354
2500000 479.795 918.953 299.02 1398.75 120.898
2600000 472.755 936.598 304.761 1409.35 122.425
2700000 463.48 924.82 300.929 1388.3 122.785
2800000 453.004 925.82 301.254 1378.82 123.1
2900000 467.692 905.688 294.704 1373.38 123.532
3000000 470.843 921.73 299.924 1392.57 124.164
3100000 466.804 921.196 299.75 1388 126.109
3200000 467.821 927.979 301.957 1395.8 127.219
3300000 470.338 914.343 297.52 1384.68 128.609
3400000 451.555 919.13 299.078 1370.68 130.048
3500000 457.169 933.198 303.655 1390.37 130.975
3600000 467.295 928.543 302.141 1395.84 131.96
3700000 465.411 919.85 299.312 1385.26 133.525
3800000 463.812 927.607 301.836 1391.42 134.726
3900000 456.203 921.769 299.936 1377.97 134.619
4000000 471.374 923.959 300.649 1395.33 135.381
4100000 461.276 935.646 304.452 1396.92 135.745
4200000 470.663 926.691 301.538 1397.35 137.326
4300000 459.228 930.241 302.693 1389.47 136.431
4400000 474.815 919.247 299.116 1394.06 136.783
4500000 471.851 920.1 299.393 1391.95 138.04
4600000 482.6 925.808 301.251 1408.41 139.48
4700000 467.835 926.35 301.427 1394.19 141.496
4800000 486.369 926.483 301.47 1412.85 143.737
4900000 471.615 925.208 301.055 1396.82 144.503
5000000 470.309 922.119 300.05 1392.43 145.725
