# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 98.0164 920.542 299.537 1018.56 72.1069
200000 -127.106 924.798 300.922 797.692 75.3993
300000 -238.973 910.815 296.372 671.842 77.6675
400000 -235.646 935.387 304.368 699.742 79.6722
500000 -294.812 924.485 300.82 629.673 81.0999
600000 -297.244 927.286 301.732 630.042 84.5756
700000 -304.951 919.975 299.353 615.024 85.5262
800000 -312.461 916.394 298.187 603.933 86.7729
900000 -337.221 917.218 298.455 579.996 87.1117
1000000 -333.391 919.34 299.146 585.949 87.1816
1100000 -374.416 907.472 295.284 533.056 87.6179
1200000 -371.423 927.925 301.94 556.502 88.0539
1300000 -353.166 919.161 299.088 565.995 90.1918
1400000 -383.809 911.205 296.499 527.396 91.0344
1500000 -358.502 918.675 298.93 560.172 90.6346
1600000 -362.142 928.107 301.999 565.965 90.9481
1700000 -400.068 926.028 301.322 525.959 92.0853
1800000 -379.758 929.234 302.365 549.476 92.8995
1900000 -423.116 919.761 299.283 496.645 93.6197
2000000 -385.774 936.067 304.589 550.293 94.6954
2100000 -352.387 926.609 301.511 574.222 95.2408
2200000 -376.762 923.744 300.579 546.981 96.537
2300000 -383.459 919.946 299.343 536.487 97.7686
2400000 -378.865 943.765 307.094 564.9 97.4609
2500000 -355.984 934.188 303.977 578.204 98.5266
2600000 -341.146 911.115 296.47 569.969 99.6873
2700000 -356.425 932.531 303.438 576.106 101.985
2800000 -360.373 929.207 302.357 568.834 103.846
2900000 -391.682 932.429 303.405 540.747 105.029
3000000 -371.249 919.491 299.195 548.242 105.082
3100000 -398.723 921.206 299.753 522.483 106.578
3200000 -416.275 918.169 298.765 501.894 107.168
3300000 -365.299 924.183 300.722 558.884 107.837
3400000 -345.527 925.99 301.31 580.462 109.395
3500000 -360.325 923.168 300.392 562.844 109.619
3600000 -359.997 909.238 295.859 549.24 110.655
3700000 -339.006 917.514 298.552 578.508 111.417
3800000 -345.505 922.981 300.331 577.476 112.036
3900000 -411.943 934.384 304.041 522.441 113.69
4000000 -389.233 918.216 298.78 528.984 115.888
4100000 -356.69 917.879 298.671 561.19 117.087
4200000 -339.513 919.048 299.051 579.535 119.042
4300000 -380.033 924.201 300.728 544.168 118.925
4400000 -359.711 914.848 297.684 555.137 119.278
4500000 -386.376 933.201 303.656 546.825 120
4600000 -390.295 917.577 298.572 527.282 119.31
4700000 -375.869 925.27 301.076 549.402 120.027
4800000 -404.037 930.177 302.672 526.14 120.922
4900000 -390.99 938.131 305.261 547.142 122.022
5000000 -387.074 921.4 299.816 534.327 123.394
