# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 219.642 922.287 300.105 1141.93 75.1836
200000 57.0504 920.632 299.566 977.682 78.4409
300000 17.8968 927.431 301.779 945.328 80.5462
400000 -1.27549 929.224 302.362 927.948 82.7134
500000 35.6661 924.837 300.935 960.503 85.2354
600000 7.90625 930.322 302.719 938.228 87.9505
700000 3.8318 935.364 304.36 939.196 89.125
800000 -37.4547 925.204 301.054 887.749 90.0738
900000 -22.4279 916.761 298.307 894.333 91.8616
1000000 -34.1663 937.932 305.196 903.766 93.8437
1100000 6.99408 920.4 299.491 927.394 95.8966
1200000 -12.8985 921.502 299.849 908.603 97.478
1300000 -30.7279 920.086 299.389 889.358 98.465
1400000 -28.0288 922.791 300.269 894.763 100.303
1500000 -0.49078 930.286 302.708 929.795 102.182
1600000 -10.7451 916.127 298.1 905.382 104.107
1700000 0.418196 925.706 301.217 926.124 104.772
1800000 -35.8434 909.45 295.928 873.607 107.079
1900000 -34.4399 923.072 300.36 888.632 108.326
2000000 -28.4812 922.943 300.318 894.462 108.721
2100000 -11.4026 930.64 302.823 919.237 111.035
2200000 -40.2901 914.982 297.728 874.692 111.78
2300000 -56.7751 922.347 300.124 865.571 112.99
2400000 -14.7166 920.964 299.674 906.247 115.191
2500000 -42.8841 920.025 299.369 877.141 116.41
2600000 -2.51105 934.826 304.185 932.315 118.509
2700000 18.4418 917.868 298.667 936.31 119.099
2800000 7.67363 919.158 299.087 926.831 119.597
2900000 16.67 921.006 299.688 937.676 121.335
3000000 4.8754 929.874 302.574 934.75 122.598
3100000 13.5652 906.467 294.957 920.032 123.003
3200000 7.63031 918.676 298.93 926.307 124.533
3300000 14.79 921.11 299.722 935.9 125.345
3400000 9.13146 921.967 300.001 931.098 126.148
3500000 24.3518 929.188 302.35 953.54 127.341
3600000 19.123 919.405 299.167 938.528 127.798
3700000 16.1852 927.991 301.961 944.177 126.972
3800000 66.1611 927.82 301.905 993.981 130.225
3900000 6.471 922.382 300.136 928.853 133.918
4000000 22.5329 931.621 303.142 954.154 135.06
4100000 25.1391 919.244 299.115 944.383 135.428
4200000 42.9359 927.527 301.81 970.463 137.192
4300000 -5.71654 928.469 302.116 922.752 138.003
4400000 -2.40776 914.691 297.633 912.284 137.144
4500000 -18.6061 924.171 300.718 905.565 136.793
4600000 -3.72256 920.236 299.437 916.513 136.289
4700000 -16.4438 924.888 300.951 908.444 136.557
4800000 -25.7819 907.111 295.167 881.329 136.54
4900000 4.87955 924.132 300.705 929.012 136.366
5000000 -8.34433 930.058 302.634 921.714 137.595
