# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 27.7706 669.215 307.124 696.986 75.2532
200000 -35.3001 663.876 304.674 628.575 79.1622
300000 -74.1795 651.414 298.955 577.234 82.6487
400000 -81.1164 652.735 299.561 571.619 87.0372
500000 -69.3731 654.745 300.484 585.372 88.791
600000 -121.923 656.32 301.206 534.397 91.2851
700000 -136.3 657.003 301.52 520.703 93.6757
800000 -100.526 642.379 294.808 541.853 95.7889
900000 -105.331 656.066 301.09 550.735 96.582
1000000 -106.941 654.044 300.162 547.103 98.2314
1100000 -98.6527 640.315 293.861 541.663 100.241
1200000 -49.3975 653.536 299.929 604.139 102.09
1300000 -51.6053 652.239 299.334 600.634 103.769
1400000 -70.408 656.138 301.123 585.73 105.87
1500000 -72.9863 658.54 302.225 585.554 107.535
1600000 -86.3722 663.314 304.416 576.942 109.501
1700000 -109.86 652.085 299.263 542.224 111.443
1800000 -86.2043 645.791 296.374 559.587 113.335
1900000 -87.8643 645.762 296.361 557.898 116.092
2000000 -68.0451 650.171 298.384 582.125 118.27
2100000 -66.5066 656.852 301.45 590.345 120.185
2200000 -57.9228 646.846 296.858 588.923 123.364
2300000 -84.6565 649.905 298.262 565.248 125.848
2400000 -89.0806 657.486 301.741 568.405 127.855
2500000 -47.1428 664.726 305.064 617.583 130.441
2600000 -85.7478 654.229 300.246 568.481 131.916
2700000 -63.4254 661.53 303.597 598.105 133.354
2800000 -103.602 655.24 300.711 551.638 135.909
2900000 -120.916 651.127 298.823 530.212 136.383
3000000 -100.733 646.531 296.714 545.798 136.981
3100000 -98.7991 653.901 300.096 555.102 137.294
3200000 -65.9128 660.409 303.083 594.497 136.97
3300000 -91.1834 652.973 299.67 561.789 137.547
3400000 -80.9979 664.42 304.923 583.422 138.633
3500000 -94.7167 648.438 297.589 553.721 140.939
3600000 -98.9538 644.61 295.832 545.656 139.92
3700000 -100.374 655.801 300.968 555.427 139.682
3800000 -88.9693 643.686 295.408 554.717 140.518
3900000 -111.687 643.948 295.528 532.261 141.089
4000000 -110.735 646.544 296.72 535.81 142.173
4100000 -49.8479 657.246 301.631 607.398 143.942
4200000 -58.5892 661.264 303.475 602.674 144.497
4300000 -49.1584 663.061 304.3 613.903 147.261
4400000 -77.5409 654.216 300.241 576.675 149.851
4500000 -60.8889 666.666 305.954 605.777 151.363
4600000 -75.7821 656.284 301.19 580.502 153.331
4700000 -90.6863 654.834 300.524 564.148 154.23
4800000 -92.6633 655.282 300.73 562.618 156.097
4900000 -66.1321 660.249 303.009 594.117 156.528
5000000 -106.688 644.912 295.971 538.224 158.363
